timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
27-06-2023_05:02:12:060399,54.182.218.101,14.472707873210311,"['*', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.162', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']","['*', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.162', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']",20,video/mp4,479690531,keep-alive,"Tue, 27 Jun 2023 03:02:13 GMT","Wed, 11 Jan 2023 22:47:57 GMT","""8d0063c97bc9076a98bbb347e267e475-92""",INTELLIGENT_TIERING,AES256,2ad5839610b999d9e3591c641f3cbbc32566f155,005a5dcaf665f0e8d959f51f263f6918,c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b,bytes,AmazonS3, ,[],[],0,Miss from cloudfront,1.1 b658f53c87a734416b3592f65150b4c6.cloudfront.net (CloudFront),FRA51-M1,gDSrIXaWimS4izJAYbZ8xyaUnl6iTxcqq8xM6-rswkDj8PivUL2WAw==, ,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$bWOQ20PEl_0IarlXKNHCYfq0_5s~/0a61/5108/715d/429e-8447-30b214224894/a0794990-a8b1-44cf-8616-908fabb648b1_video_6.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '479690531', 'Connection': 'keep-alive', 'Date': 'Tue, 27 Jun 2023 03:02:13 GMT', 'Last-Modified': 'Wed, 11 Jan 2023 22:47:57 GMT', 'ETag': '""8d0063c97bc9076a98bbb347e267e475-92""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '2ad5839610b999d9e3591c641f3cbbc32566f155', 'x-amz-meta-dv-checksum-md5': '005a5dcaf665f0e8d959f51f263f6918', 'x-amz-meta-dv-checksum-sha-256': 'c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Miss from cloudfront', 'Via': '1.1 b658f53c87a734416b3592f65150b4c6.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA51-M1', 'X-Amz-Cf-Id': 'gDSrIXaWimS4izJAYbZ8xyaUnl6iTxcqq8xM6-rswkDj8PivUL2WAw=='}"
27-06-2023_05:02:41:302377,54.182.220.122,14.623860828578472,"['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']","['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']",20,video/mp4,479690531,keep-alive,"Tue, 27 Jun 2023 03:02:42 GMT","Wed, 11 Jan 2023 22:47:57 GMT","""8d0063c97bc9076a98bbb347e267e475-92""",INTELLIGENT_TIERING,AES256,2ad5839610b999d9e3591c641f3cbbc32566f155,005a5dcaf665f0e8d959f51f263f6918,c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b,bytes,AmazonS3, ,[],[],0,Miss from cloudfront,1.1 f528468cade0998b35abc196311500f4.cloudfront.net (CloudFront),FRA54-M3,2WB5J2-KFWSMfiV1d0pquKPmGW2GBpCbCKAYwOl4iqSbNX9kD_0mMQ==, ,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$bWOQ20PEl_0IarlXKNHCYfq0_5s~/0a61/5108/715d/429e-8447-30b214224894/a0794990-a8b1-44cf-8616-908fabb648b1_video_6.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '479690531', 'Connection': 'keep-alive', 'Date': 'Tue, 27 Jun 2023 03:02:42 GMT', 'Last-Modified': 'Wed, 11 Jan 2023 22:47:57 GMT', 'ETag': '""8d0063c97bc9076a98bbb347e267e475-92""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '2ad5839610b999d9e3591c641f3cbbc32566f155', 'x-amz-meta-dv-checksum-md5': '005a5dcaf665f0e8d959f51f263f6918', 'x-amz-meta-dv-checksum-sha-256': 'c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Miss from cloudfront', 'Via': '1.1 f528468cade0998b35abc196311500f4.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA54-M3', 'X-Amz-Cf-Id': '2WB5J2-KFWSMfiV1d0pquKPmGW2GBpCbCKAYwOl4iqSbNX9kD_0mMQ=='}"
27-06-2023_05:03:10:807537,54.182.219.121,13.895351905375719,"['*', '*', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']","['*', '*', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']",20,video/mp4,479690531,keep-alive,"Tue, 27 Jun 2023 03:02:13 GMT","Wed, 11 Jan 2023 22:47:57 GMT","""8d0063c97bc9076a98bbb347e267e475-92""",INTELLIGENT_TIERING,AES256,2ad5839610b999d9e3591c641f3cbbc32566f155,005a5dcaf665f0e8d959f51f263f6918,c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 c1d7186a877d135a7719e9819d2a8e1c.cloudfront.net (CloudFront),FRA52-M2,eXLi7ggjIQ7R7YIkKu9fipdDhq6FcU7lNQluoK21s5pO5KPtY1rIgg==,58,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$bWOQ20PEl_0IarlXKNHCYfq0_5s~/0a61/5108/715d/429e-8447-30b214224894/a0794990-a8b1-44cf-8616-908fabb648b1_video_6.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '479690531', 'Connection': 'keep-alive', 'Date': 'Tue, 27 Jun 2023 03:02:13 GMT', 'Last-Modified': 'Wed, 11 Jan 2023 22:47:57 GMT', 'ETag': '""8d0063c97bc9076a98bbb347e267e475-92""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '2ad5839610b999d9e3591c641f3cbbc32566f155', 'x-amz-meta-dv-checksum-md5': '005a5dcaf665f0e8d959f51f263f6918', 'x-amz-meta-dv-checksum-sha-256': 'c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 c1d7186a877d135a7719e9819d2a8e1c.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA52-M2', 'X-Amz-Cf-Id': 'eXLi7ggjIQ7R7YIkKu9fipdDhq6FcU7lNQluoK21s5pO5KPtY1rIgg==', 'Age': '58'}"
27-06-2023_05:03:38:746555,54.240.131.114,161.0855560284108,"['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.130', '15.230.28.25', '15.230.28.129', '*', '*', '*', '*', '*', '54.240.131.114']","['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.130', '15.230.28.25', '15.230.28.129', '*', '*', '*', '*', '*', '54.240.131.114']",26,video/mp4,479690531,keep-alive,"Tue, 27 Jun 2023 03:03:40 GMT","Wed, 11 Jan 2023 22:47:57 GMT","""8d0063c97bc9076a98bbb347e267e475-92""",INTELLIGENT_TIERING,AES256,2ad5839610b999d9e3591c641f3cbbc32566f155,005a5dcaf665f0e8d959f51f263f6918,c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b,bytes,AmazonS3, ,[],[],0,Miss from cloudfront,1.1 a97789db563d73c0797bcdcfed79f9d8.cloudfront.net (CloudFront),SFO50-M3,xOMm8tjcH1v2EWuyBfmoF23fZq-DlT4MtwyVZ4nqaeqfB_RkPh3IyQ==, ,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$bWOQ20PEl_0IarlXKNHCYfq0_5s~/0a61/5108/715d/429e-8447-30b214224894/a0794990-a8b1-44cf-8616-908fabb648b1_video_6.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '479690531', 'Connection': 'keep-alive', 'Date': 'Tue, 27 Jun 2023 03:03:40 GMT', 'Last-Modified': 'Wed, 11 Jan 2023 22:47:57 GMT', 'ETag': '""8d0063c97bc9076a98bbb347e267e475-92""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '2ad5839610b999d9e3591c641f3cbbc32566f155', 'x-amz-meta-dv-checksum-md5': '005a5dcaf665f0e8d959f51f263f6918', 'x-amz-meta-dv-checksum-sha-256': 'c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Miss from cloudfront', 'Via': '1.1 a97789db563d73c0797bcdcfed79f9d8.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO50-M3', 'X-Amz-Cf-Id': 'xOMm8tjcH1v2EWuyBfmoF23fZq-DlT4MtwyVZ4nqaeqfB_RkPh3IyQ=='}"
27-06-2023_05:04:20:734866,54.240.129.122,160.95542185939848,"['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.122', '15.230.28.21', '15.230.28.141', '*', '*', '*', '*', '*', '54.240.129.122']","['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.122', '15.230.28.21', '15.230.28.141', '*', '*', '*', '*', '*', '54.240.129.122']",26,video/mp4,479690531,keep-alive,"Tue, 27 Jun 2023 03:03:40 GMT","Wed, 11 Jan 2023 22:47:57 GMT","""8d0063c97bc9076a98bbb347e267e475-92""",INTELLIGENT_TIERING,AES256,2ad5839610b999d9e3591c641f3cbbc32566f155,005a5dcaf665f0e8d959f51f263f6918,c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 a2b7135f18dd77ec380bbf9886d29ee2.cloudfront.net (CloudFront),SFO5-M1,ggHZe830NkUg1g_pYWGxNQIqqF0SGP8mRkcl-7lYmMfqumHCpKm-MA==,41,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$bWOQ20PEl_0IarlXKNHCYfq0_5s~/0a61/5108/715d/429e-8447-30b214224894/a0794990-a8b1-44cf-8616-908fabb648b1_video_6.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '479690531', 'Connection': 'keep-alive', 'Date': 'Tue, 27 Jun 2023 03:03:40 GMT', 'Last-Modified': 'Wed, 11 Jan 2023 22:47:57 GMT', 'ETag': '""8d0063c97bc9076a98bbb347e267e475-92""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '2ad5839610b999d9e3591c641f3cbbc32566f155', 'x-amz-meta-dv-checksum-md5': '005a5dcaf665f0e8d959f51f263f6918', 'x-amz-meta-dv-checksum-sha-256': 'c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 a2b7135f18dd77ec380bbf9886d29ee2.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO5-M1', 'X-Amz-Cf-Id': 'ggHZe830NkUg1g_pYWGxNQIqqF0SGP8mRkcl-7lYmMfqumHCpKm-MA==', 'Age': '41'}"
27-06-2023_05:04:58:859480,54.240.130.99,160.11390509083867,"['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.88.224.218', '52.93.47.155', '15.230.28.155', '*', '*', '*', '*', '*', '54.240.130.99']","['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.88.224.218', '52.93.47.155', '15.230.28.155', '*', '*', '*', '*', '*', '54.240.130.99']",26,video/mp4,479690531,keep-alive,"Tue, 27 Jun 2023 03:03:40 GMT","Wed, 11 Jan 2023 22:47:57 GMT","""8d0063c97bc9076a98bbb347e267e475-92""",INTELLIGENT_TIERING,AES256,2ad5839610b999d9e3591c641f3cbbc32566f155,005a5dcaf665f0e8d959f51f263f6918,c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 97144366d72ada8762c528bbe6eda0b0.cloudfront.net (CloudFront),SFO20-M2,RRJhtRCnMYjYMhWbpS8_UgkeHlDYk294Ntnm1KCJQjCmcCtZ60KxkQ==,80,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$bWOQ20PEl_0IarlXKNHCYfq0_5s~/0a61/5108/715d/429e-8447-30b214224894/a0794990-a8b1-44cf-8616-908fabb648b1_video_6.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '479690531', 'Connection': 'keep-alive', 'Date': 'Tue, 27 Jun 2023 03:03:40 GMT', 'Last-Modified': 'Wed, 11 Jan 2023 22:47:57 GMT', 'ETag': '""8d0063c97bc9076a98bbb347e267e475-92""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '2ad5839610b999d9e3591c641f3cbbc32566f155', 'x-amz-meta-dv-checksum-md5': '005a5dcaf665f0e8d959f51f263f6918', 'x-amz-meta-dv-checksum-sha-256': 'c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 97144366d72ada8762c528bbe6eda0b0.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO20-M2', 'X-Amz-Cf-Id': 'RRJhtRCnMYjYMhWbpS8_UgkeHlDYk294Ntnm1KCJQjCmcCtZ60KxkQ==', 'Age': '80'}"
27-06-2023_05:05:37:779550,54.182.215.109,24.35124502517283,"['*', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.126', '130.117.0.18', '154.54.36.53', '130.117.0.121', '149.14.82.82', '54.239.114.82', '*', '*', '*', '*', '*', '*', '54.182.215.109']","['*', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.126', '130.117.0.18', '154.54.36.53', '130.117.0.121', '149.14.82.82', '54.239.114.82', '*', '*', '*', '*', '*', '*', '54.182.215.109']",21,video/mp4,479690531,keep-alive,"Tue, 27 Jun 2023 03:05:38 GMT","Wed, 11 Jan 2023 22:47:57 GMT","""8d0063c97bc9076a98bbb347e267e475-92""",INTELLIGENT_TIERING,AES256,2ad5839610b999d9e3591c641f3cbbc32566f155,005a5dcaf665f0e8d959f51f263f6918,c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b,bytes,AmazonS3, ,[],[],0,Miss from cloudfront,1.1 055169244af8875194e1a7e5c71e806c.cloudfront.net (CloudFront),AMS51-M1,8xgWJTkIWa2bQ_JNGlb8gPKrMNJ9Y_ho-5hgsCq59DdFXAowkSEFvw==, ,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$bWOQ20PEl_0IarlXKNHCYfq0_5s~/0a61/5108/715d/429e-8447-30b214224894/a0794990-a8b1-44cf-8616-908fabb648b1_video_6.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '479690531', 'Connection': 'keep-alive', 'Date': 'Tue, 27 Jun 2023 03:05:38 GMT', 'Last-Modified': 'Wed, 11 Jan 2023 22:47:57 GMT', 'ETag': '""8d0063c97bc9076a98bbb347e267e475-92""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '2ad5839610b999d9e3591c641f3cbbc32566f155', 'x-amz-meta-dv-checksum-md5': '005a5dcaf665f0e8d959f51f263f6918', 'x-amz-meta-dv-checksum-sha-256': 'c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Miss from cloudfront', 'Via': '1.1 055169244af8875194e1a7e5c71e806c.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'AMS51-M1', 'X-Amz-Cf-Id': '8xgWJTkIWa2bQ_JNGlb8gPKrMNJ9Y_ho-5hgsCq59DdFXAowkSEFvw=='}"
27-06-2023_05:06:06:882096,54.182.216.113,24.35870305635035,"['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.8', '*', '*', '*', '*', '*', '*', '54.182.216.113']","['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.8', '*', '*', '*', '*', '*', '*', '54.182.216.113']",21,video/mp4,479690531,keep-alive,"Tue, 27 Jun 2023 03:05:38 GMT","Wed, 11 Jan 2023 22:47:57 GMT","""8d0063c97bc9076a98bbb347e267e475-92""",INTELLIGENT_TIERING,AES256,2ad5839610b999d9e3591c641f3cbbc32566f155,005a5dcaf665f0e8d959f51f263f6918,c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 ba8e634a8489f92478393f9c59e5d130.cloudfront.net (CloudFront),AMS52-M2,WfT5Xgd6Mw5w3jmyAYaASp3I_wf7DlNdrW-KeZKqu_GX6Rfc6fqxLQ==,29,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$bWOQ20PEl_0IarlXKNHCYfq0_5s~/0a61/5108/715d/429e-8447-30b214224894/a0794990-a8b1-44cf-8616-908fabb648b1_video_6.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '479690531', 'Connection': 'keep-alive', 'Date': 'Tue, 27 Jun 2023 03:05:38 GMT', 'Last-Modified': 'Wed, 11 Jan 2023 22:47:57 GMT', 'ETag': '""8d0063c97bc9076a98bbb347e267e475-92""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '2ad5839610b999d9e3591c641f3cbbc32566f155', 'x-amz-meta-dv-checksum-md5': '005a5dcaf665f0e8d959f51f263f6918', 'x-amz-meta-dv-checksum-sha-256': 'c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 ba8e634a8489f92478393f9c59e5d130.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'AMS52-M2', 'X-Amz-Cf-Id': 'WfT5Xgd6Mw5w3jmyAYaASp3I_wf7DlNdrW-KeZKqu_GX6Rfc6fqxLQ==', 'Age': '29'}"
27-06-2023_05:06:35:520617,54.182.217.120,25.307503063231707,"['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.6', '*', '*', '*', '*', '*', '*', '54.182.217.120']","['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.6', '*', '*', '*', '*', '*', '*', '54.182.217.120']",21,video/mp4,479690531,keep-alive,"Tue, 27 Jun 2023 03:05:38 GMT","Wed, 11 Jan 2023 22:47:57 GMT","""8d0063c97bc9076a98bbb347e267e475-92""",INTELLIGENT_TIERING,AES256,2ad5839610b999d9e3591c641f3cbbc32566f155,005a5dcaf665f0e8d959f51f263f6918,c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 076d3aabcd20a15100af6eec842ff554.cloudfront.net (CloudFront),AMS53-M3,_xm-ZfymRkq9B81qqzbzH5IaQWu-Zpt27Fgup-WR8wv6RAw3AH9rlg==,58,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$bWOQ20PEl_0IarlXKNHCYfq0_5s~/0a61/5108/715d/429e-8447-30b214224894/a0794990-a8b1-44cf-8616-908fabb648b1_video_6.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '479690531', 'Connection': 'keep-alive', 'Date': 'Tue, 27 Jun 2023 03:05:38 GMT', 'Last-Modified': 'Wed, 11 Jan 2023 22:47:57 GMT', 'ETag': '""8d0063c97bc9076a98bbb347e267e475-92""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '2ad5839610b999d9e3591c641f3cbbc32566f155', 'x-amz-meta-dv-checksum-md5': '005a5dcaf665f0e8d959f51f263f6918', 'x-amz-meta-dv-checksum-sha-256': 'c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 076d3aabcd20a15100af6eec842ff554.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'AMS53-M3', 'X-Amz-Cf-Id': '_xm-ZfymRkq9B81qqzbzH5IaQWu-Zpt27Fgup-WR8wv6RAw3AH9rlg==', 'Age': '58'}"
27-06-2023_05:07:04:099901,54.182.235.102,19.238328095525503,"['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.36.165', '154.54.60.170', '149.14.196.218', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']","['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.36.165', '154.54.60.170', '149.14.196.218', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']",19,video/mp4,479690531,keep-alive,"Tue, 27 Jun 2023 03:07:05 GMT","Wed, 11 Jan 2023 22:47:57 GMT","""8d0063c97bc9076a98bbb347e267e475-92""",INTELLIGENT_TIERING,AES256,2ad5839610b999d9e3591c641f3cbbc32566f155,005a5dcaf665f0e8d959f51f263f6918,c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b,bytes,AmazonS3, ,[],[],0,Miss from cloudfront,1.1 2b92a2d18393a6215c8d2276d4fd8bba.cloudfront.net (CloudFront),LHR50-M1,eWe74izIn5DaONKQVSKwSJ92oHxsjas17_i3_CPUpQWishr5cc03Zg==, ,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$bWOQ20PEl_0IarlXKNHCYfq0_5s~/0a61/5108/715d/429e-8447-30b214224894/a0794990-a8b1-44cf-8616-908fabb648b1_video_6.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '479690531', 'Connection': 'keep-alive', 'Date': 'Tue, 27 Jun 2023 03:07:05 GMT', 'Last-Modified': 'Wed, 11 Jan 2023 22:47:57 GMT', 'ETag': '""8d0063c97bc9076a98bbb347e267e475-92""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '2ad5839610b999d9e3591c641f3cbbc32566f155', 'x-amz-meta-dv-checksum-md5': '005a5dcaf665f0e8d959f51f263f6918', 'x-amz-meta-dv-checksum-sha-256': 'c2f1a15cd1090b2d2a27a4ca3694c8deea7203b09132b508fcac62d371ae858b', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Miss from cloudfront', 'Via': '1.1 2b92a2d18393a6215c8d2276d4fd8bba.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'LHR50-M1', 'X-Amz-Cf-Id': 'eWe74izIn5DaONKQVSKwSJ92oHxsjas17_i3_CPUpQWishr5cc03Zg=='}"
