timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
15-06-2023_22:16:59:443465,18.165.183.124,8.963403990492225,"['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.231', '52.93.42.143', '*', '*', '*', '*', '*', '*', '*', '18.165.183.124']","['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.231', '52.93.42.143', '*', '*', '*', '*', '*', '*', '*', '18.165.183.124']",17,video/mp4,436297871,keep-alive,"Wed, 14 Jun 2023 01:05:50 GMT","Thu, 25 Aug 2022 09:03:24 GMT","""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""",INTELLIGENT_TIERING, ,33ddfc20f0670838344388e49244f85b79053078,730acb254192ccc0f4e87e8c97d752a6,13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 9c0ce977a13f3d9bbc6eed6540faf728.cloudfront.net (CloudFront),ZRH55-P1,aTuMvUVRcY3nU1KlADVB61ZW1GKn1trzt1j1I13ogRO1Kt90bfBVzw==,155470,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$A4-gUjU2yHeRBnrvkELQpD4TLhI~/d71a/c111/7349/4a04-b996-24b17af9011a/8ef1fd91-af4a-49dc-95b8-bdc1b770c9b8_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '436297871', 'Connection': 'keep-alive', 'Date': 'Wed, 14 Jun 2023 01:05:50 GMT', 'Last-Modified': 'Thu, 25 Aug 2022 09:03:24 GMT', 'ETag': '""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '33ddfc20f0670838344388e49244f85b79053078', 'x-amz-meta-dv-checksum-md5': '730acb254192ccc0f4e87e8c97d752a6', 'x-amz-meta-dv-checksum-sha-256': '13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 9c0ce977a13f3d9bbc6eed6540faf728.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'aTuMvUVRcY3nU1KlADVB61ZW1GKn1trzt1j1I13ogRO1Kt90bfBVzw==', 'Age': '155470'}"
15-06-2023_22:18:01:939222,18.165.183.115,8.84259701706469,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.67', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.115']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.67', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.115']",17,video/mp4,436297871,keep-alive,"Wed, 14 Jun 2023 01:05:50 GMT","Thu, 25 Aug 2022 09:03:24 GMT","""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""",INTELLIGENT_TIERING, ,33ddfc20f0670838344388e49244f85b79053078,730acb254192ccc0f4e87e8c97d752a6,13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 aca4cfc16ad0f84e78738cc400bfb7f4.cloudfront.net (CloudFront),ZRH55-P1,NQQlnkoP8gUsXnXIyQNHjcxEw9wd3uAfIHsuN5NmXc8wVIRdehp88g==,155532,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$A4-gUjU2yHeRBnrvkELQpD4TLhI~/d71a/c111/7349/4a04-b996-24b17af9011a/8ef1fd91-af4a-49dc-95b8-bdc1b770c9b8_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '436297871', 'Connection': 'keep-alive', 'Date': 'Wed, 14 Jun 2023 01:05:50 GMT', 'Last-Modified': 'Thu, 25 Aug 2022 09:03:24 GMT', 'ETag': '""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '33ddfc20f0670838344388e49244f85b79053078', 'x-amz-meta-dv-checksum-md5': '730acb254192ccc0f4e87e8c97d752a6', 'x-amz-meta-dv-checksum-sha-256': '13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 aca4cfc16ad0f84e78738cc400bfb7f4.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'NQQlnkoP8gUsXnXIyQNHjcxEw9wd3uAfIHsuN5NmXc8wVIRdehp88g==', 'Age': '155532'}"
15-06-2023_22:18:18:252718,18.165.183.81,6.840618007117882,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.81', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.81']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.81', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.81']",17,video/mp4,436297871,keep-alive,"Wed, 14 Jun 2023 01:05:50 GMT","Thu, 25 Aug 2022 09:03:24 GMT","""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""",INTELLIGENT_TIERING, ,33ddfc20f0670838344388e49244f85b79053078,730acb254192ccc0f4e87e8c97d752a6,13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 9f25aa45df27e50f380232059fde4c1a.cloudfront.net (CloudFront),ZRH55-P1,mT0VbCdKFowZmfl9jQnX-AyYIt5WBqc0IB87PM_YYaH9uR0prz0h9Q==,155549,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$A4-gUjU2yHeRBnrvkELQpD4TLhI~/d71a/c111/7349/4a04-b996-24b17af9011a/8ef1fd91-af4a-49dc-95b8-bdc1b770c9b8_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '436297871', 'Connection': 'keep-alive', 'Date': 'Wed, 14 Jun 2023 01:05:50 GMT', 'Last-Modified': 'Thu, 25 Aug 2022 09:03:24 GMT', 'ETag': '""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '33ddfc20f0670838344388e49244f85b79053078', 'x-amz-meta-dv-checksum-md5': '730acb254192ccc0f4e87e8c97d752a6', 'x-amz-meta-dv-checksum-sha-256': '13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 9f25aa45df27e50f380232059fde4c1a.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'mT0VbCdKFowZmfl9jQnX-AyYIt5WBqc0IB87PM_YYaH9uR0prz0h9Q==', 'Age': '155549'}"
15-06-2023_22:18:29:405760,18.165.183.22,6.005830015055835,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.217', '52.93.42.35', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.22']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.217', '52.93.42.35', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.22']",17,video/mp4,436297871,keep-alive,"Wed, 14 Jun 2023 01:05:50 GMT","Thu, 25 Aug 2022 09:03:24 GMT","""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""",INTELLIGENT_TIERING, ,33ddfc20f0670838344388e49244f85b79053078,730acb254192ccc0f4e87e8c97d752a6,13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 2bb98457c96f801517f8d0d98344cd3c.cloudfront.net (CloudFront),ZRH55-P1,jv7_DY0RDQ7kBrnDqJgBxcbxxLpZbzNUI-vFs-CzYNLQFUmu8mMLKw==,155560,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$A4-gUjU2yHeRBnrvkELQpD4TLhI~/d71a/c111/7349/4a04-b996-24b17af9011a/8ef1fd91-af4a-49dc-95b8-bdc1b770c9b8_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '436297871', 'Connection': 'keep-alive', 'Date': 'Wed, 14 Jun 2023 01:05:50 GMT', 'Last-Modified': 'Thu, 25 Aug 2022 09:03:24 GMT', 'ETag': '""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '33ddfc20f0670838344388e49244f85b79053078', 'x-amz-meta-dv-checksum-md5': '730acb254192ccc0f4e87e8c97d752a6', 'x-amz-meta-dv-checksum-sha-256': '13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 2bb98457c96f801517f8d0d98344cd3c.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'jv7_DY0RDQ7kBrnDqJgBxcbxxLpZbzNUI-vFs-CzYNLQFUmu8mMLKw==', 'Age': '155560'}"
15-06-2023_22:18:40:269704,18.165.183.81,5.652599997119978,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.81', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.81']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.81', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.81']",17,video/mp4,436297871,keep-alive,"Wed, 14 Jun 2023 01:05:50 GMT","Thu, 25 Aug 2022 09:03:24 GMT","""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""",INTELLIGENT_TIERING, ,33ddfc20f0670838344388e49244f85b79053078,730acb254192ccc0f4e87e8c97d752a6,13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 2bb98457c96f801517f8d0d98344cd3c.cloudfront.net (CloudFront),ZRH55-P1,MgBewniV93q_4b70-WEe2pK6QbzDQ3-GzVdi1saQPM4zUCQQciIV2Q==,155571,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$A4-gUjU2yHeRBnrvkELQpD4TLhI~/d71a/c111/7349/4a04-b996-24b17af9011a/8ef1fd91-af4a-49dc-95b8-bdc1b770c9b8_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '436297871', 'Connection': 'keep-alive', 'Date': 'Wed, 14 Jun 2023 01:05:50 GMT', 'Last-Modified': 'Thu, 25 Aug 2022 09:03:24 GMT', 'ETag': '""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '33ddfc20f0670838344388e49244f85b79053078', 'x-amz-meta-dv-checksum-md5': '730acb254192ccc0f4e87e8c97d752a6', 'x-amz-meta-dv-checksum-sha-256': '13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 2bb98457c96f801517f8d0d98344cd3c.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'MgBewniV93q_4b70-WEe2pK6QbzDQ3-GzVdi1saQPM4zUCQQciIV2Q==', 'Age': '155571'}"
15-06-2023_22:18:50:644600,18.165.183.115,7.612252986291423,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.67', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.115']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.67', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.115']",17,video/mp4,436297871,keep-alive,"Wed, 14 Jun 2023 01:05:50 GMT","Thu, 25 Aug 2022 09:03:24 GMT","""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""",INTELLIGENT_TIERING, ,33ddfc20f0670838344388e49244f85b79053078,730acb254192ccc0f4e87e8c97d752a6,13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 f6d3d027dc70c7291c2f685efb187ab2.cloudfront.net (CloudFront),ZRH55-P1,5zCFCDN6o20sHz0wXwCyxNFXuV2wk5IBQJ9k1ejhUy6uo75lG8e9ow==,155581,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$A4-gUjU2yHeRBnrvkELQpD4TLhI~/d71a/c111/7349/4a04-b996-24b17af9011a/8ef1fd91-af4a-49dc-95b8-bdc1b770c9b8_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '436297871', 'Connection': 'keep-alive', 'Date': 'Wed, 14 Jun 2023 01:05:50 GMT', 'Last-Modified': 'Thu, 25 Aug 2022 09:03:24 GMT', 'ETag': '""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '33ddfc20f0670838344388e49244f85b79053078', 'x-amz-meta-dv-checksum-md5': '730acb254192ccc0f4e87e8c97d752a6', 'x-amz-meta-dv-checksum-sha-256': '13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 f6d3d027dc70c7291c2f685efb187ab2.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': '5zCFCDN6o20sHz0wXwCyxNFXuV2wk5IBQJ9k1ejhUy6uo75lG8e9ow==', 'Age': '155581'}"
15-06-2023_22:19:01:612842,18.165.183.115,5.887662002351135,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.67', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.115']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.67', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.115']",17,video/mp4,436297871,keep-alive,"Wed, 14 Jun 2023 01:05:50 GMT","Thu, 25 Aug 2022 09:03:24 GMT","""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""",INTELLIGENT_TIERING, ,33ddfc20f0670838344388e49244f85b79053078,730acb254192ccc0f4e87e8c97d752a6,13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 7eb9eadda041aaab1056a6a0f8080462.cloudfront.net (CloudFront),ZRH55-P1,f7Rp9mVdHz8FjtRm1M3avZwjLm_SwAwRBHLzhOZPEdFsbk8_4DuYtA==,155592,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$A4-gUjU2yHeRBnrvkELQpD4TLhI~/d71a/c111/7349/4a04-b996-24b17af9011a/8ef1fd91-af4a-49dc-95b8-bdc1b770c9b8_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '436297871', 'Connection': 'keep-alive', 'Date': 'Wed, 14 Jun 2023 01:05:50 GMT', 'Last-Modified': 'Thu, 25 Aug 2022 09:03:24 GMT', 'ETag': '""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '33ddfc20f0670838344388e49244f85b79053078', 'x-amz-meta-dv-checksum-md5': '730acb254192ccc0f4e87e8c97d752a6', 'x-amz-meta-dv-checksum-sha-256': '13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 7eb9eadda041aaab1056a6a0f8080462.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'f7Rp9mVdHz8FjtRm1M3avZwjLm_SwAwRBHLzhOZPEdFsbk8_4DuYtA==', 'Age': '155592'}"
15-06-2023_22:19:12:509114,18.165.183.115,5.055814021034166,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.67', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.115']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.67', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.115']",17,video/mp4,436297871,keep-alive,"Wed, 14 Jun 2023 01:05:50 GMT","Thu, 25 Aug 2022 09:03:24 GMT","""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""",INTELLIGENT_TIERING, ,33ddfc20f0670838344388e49244f85b79053078,730acb254192ccc0f4e87e8c97d752a6,13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 20e88007b6f5218ef5942bc3581c73b8.cloudfront.net (CloudFront),ZRH55-P1,OxWjrxmNgjJsZhzozJVNtJVDCXipB9jNlZRjYBgK0awj0tPtCtAAQA==,155603,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$A4-gUjU2yHeRBnrvkELQpD4TLhI~/d71a/c111/7349/4a04-b996-24b17af9011a/8ef1fd91-af4a-49dc-95b8-bdc1b770c9b8_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '436297871', 'Connection': 'keep-alive', 'Date': 'Wed, 14 Jun 2023 01:05:50 GMT', 'Last-Modified': 'Thu, 25 Aug 2022 09:03:24 GMT', 'ETag': '""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '33ddfc20f0670838344388e49244f85b79053078', 'x-amz-meta-dv-checksum-md5': '730acb254192ccc0f4e87e8c97d752a6', 'x-amz-meta-dv-checksum-sha-256': '13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 20e88007b6f5218ef5942bc3581c73b8.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'OxWjrxmNgjJsZhzozJVNtJVDCXipB9jNlZRjYBgK0awj0tPtCtAAQA==', 'Age': '155603'}"
15-06-2023_22:19:22:937676,18.165.183.81,6.550757010700181,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.81', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.81']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.81', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.81']",17,video/mp4,436297871,keep-alive,"Wed, 14 Jun 2023 01:05:50 GMT","Thu, 25 Aug 2022 09:03:24 GMT","""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""",INTELLIGENT_TIERING, ,33ddfc20f0670838344388e49244f85b79053078,730acb254192ccc0f4e87e8c97d752a6,13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 2177a1d449a3e8dc7269040f15d81cb0.cloudfront.net (CloudFront),ZRH55-P1,hSBXvbqUojVBEbbI5Mwrsc0_81STTIbB1Ly1DRN9hmQN9vHGoPSceg==,155613,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$A4-gUjU2yHeRBnrvkELQpD4TLhI~/d71a/c111/7349/4a04-b996-24b17af9011a/8ef1fd91-af4a-49dc-95b8-bdc1b770c9b8_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '436297871', 'Connection': 'keep-alive', 'Date': 'Wed, 14 Jun 2023 01:05:50 GMT', 'Last-Modified': 'Thu, 25 Aug 2022 09:03:24 GMT', 'ETag': '""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '33ddfc20f0670838344388e49244f85b79053078', 'x-amz-meta-dv-checksum-md5': '730acb254192ccc0f4e87e8c97d752a6', 'x-amz-meta-dv-checksum-sha-256': '13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 2177a1d449a3e8dc7269040f15d81cb0.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'hSBXvbqUojVBEbbI5Mwrsc0_81STTIbB1Ly1DRN9hmQN9vHGoPSceg==', 'Age': '155613'}"
15-06-2023_22:19:34:098130,18.165.183.124,5.265849002171308,"['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.231', '52.93.42.143', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.124']","['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.231', '52.93.42.143', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.124']",17,video/mp4,436297871,keep-alive,"Wed, 14 Jun 2023 01:05:50 GMT","Thu, 25 Aug 2022 09:03:24 GMT","""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""",INTELLIGENT_TIERING, ,33ddfc20f0670838344388e49244f85b79053078,730acb254192ccc0f4e87e8c97d752a6,13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 633b37c269943f0b3472e0abe1a07b2c.cloudfront.net (CloudFront),ZRH55-P1,Kh-DL6FyXULXs5KKpQ6iwrHkQU6jCXnDIUHNjfDIDFZiBRNxGGMZPw==,155625,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$A4-gUjU2yHeRBnrvkELQpD4TLhI~/d71a/c111/7349/4a04-b996-24b17af9011a/8ef1fd91-af4a-49dc-95b8-bdc1b770c9b8_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '436297871', 'Connection': 'keep-alive', 'Date': 'Wed, 14 Jun 2023 01:05:50 GMT', 'Last-Modified': 'Thu, 25 Aug 2022 09:03:24 GMT', 'ETag': '""f5ae8baf6b04b29ef5f307c9d5e48a6b-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '33ddfc20f0670838344388e49244f85b79053078', 'x-amz-meta-dv-checksum-md5': '730acb254192ccc0f4e87e8c97d752a6', 'x-amz-meta-dv-checksum-sha-256': '13d250d9ad4439962c5998fd0d301d1e02e76cab2e6142df640943f84f0033cc', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 633b37c269943f0b3472e0abe1a07b2c.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'Kh-DL6FyXULXs5KKpQ6iwrHkQU6jCXnDIUHNjfDIDFZiBRNxGGMZPw==', 'Age': '155625'}"
