timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
19-06-2023_17:52:15:216605,18.165.183.81,7.72685999982059,"['*', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.81', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.81']","['*', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.81', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.81']",17,video/mp4,1176691722,keep-alive,"Sat, 27 May 2023 13:44:14 GMT","Tue, 28 Feb 2023 08:17:26 GMT","""01b62e200f777353e9fe0836a9348b5e-225""",INTELLIGENT_TIERING,AES256,4f9e2a3d9cd0638fa6653e573df96897d8d95277,9207a9a13cc30632afa925bac4ec9076,c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 3a4b7ff21260552f6982d2003fec9c84.cloudfront.net (CloudFront),ZRH55-P1,DR3Ch4guT2CSYMfjt0KCydm03DAvVJmtl7ti7qLx8EFrQs6JC-RrVQ==,1994882,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$zDnH3thiCM6W3cG2-JenJVJeIEg~/9b11/2012/5f03/40b2-a448-03d77f2a08a3/35b090a8-5066-45a4-9f33-77c98ec3b68f_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '1176691722', 'Connection': 'keep-alive', 'Date': 'Sat, 27 May 2023 13:44:14 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 08:17:26 GMT', 'ETag': '""01b62e200f777353e9fe0836a9348b5e-225""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '4f9e2a3d9cd0638fa6653e573df96897d8d95277', 'x-amz-meta-dv-checksum-md5': '9207a9a13cc30632afa925bac4ec9076', 'x-amz-meta-dv-checksum-sha-256': 'c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 3a4b7ff21260552f6982d2003fec9c84.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'DR3Ch4guT2CSYMfjt0KCydm03DAvVJmtl7ti7qLx8EFrQs6JC-RrVQ==', 'Age': '1994882'}"
19-06-2023_17:54:39:436041,18.165.183.81,5.966274009551853,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.81', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.81']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.81', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.81']",17,video/mp4,1176691722,keep-alive,"Sat, 27 May 2023 13:44:14 GMT","Tue, 28 Feb 2023 08:17:26 GMT","""01b62e200f777353e9fe0836a9348b5e-225""",INTELLIGENT_TIERING,AES256,4f9e2a3d9cd0638fa6653e573df96897d8d95277,9207a9a13cc30632afa925bac4ec9076,c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 478446fb4d72a1fd99b9a7a5157265f4.cloudfront.net (CloudFront),ZRH55-P1,XzkQKwMHbJvkwZPO4s56im_C6LXkl1qoPRBjMVawMdQNloQMzSCFQg==,1995026,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$zDnH3thiCM6W3cG2-JenJVJeIEg~/9b11/2012/5f03/40b2-a448-03d77f2a08a3/35b090a8-5066-45a4-9f33-77c98ec3b68f_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '1176691722', 'Connection': 'keep-alive', 'Date': 'Sat, 27 May 2023 13:44:14 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 08:17:26 GMT', 'ETag': '""01b62e200f777353e9fe0836a9348b5e-225""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '4f9e2a3d9cd0638fa6653e573df96897d8d95277', 'x-amz-meta-dv-checksum-md5': '9207a9a13cc30632afa925bac4ec9076', 'x-amz-meta-dv-checksum-sha-256': 'c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 478446fb4d72a1fd99b9a7a5157265f4.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'XzkQKwMHbJvkwZPO4s56im_C6LXkl1qoPRBjMVawMdQNloQMzSCFQg==', 'Age': '1995026'}"
19-06-2023_17:55:07:591592,18.165.183.81,5.779970029834658,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.81', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.81']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.81', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.81']",17,video/mp4,1176691722,keep-alive,"Sat, 27 May 2023 13:44:14 GMT","Tue, 28 Feb 2023 08:17:26 GMT","""01b62e200f777353e9fe0836a9348b5e-225""",INTELLIGENT_TIERING,AES256,4f9e2a3d9cd0638fa6653e573df96897d8d95277,9207a9a13cc30632afa925bac4ec9076,c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 7eb9eadda041aaab1056a6a0f8080462.cloudfront.net (CloudFront),ZRH55-P1,QgV8OSqwv2c5VgDb1PRx_iNFVCOf8B86xmoOqu3D49ToBUxud4HQ5Q==,1995054,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$zDnH3thiCM6W3cG2-JenJVJeIEg~/9b11/2012/5f03/40b2-a448-03d77f2a08a3/35b090a8-5066-45a4-9f33-77c98ec3b68f_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '1176691722', 'Connection': 'keep-alive', 'Date': 'Sat, 27 May 2023 13:44:14 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 08:17:26 GMT', 'ETag': '""01b62e200f777353e9fe0836a9348b5e-225""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '4f9e2a3d9cd0638fa6653e573df96897d8d95277', 'x-amz-meta-dv-checksum-md5': '9207a9a13cc30632afa925bac4ec9076', 'x-amz-meta-dv-checksum-sha-256': 'c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 7eb9eadda041aaab1056a6a0f8080462.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'QgV8OSqwv2c5VgDb1PRx_iNFVCOf8B86xmoOqu3D49ToBUxud4HQ5Q==', 'Age': '1995054'}"
19-06-2023_17:55:22:026414,18.165.183.124,4.887529008556157,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.231', '52.93.42.143', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.124']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.231', '52.93.42.143', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.124']",17,video/mp4,1176691722,keep-alive,"Sat, 27 May 2023 13:44:14 GMT","Tue, 28 Feb 2023 08:17:26 GMT","""01b62e200f777353e9fe0836a9348b5e-225""",INTELLIGENT_TIERING,AES256,4f9e2a3d9cd0638fa6653e573df96897d8d95277,9207a9a13cc30632afa925bac4ec9076,c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 6678c1810851ff197cbe3fe4c41e86a6.cloudfront.net (CloudFront),ZRH55-P1,0uNs3pw5BXeYKOhKnhUP_a0uB4_oBIX6WhrIMz6-rAleEICK5POCOw==,1995069,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$zDnH3thiCM6W3cG2-JenJVJeIEg~/9b11/2012/5f03/40b2-a448-03d77f2a08a3/35b090a8-5066-45a4-9f33-77c98ec3b68f_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '1176691722', 'Connection': 'keep-alive', 'Date': 'Sat, 27 May 2023 13:44:14 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 08:17:26 GMT', 'ETag': '""01b62e200f777353e9fe0836a9348b5e-225""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '4f9e2a3d9cd0638fa6653e573df96897d8d95277', 'x-amz-meta-dv-checksum-md5': '9207a9a13cc30632afa925bac4ec9076', 'x-amz-meta-dv-checksum-sha-256': 'c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 6678c1810851ff197cbe3fe4c41e86a6.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': '0uNs3pw5BXeYKOhKnhUP_a0uB4_oBIX6WhrIMz6-rAleEICK5POCOw==', 'Age': '1995069'}"
19-06-2023_17:55:36:507489,18.165.183.124,5.334815999958664,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.231', '52.93.42.143', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.124']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.231', '52.93.42.143', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.124']",17,video/mp4,1176691722,keep-alive,"Sat, 27 May 2023 13:44:14 GMT","Tue, 28 Feb 2023 08:17:26 GMT","""01b62e200f777353e9fe0836a9348b5e-225""",INTELLIGENT_TIERING,AES256,4f9e2a3d9cd0638fa6653e573df96897d8d95277,9207a9a13cc30632afa925bac4ec9076,c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 b50b0f4274b74414c7dcdb544e6090a2.cloudfront.net (CloudFront),ZRH55-P1,po5GEMxoTbjBohGTODwwzqMTnvzAV9gzY55r_vFqM3iVR0dGlSIfog==,1995083,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$zDnH3thiCM6W3cG2-JenJVJeIEg~/9b11/2012/5f03/40b2-a448-03d77f2a08a3/35b090a8-5066-45a4-9f33-77c98ec3b68f_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '1176691722', 'Connection': 'keep-alive', 'Date': 'Sat, 27 May 2023 13:44:14 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 08:17:26 GMT', 'ETag': '""01b62e200f777353e9fe0836a9348b5e-225""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '4f9e2a3d9cd0638fa6653e573df96897d8d95277', 'x-amz-meta-dv-checksum-md5': '9207a9a13cc30632afa925bac4ec9076', 'x-amz-meta-dv-checksum-sha-256': 'c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 b50b0f4274b74414c7dcdb544e6090a2.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'po5GEMxoTbjBohGTODwwzqMTnvzAV9gzY55r_vFqM3iVR0dGlSIfog==', 'Age': '1995083'}"
19-06-2023_17:55:50:883797,18.165.183.115,7.740357017610222,"['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.67', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.115']","['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.67', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.115']",17,video/mp4,1176691722,keep-alive,"Sat, 27 May 2023 13:44:14 GMT","Tue, 28 Feb 2023 08:17:26 GMT","""01b62e200f777353e9fe0836a9348b5e-225""",INTELLIGENT_TIERING,AES256,4f9e2a3d9cd0638fa6653e573df96897d8d95277,9207a9a13cc30632afa925bac4ec9076,c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 633b37c269943f0b3472e0abe1a07b2c.cloudfront.net (CloudFront),ZRH55-P1,D9r-k5v_CCAlVo66_Q7K-rjX78m8J04YKWHgGOblZlRuBuY11TBoLA==,1995097,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$zDnH3thiCM6W3cG2-JenJVJeIEg~/9b11/2012/5f03/40b2-a448-03d77f2a08a3/35b090a8-5066-45a4-9f33-77c98ec3b68f_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '1176691722', 'Connection': 'keep-alive', 'Date': 'Sat, 27 May 2023 13:44:14 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 08:17:26 GMT', 'ETag': '""01b62e200f777353e9fe0836a9348b5e-225""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '4f9e2a3d9cd0638fa6653e573df96897d8d95277', 'x-amz-meta-dv-checksum-md5': '9207a9a13cc30632afa925bac4ec9076', 'x-amz-meta-dv-checksum-sha-256': 'c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 633b37c269943f0b3472e0abe1a07b2c.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'D9r-k5v_CCAlVo66_Q7K-rjX78m8J04YKWHgGOblZlRuBuY11TBoLA==', 'Age': '1995097'}"
19-06-2023_17:56:05:231495,18.165.183.124,6.98606699006632,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.231', '52.93.42.143', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.124']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.231', '52.93.42.143', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.124']",17,video/mp4,1176691722,keep-alive,"Sat, 27 May 2023 13:44:14 GMT","Tue, 28 Feb 2023 08:17:26 GMT","""01b62e200f777353e9fe0836a9348b5e-225""",INTELLIGENT_TIERING,AES256,4f9e2a3d9cd0638fa6653e573df96897d8d95277,9207a9a13cc30632afa925bac4ec9076,c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 9defe0d67603d45217a1199d0f877384.cloudfront.net (CloudFront),ZRH55-P1,V2HQqiZL6m-2xdCnQ_1p7A80oC2kSqYtzqcGgwfP9JggirtZTsmglA==,1995112,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$zDnH3thiCM6W3cG2-JenJVJeIEg~/9b11/2012/5f03/40b2-a448-03d77f2a08a3/35b090a8-5066-45a4-9f33-77c98ec3b68f_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '1176691722', 'Connection': 'keep-alive', 'Date': 'Sat, 27 May 2023 13:44:14 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 08:17:26 GMT', 'ETag': '""01b62e200f777353e9fe0836a9348b5e-225""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '4f9e2a3d9cd0638fa6653e573df96897d8d95277', 'x-amz-meta-dv-checksum-md5': '9207a9a13cc30632afa925bac4ec9076', 'x-amz-meta-dv-checksum-sha-256': 'c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 9defe0d67603d45217a1199d0f877384.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'V2HQqiZL6m-2xdCnQ_1p7A80oC2kSqYtzqcGgwfP9JggirtZTsmglA==', 'Age': '1995112'}"
19-06-2023_17:56:19:586488,18.165.183.124,5.9271250502206385,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.231', '52.93.42.143', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.124']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.231', '52.93.42.143', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.124']",17,video/mp4,1176691722,keep-alive,"Sat, 27 May 2023 13:44:14 GMT","Tue, 28 Feb 2023 08:17:26 GMT","""01b62e200f777353e9fe0836a9348b5e-225""",INTELLIGENT_TIERING,AES256,4f9e2a3d9cd0638fa6653e573df96897d8d95277,9207a9a13cc30632afa925bac4ec9076,c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 f6d3d027dc70c7291c2f685efb187ab2.cloudfront.net (CloudFront),ZRH55-P1,aV-bN9sNfxA0l4EclQOWBMvuO7jZSTnDa37QTXB4UAOVjaNlIFV38A==,1995126,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$zDnH3thiCM6W3cG2-JenJVJeIEg~/9b11/2012/5f03/40b2-a448-03d77f2a08a3/35b090a8-5066-45a4-9f33-77c98ec3b68f_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '1176691722', 'Connection': 'keep-alive', 'Date': 'Sat, 27 May 2023 13:44:14 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 08:17:26 GMT', 'ETag': '""01b62e200f777353e9fe0836a9348b5e-225""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '4f9e2a3d9cd0638fa6653e573df96897d8d95277', 'x-amz-meta-dv-checksum-md5': '9207a9a13cc30632afa925bac4ec9076', 'x-amz-meta-dv-checksum-sha-256': 'c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 f6d3d027dc70c7291c2f685efb187ab2.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'aV-bN9sNfxA0l4EclQOWBMvuO7jZSTnDa37QTXB4UAOVjaNlIFV38A==', 'Age': '1995126'}"
19-06-2023_17:56:33:983587,18.165.183.124,6.179315969347954,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.231', '52.93.42.143', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.124']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.231', '52.93.42.143', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.124']",17,video/mp4,1176691722,keep-alive,"Sat, 27 May 2023 13:44:14 GMT","Tue, 28 Feb 2023 08:17:26 GMT","""01b62e200f777353e9fe0836a9348b5e-225""",INTELLIGENT_TIERING,AES256,4f9e2a3d9cd0638fa6653e573df96897d8d95277,9207a9a13cc30632afa925bac4ec9076,c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 2177a1d449a3e8dc7269040f15d81cb0.cloudfront.net (CloudFront),ZRH55-P1,krhSh17rG3dYBrw6zZ1g9ZRF6GSayM35HnQpAPUSQMJNI1wfYEfcRA==,1995141,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$zDnH3thiCM6W3cG2-JenJVJeIEg~/9b11/2012/5f03/40b2-a448-03d77f2a08a3/35b090a8-5066-45a4-9f33-77c98ec3b68f_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '1176691722', 'Connection': 'keep-alive', 'Date': 'Sat, 27 May 2023 13:44:14 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 08:17:26 GMT', 'ETag': '""01b62e200f777353e9fe0836a9348b5e-225""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '4f9e2a3d9cd0638fa6653e573df96897d8d95277', 'x-amz-meta-dv-checksum-md5': '9207a9a13cc30632afa925bac4ec9076', 'x-amz-meta-dv-checksum-sha-256': 'c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 2177a1d449a3e8dc7269040f15d81cb0.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'krhSh17rG3dYBrw6zZ1g9ZRF6GSayM35HnQpAPUSQMJNI1wfYEfcRA==', 'Age': '1995141'}"
19-06-2023_17:56:48:366775,18.165.183.115,5.3438080358318985,"['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.67', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.115']","['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.67', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.115']",17,video/mp4,1176691722,keep-alive,"Sat, 27 May 2023 13:44:14 GMT","Tue, 28 Feb 2023 08:17:26 GMT","""01b62e200f777353e9fe0836a9348b5e-225""",INTELLIGENT_TIERING,AES256,4f9e2a3d9cd0638fa6653e573df96897d8d95277,9207a9a13cc30632afa925bac4ec9076,c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 9c0ce977a13f3d9bbc6eed6540faf728.cloudfront.net (CloudFront),ZRH55-P1,jXXc7jcF9jXd1CPfXOyC8Qa82I880PcAlL3mIYA8gSNvywHwUOZ_gQ==,1995155,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$zDnH3thiCM6W3cG2-JenJVJeIEg~/9b11/2012/5f03/40b2-a448-03d77f2a08a3/35b090a8-5066-45a4-9f33-77c98ec3b68f_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '1176691722', 'Connection': 'keep-alive', 'Date': 'Sat, 27 May 2023 13:44:14 GMT', 'Last-Modified': 'Tue, 28 Feb 2023 08:17:26 GMT', 'ETag': '""01b62e200f777353e9fe0836a9348b5e-225""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '4f9e2a3d9cd0638fa6653e573df96897d8d95277', 'x-amz-meta-dv-checksum-md5': '9207a9a13cc30632afa925bac4ec9076', 'x-amz-meta-dv-checksum-sha-256': 'c4c0f2be028cbe1f00f222843b186583305ea1f47f4ea3bc7040c33069961cf2', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 9c0ce977a13f3d9bbc6eed6540faf728.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'jXXc7jcF9jXd1CPfXOyC8Qa82I880PcAlL3mIYA8gSNvywHwUOZ_gQ==', 'Age': '1995155'}"
