timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
19-06-2023_17:54:24:097427,2a02:3d0:d:12:63f:72ff:fecd:9e54,11.599152989219874,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,421354117, ,"Mon, 19 Jun 2023 15:54:23 GMT", , ,INTELLIGENT_TIERING, ,01789465c53a43406343024cf9920279cb1888f6,57ee21355cf127f36be4447b5119435e,fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30,bytes,AmazonS3,46.228.150.50,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,339863,https://m-1433s3.ll.dash.row.aiv-cdn.net/d/2$-WImyx6rBT5JiNhXYmcnoRsT-7I~/ww_dub/fa98/9bf1/3e02/48d5-a617-49a6d6f88f8c/b857f7b2-a261-4522-9a08-301f54c97ec3_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 'VIT3vqIlQKN2s+Ao6heaTAmnR6QaeJCD2AC78Yo3fju0ikmJbaB5TPdPqEJ+PqpyCXHWxBdQ/e8=', 'x-amz-request-id': 'HXDZYJWP0DHD1MFV', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '01789465c53a43406343024cf9920279cb1888f6', 'x-amz-meta-dv-checksum-md5': '57ee21355cf127f36be4447b5119435e', 'x-amz-meta-dv-checksum-sha-256': 'fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'Age': '339863', 'Date': 'Mon, 19 Jun 2023 15:54:23 GMT', 'X-LLID': 'eee4f3fb97f63ab67709985f8b88d600', 'Content-Length': '421354117', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
19-06-2023_17:54:50:492004,2a02:3d0:d:12:63f:72ff:fecd:9e54,11.935640999581665,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,421354117, ,"Mon, 19 Jun 2023 15:54:50 GMT", , ,INTELLIGENT_TIERING, ,01789465c53a43406343024cf9920279cb1888f6,57ee21355cf127f36be4447b5119435e,fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30,bytes,AmazonS3,46.228.150.50,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,339890,https://m-1433s3.ll.dash.row.aiv-cdn.net/d/2$-WImyx6rBT5JiNhXYmcnoRsT-7I~/ww_dub/fa98/9bf1/3e02/48d5-a617-49a6d6f88f8c/b857f7b2-a261-4522-9a08-301f54c97ec3_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 'VIT3vqIlQKN2s+Ao6heaTAmnR6QaeJCD2AC78Yo3fju0ikmJbaB5TPdPqEJ+PqpyCXHWxBdQ/e8=', 'x-amz-request-id': 'HXDZYJWP0DHD1MFV', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '01789465c53a43406343024cf9920279cb1888f6', 'x-amz-meta-dv-checksum-md5': '57ee21355cf127f36be4447b5119435e', 'x-amz-meta-dv-checksum-sha-256': 'fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'Age': '339890', 'Date': 'Mon, 19 Jun 2023 15:54:50 GMT', 'X-LLID': 'f1445e53b54bb5c98341505aae401b7f', 'Content-Length': '421354117', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
19-06-2023_17:55:17:597180,2a02:3d0:d:12:63f:72ff:fecd:9e54,12.115393998101354,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,421354117, ,"Mon, 19 Jun 2023 15:55:17 GMT", , ,INTELLIGENT_TIERING, ,01789465c53a43406343024cf9920279cb1888f6,57ee21355cf127f36be4447b5119435e,fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30,bytes,AmazonS3,46.228.150.50,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,339917,https://m-1433s3.ll.dash.row.aiv-cdn.net/d/2$-WImyx6rBT5JiNhXYmcnoRsT-7I~/ww_dub/fa98/9bf1/3e02/48d5-a617-49a6d6f88f8c/b857f7b2-a261-4522-9a08-301f54c97ec3_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 'VIT3vqIlQKN2s+Ao6heaTAmnR6QaeJCD2AC78Yo3fju0ikmJbaB5TPdPqEJ+PqpyCXHWxBdQ/e8=', 'x-amz-request-id': 'HXDZYJWP0DHD1MFV', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '01789465c53a43406343024cf9920279cb1888f6', 'x-amz-meta-dv-checksum-md5': '57ee21355cf127f36be4447b5119435e', 'x-amz-meta-dv-checksum-sha-256': 'fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'X-LLID': '89234d2c482cef31788c9e57973e2c5e', 'Age': '339917', 'Date': 'Mon, 19 Jun 2023 15:55:17 GMT', 'Content-Length': '421354117', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
19-06-2023_17:55:32:057553,2a02:3d0:d:12:63f:72ff:fecd:9e54,11.185374052729458,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,421354117, ,"Mon, 19 Jun 2023 15:55:32 GMT", , ,INTELLIGENT_TIERING, ,01789465c53a43406343024cf9920279cb1888f6,57ee21355cf127f36be4447b5119435e,fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30,bytes,AmazonS3,46.228.150.50,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,339932,https://m-1433s3.ll.dash.row.aiv-cdn.net/d/2$-WImyx6rBT5JiNhXYmcnoRsT-7I~/ww_dub/fa98/9bf1/3e02/48d5-a617-49a6d6f88f8c/b857f7b2-a261-4522-9a08-301f54c97ec3_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 'VIT3vqIlQKN2s+Ao6heaTAmnR6QaeJCD2AC78Yo3fju0ikmJbaB5TPdPqEJ+PqpyCXHWxBdQ/e8=', 'x-amz-request-id': 'HXDZYJWP0DHD1MFV', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '01789465c53a43406343024cf9920279cb1888f6', 'x-amz-meta-dv-checksum-md5': '57ee21355cf127f36be4447b5119435e', 'x-amz-meta-dv-checksum-sha-256': 'fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'X-LLID': 'bedc310804dc06e3e3b1df864f870346', 'Age': '339932', 'Date': 'Mon, 19 Jun 2023 15:55:32 GMT', 'Content-Length': '421354117', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
19-06-2023_17:55:46:452921,2a02:3d0:d:12:63f:72ff:fecd:9e54,11.222358036320657,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,421354117, ,"Mon, 19 Jun 2023 15:55:46 GMT", , ,INTELLIGENT_TIERING, ,01789465c53a43406343024cf9920279cb1888f6,57ee21355cf127f36be4447b5119435e,fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30,bytes,AmazonS3,46.228.150.50,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,339946,https://m-1433s3.ll.dash.row.aiv-cdn.net/d/2$-WImyx6rBT5JiNhXYmcnoRsT-7I~/ww_dub/fa98/9bf1/3e02/48d5-a617-49a6d6f88f8c/b857f7b2-a261-4522-9a08-301f54c97ec3_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 'VIT3vqIlQKN2s+Ao6heaTAmnR6QaeJCD2AC78Yo3fju0ikmJbaB5TPdPqEJ+PqpyCXHWxBdQ/e8=', 'x-amz-request-id': 'HXDZYJWP0DHD1MFV', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '01789465c53a43406343024cf9920279cb1888f6', 'x-amz-meta-dv-checksum-md5': '57ee21355cf127f36be4447b5119435e', 'x-amz-meta-dv-checksum-sha-256': 'fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'X-LLID': '1df889165294b35df02c4e6a3e17696a', 'Age': '339946', 'Date': 'Mon, 19 Jun 2023 15:55:46 GMT', 'Content-Length': '421354117', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
19-06-2023_17:56:00:819140,2a02:3d0:d:12:63f:72ff:fecd:9e54,11.527136026415974,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,421354117, ,"Mon, 19 Jun 2023 15:56:00 GMT", , ,INTELLIGENT_TIERING, ,01789465c53a43406343024cf9920279cb1888f6,57ee21355cf127f36be4447b5119435e,fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30,bytes,AmazonS3,46.228.150.50,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,339960,https://m-1433s3.ll.dash.row.aiv-cdn.net/d/2$-WImyx6rBT5JiNhXYmcnoRsT-7I~/ww_dub/fa98/9bf1/3e02/48d5-a617-49a6d6f88f8c/b857f7b2-a261-4522-9a08-301f54c97ec3_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 'VIT3vqIlQKN2s+Ao6heaTAmnR6QaeJCD2AC78Yo3fju0ikmJbaB5TPdPqEJ+PqpyCXHWxBdQ/e8=', 'x-amz-request-id': 'HXDZYJWP0DHD1MFV', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '01789465c53a43406343024cf9920279cb1888f6', 'x-amz-meta-dv-checksum-md5': '57ee21355cf127f36be4447b5119435e', 'x-amz-meta-dv-checksum-sha-256': 'fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'X-LLID': 'cc43b1386e200091f03246fd652f40af', 'Age': '339960', 'Date': 'Mon, 19 Jun 2023 15:56:00 GMT', 'Content-Length': '421354117', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
19-06-2023_17:56:15:155155,2a02:3d0:d:12:63f:72ff:fecd:9e54,12.294817017391324,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,421354117, ,"Mon, 19 Jun 2023 15:56:15 GMT", , ,INTELLIGENT_TIERING, ,01789465c53a43406343024cf9920279cb1888f6,57ee21355cf127f36be4447b5119435e,fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30,bytes,AmazonS3,46.228.150.50,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,339975,https://m-1433s3.ll.dash.row.aiv-cdn.net/d/2$-WImyx6rBT5JiNhXYmcnoRsT-7I~/ww_dub/fa98/9bf1/3e02/48d5-a617-49a6d6f88f8c/b857f7b2-a261-4522-9a08-301f54c97ec3_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 'VIT3vqIlQKN2s+Ao6heaTAmnR6QaeJCD2AC78Yo3fju0ikmJbaB5TPdPqEJ+PqpyCXHWxBdQ/e8=', 'x-amz-request-id': 'HXDZYJWP0DHD1MFV', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '01789465c53a43406343024cf9920279cb1888f6', 'x-amz-meta-dv-checksum-md5': '57ee21355cf127f36be4447b5119435e', 'x-amz-meta-dv-checksum-sha-256': 'fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'X-LLID': 'e690bcbe3e74caafaebb7c3120b91125', 'Age': '339975', 'Date': 'Mon, 19 Jun 2023 15:56:15 GMT', 'Content-Length': '421354117', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
19-06-2023_17:56:29:545119,2a02:3d0:d:12:63f:72ff:fecd:9e54,11.730471043847501,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,421354117, ,"Mon, 19 Jun 2023 15:56:29 GMT", , ,INTELLIGENT_TIERING, ,01789465c53a43406343024cf9920279cb1888f6,57ee21355cf127f36be4447b5119435e,fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30,bytes,AmazonS3,46.228.150.50,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,339989,https://m-1433s3.ll.dash.row.aiv-cdn.net/d/2$-WImyx6rBT5JiNhXYmcnoRsT-7I~/ww_dub/fa98/9bf1/3e02/48d5-a617-49a6d6f88f8c/b857f7b2-a261-4522-9a08-301f54c97ec3_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 'VIT3vqIlQKN2s+Ao6heaTAmnR6QaeJCD2AC78Yo3fju0ikmJbaB5TPdPqEJ+PqpyCXHWxBdQ/e8=', 'x-amz-request-id': 'HXDZYJWP0DHD1MFV', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '01789465c53a43406343024cf9920279cb1888f6', 'x-amz-meta-dv-checksum-md5': '57ee21355cf127f36be4447b5119435e', 'x-amz-meta-dv-checksum-sha-256': 'fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'X-LLID': '818ced77926156dac4d0e53a246b42a6', 'Age': '339989', 'Date': 'Mon, 19 Jun 2023 15:56:29 GMT', 'Content-Length': '421354117', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
19-06-2023_17:56:43:950231,2a02:3d0:d:12:63f:72ff:fecd:9e54,11.275498021859676,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,421354117, ,"Mon, 19 Jun 2023 15:56:44 GMT", , ,INTELLIGENT_TIERING, ,01789465c53a43406343024cf9920279cb1888f6,57ee21355cf127f36be4447b5119435e,fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30,bytes,AmazonS3,46.228.150.50,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,340004,https://m-1433s3.ll.dash.row.aiv-cdn.net/d/2$-WImyx6rBT5JiNhXYmcnoRsT-7I~/ww_dub/fa98/9bf1/3e02/48d5-a617-49a6d6f88f8c/b857f7b2-a261-4522-9a08-301f54c97ec3_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 'VIT3vqIlQKN2s+Ao6heaTAmnR6QaeJCD2AC78Yo3fju0ikmJbaB5TPdPqEJ+PqpyCXHWxBdQ/e8=', 'x-amz-request-id': 'HXDZYJWP0DHD1MFV', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '01789465c53a43406343024cf9920279cb1888f6', 'x-amz-meta-dv-checksum-md5': '57ee21355cf127f36be4447b5119435e', 'x-amz-meta-dv-checksum-sha-256': 'fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'X-LLID': '509d322feee5250d80dd7dde7f1e12cb', 'Age': '340004', 'Date': 'Mon, 19 Jun 2023 15:56:44 GMT', 'Content-Length': '421354117', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
19-06-2023_17:56:58:340187,2a02:3d0:d:12:63f:72ff:fecd:9e54,10.926390998065472,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,421354117, ,"Mon, 19 Jun 2023 15:56:58 GMT", , ,INTELLIGENT_TIERING, ,01789465c53a43406343024cf9920279cb1888f6,57ee21355cf127f36be4447b5119435e,fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30,bytes,AmazonS3,46.228.150.50,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,340018,https://m-1433s3.ll.dash.row.aiv-cdn.net/d/2$-WImyx6rBT5JiNhXYmcnoRsT-7I~/ww_dub/fa98/9bf1/3e02/48d5-a617-49a6d6f88f8c/b857f7b2-a261-4522-9a08-301f54c97ec3_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 'VIT3vqIlQKN2s+Ao6heaTAmnR6QaeJCD2AC78Yo3fju0ikmJbaB5TPdPqEJ+PqpyCXHWxBdQ/e8=', 'x-amz-request-id': 'HXDZYJWP0DHD1MFV', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '01789465c53a43406343024cf9920279cb1888f6', 'x-amz-meta-dv-checksum-md5': '57ee21355cf127f36be4447b5119435e', 'x-amz-meta-dv-checksum-sha-256': 'fe73e8fda4324e1a8cb5a19dd9cc161365c5ddea198392e1c65a11f582f82e30', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'X-LLID': '21ddcb008aaf1b684a85d16ec2a735c3', 'Age': '340018', 'Date': 'Mon, 19 Jun 2023 15:56:58 GMT', 'Content-Length': '421354117', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
