timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
23-06-2023_13:26:36:093588,2a02:3d0:d:12:63f:72ff:fecd:9e54,10.675190947949886,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,726088673, ,"Fri, 23 Jun 2023 11:26:36 GMT", , ,INTELLIGENT_TIERING, ,798b835ccdb664e80d9cf1fa8b8db23d446c9050,aa45216e5dc3098c38cb86c81f5f8653,be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018,bytes,AmazonS3,46.228.150.50,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,660407,https://m-3994s3.ll.dash.row.aiv-cdn.net/d/2$MPijOQCcHoGI6WwYCHU0noR0LAs~/ww_dub/0569/d500/edaa/45e5-b849-4777ff8d43c1/71df7875-2ec0-4dfb-a3fd-f69d6fdfee94_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 't3tHeKoByW76x3UPYBn3eq0MpofMnNACN1/QoyVkbpIyA8cFZbLrz8tovouPwaIFxOlRYKBOA14=', 'x-amz-request-id': 'M6NZBJWZRW398X0M', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '798b835ccdb664e80d9cf1fa8b8db23d446c9050', 'x-amz-meta-dv-checksum-md5': 'aa45216e5dc3098c38cb86c81f5f8653', 'x-amz-meta-dv-checksum-sha-256': 'be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'Age': '660407', 'Date': 'Fri, 23 Jun 2023 11:26:36 GMT', 'X-LLID': '6a1d386075d6251cf5d647a5784914d6', 'Content-Length': '726088673', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
23-06-2023_13:28:06:393383,2a02:3d0:d:12:63f:72ff:fecd:9e54,10.222185985185206,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,726088673, ,"Fri, 23 Jun 2023 11:28:06 GMT", , ,INTELLIGENT_TIERING, ,798b835ccdb664e80d9cf1fa8b8db23d446c9050,aa45216e5dc3098c38cb86c81f5f8653,be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018,bytes,AmazonS3,46.228.150.50,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,660497,https://m-3994s3.ll.dash.row.aiv-cdn.net/d/2$MPijOQCcHoGI6WwYCHU0noR0LAs~/ww_dub/0569/d500/edaa/45e5-b849-4777ff8d43c1/71df7875-2ec0-4dfb-a3fd-f69d6fdfee94_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 't3tHeKoByW76x3UPYBn3eq0MpofMnNACN1/QoyVkbpIyA8cFZbLrz8tovouPwaIFxOlRYKBOA14=', 'x-amz-request-id': 'M6NZBJWZRW398X0M', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '798b835ccdb664e80d9cf1fa8b8db23d446c9050', 'x-amz-meta-dv-checksum-md5': 'aa45216e5dc3098c38cb86c81f5f8653', 'x-amz-meta-dv-checksum-sha-256': 'be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'Age': '660497', 'Date': 'Fri, 23 Jun 2023 11:28:06 GMT', 'X-LLID': '9b405cf3a429cbf387b607d23aa18919', 'Content-Length': '726088673', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
23-06-2023_13:29:02:602695,2a02:3d0:d:12:63f:72ff:fecd:9e54,10.985230095684528,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,726088673, ,"Fri, 23 Jun 2023 11:29:02 GMT", , ,INTELLIGENT_TIERING, ,798b835ccdb664e80d9cf1fa8b8db23d446c9050,aa45216e5dc3098c38cb86c81f5f8653,be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018,bytes,AmazonS3,46.228.150.50,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,660553,https://m-3994s3.ll.dash.row.aiv-cdn.net/d/2$MPijOQCcHoGI6WwYCHU0noR0LAs~/ww_dub/0569/d500/edaa/45e5-b849-4777ff8d43c1/71df7875-2ec0-4dfb-a3fd-f69d6fdfee94_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 't3tHeKoByW76x3UPYBn3eq0MpofMnNACN1/QoyVkbpIyA8cFZbLrz8tovouPwaIFxOlRYKBOA14=', 'x-amz-request-id': 'M6NZBJWZRW398X0M', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '798b835ccdb664e80d9cf1fa8b8db23d446c9050', 'x-amz-meta-dv-checksum-md5': 'aa45216e5dc3098c38cb86c81f5f8653', 'x-amz-meta-dv-checksum-sha-256': 'be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'X-LLID': 'c684b6c3358efc62a4714d0443bae524', 'Age': '660553', 'Date': 'Fri, 23 Jun 2023 11:29:02 GMT', 'Content-Length': '726088673', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
23-06-2023_13:29:45:872530,2a02:3d0:d:12:63f:72ff:fecd:9e54,10.589364916086197,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,726088673, ,"Fri, 23 Jun 2023 11:29:45 GMT", , ,INTELLIGENT_TIERING, ,798b835ccdb664e80d9cf1fa8b8db23d446c9050,aa45216e5dc3098c38cb86c81f5f8653,be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018,bytes,AmazonS3,46.228.150.50,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,660596,https://m-3994s3.ll.dash.row.aiv-cdn.net/d/2$MPijOQCcHoGI6WwYCHU0noR0LAs~/ww_dub/0569/d500/edaa/45e5-b849-4777ff8d43c1/71df7875-2ec0-4dfb-a3fd-f69d6fdfee94_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 't3tHeKoByW76x3UPYBn3eq0MpofMnNACN1/QoyVkbpIyA8cFZbLrz8tovouPwaIFxOlRYKBOA14=', 'x-amz-request-id': 'M6NZBJWZRW398X0M', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '798b835ccdb664e80d9cf1fa8b8db23d446c9050', 'x-amz-meta-dv-checksum-md5': 'aa45216e5dc3098c38cb86c81f5f8653', 'x-amz-meta-dv-checksum-sha-256': 'be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'X-LLID': '5449687b1287e2e435a51fcc115364b2', 'Age': '660596', 'Date': 'Fri, 23 Jun 2023 11:29:45 GMT', 'Content-Length': '726088673', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
23-06-2023_13:30:33:598025,2a02:3d0:d:12:63f:72ff:fecd:9e54,10.856713983230293,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,726088673, ,"Fri, 23 Jun 2023 11:30:33 GMT", , ,INTELLIGENT_TIERING, ,798b835ccdb664e80d9cf1fa8b8db23d446c9050,aa45216e5dc3098c38cb86c81f5f8653,be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018,bytes,AmazonS3,46.228.150.50,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,660644,https://m-3994s3.ll.dash.row.aiv-cdn.net/d/2$MPijOQCcHoGI6WwYCHU0noR0LAs~/ww_dub/0569/d500/edaa/45e5-b849-4777ff8d43c1/71df7875-2ec0-4dfb-a3fd-f69d6fdfee94_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 't3tHeKoByW76x3UPYBn3eq0MpofMnNACN1/QoyVkbpIyA8cFZbLrz8tovouPwaIFxOlRYKBOA14=', 'x-amz-request-id': 'M6NZBJWZRW398X0M', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '798b835ccdb664e80d9cf1fa8b8db23d446c9050', 'x-amz-meta-dv-checksum-md5': 'aa45216e5dc3098c38cb86c81f5f8653', 'x-amz-meta-dv-checksum-sha-256': 'be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'X-LLID': '76e43aba9316ce5bc617e1e94462691d', 'Age': '660644', 'Date': 'Fri, 23 Jun 2023 11:30:33 GMT', 'Content-Length': '726088673', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
23-06-2023_13:31:21:211716,2a02:3d0:d:12:63f:72ff:fecd:9e54,10.39722200948745,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,726088673, ,"Fri, 23 Jun 2023 11:31:21 GMT", , ,INTELLIGENT_TIERING, ,798b835ccdb664e80d9cf1fa8b8db23d446c9050,aa45216e5dc3098c38cb86c81f5f8653,be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018,bytes,AmazonS3,46.228.150.50,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,660692,https://m-3994s3.ll.dash.row.aiv-cdn.net/d/2$MPijOQCcHoGI6WwYCHU0noR0LAs~/ww_dub/0569/d500/edaa/45e5-b849-4777ff8d43c1/71df7875-2ec0-4dfb-a3fd-f69d6fdfee94_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 't3tHeKoByW76x3UPYBn3eq0MpofMnNACN1/QoyVkbpIyA8cFZbLrz8tovouPwaIFxOlRYKBOA14=', 'x-amz-request-id': 'M6NZBJWZRW398X0M', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '798b835ccdb664e80d9cf1fa8b8db23d446c9050', 'x-amz-meta-dv-checksum-md5': 'aa45216e5dc3098c38cb86c81f5f8653', 'x-amz-meta-dv-checksum-sha-256': 'be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'X-LLID': '5ba3f1b08636795a4d6dad9b1dd5cf82', 'Age': '660692', 'Date': 'Fri, 23 Jun 2023 11:31:21 GMT', 'Content-Length': '726088673', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
23-06-2023_13:32:08:852379,2a02:3d0:d:12:63f:72ff:fecd:9e54,10.191087028943002,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,726088673, ,"Fri, 23 Jun 2023 11:32:08 GMT", , ,INTELLIGENT_TIERING, ,798b835ccdb664e80d9cf1fa8b8db23d446c9050,aa45216e5dc3098c38cb86c81f5f8653,be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018,bytes,AmazonS3,46.228.150.50,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,660739,https://m-3994s3.ll.dash.row.aiv-cdn.net/d/2$MPijOQCcHoGI6WwYCHU0noR0LAs~/ww_dub/0569/d500/edaa/45e5-b849-4777ff8d43c1/71df7875-2ec0-4dfb-a3fd-f69d6fdfee94_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 't3tHeKoByW76x3UPYBn3eq0MpofMnNACN1/QoyVkbpIyA8cFZbLrz8tovouPwaIFxOlRYKBOA14=', 'x-amz-request-id': 'M6NZBJWZRW398X0M', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '798b835ccdb664e80d9cf1fa8b8db23d446c9050', 'x-amz-meta-dv-checksum-md5': 'aa45216e5dc3098c38cb86c81f5f8653', 'x-amz-meta-dv-checksum-sha-256': 'be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'X-LLID': '087e9b608a8610615f25cca51897e332', 'Age': '660739', 'Date': 'Fri, 23 Jun 2023 11:32:08 GMT', 'Content-Length': '726088673', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
23-06-2023_13:32:56:512892,2a02:3d0:d:12:63f:72ff:fecd:9e54,10.905939037911594,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,726088673, ,"Fri, 23 Jun 2023 11:32:56 GMT", , ,INTELLIGENT_TIERING, ,798b835ccdb664e80d9cf1fa8b8db23d446c9050,aa45216e5dc3098c38cb86c81f5f8653,be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018,bytes,AmazonS3,46.228.150.50,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,660787,https://m-3994s3.ll.dash.row.aiv-cdn.net/d/2$MPijOQCcHoGI6WwYCHU0noR0LAs~/ww_dub/0569/d500/edaa/45e5-b849-4777ff8d43c1/71df7875-2ec0-4dfb-a3fd-f69d6fdfee94_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 't3tHeKoByW76x3UPYBn3eq0MpofMnNACN1/QoyVkbpIyA8cFZbLrz8tovouPwaIFxOlRYKBOA14=', 'x-amz-request-id': 'M6NZBJWZRW398X0M', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '798b835ccdb664e80d9cf1fa8b8db23d446c9050', 'x-amz-meta-dv-checksum-md5': 'aa45216e5dc3098c38cb86c81f5f8653', 'x-amz-meta-dv-checksum-sha-256': 'be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'X-LLID': 'e17d265f03659075598f44627248a107', 'Age': '660787', 'Date': 'Fri, 23 Jun 2023 11:32:56 GMT', 'Content-Length': '726088673', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
23-06-2023_13:33:44:210891,2a02:3d0:d:12:63f:72ff:fecd:9e54,9.79107792954892,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,726088673, ,"Fri, 23 Jun 2023 11:33:44 GMT", , ,INTELLIGENT_TIERING, ,798b835ccdb664e80d9cf1fa8b8db23d446c9050,aa45216e5dc3098c38cb86c81f5f8653,be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018,bytes,AmazonS3,46.228.150.50,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,660835,https://m-3994s3.ll.dash.row.aiv-cdn.net/d/2$MPijOQCcHoGI6WwYCHU0noR0LAs~/ww_dub/0569/d500/edaa/45e5-b849-4777ff8d43c1/71df7875-2ec0-4dfb-a3fd-f69d6fdfee94_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 't3tHeKoByW76x3UPYBn3eq0MpofMnNACN1/QoyVkbpIyA8cFZbLrz8tovouPwaIFxOlRYKBOA14=', 'x-amz-request-id': 'M6NZBJWZRW398X0M', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '798b835ccdb664e80d9cf1fa8b8db23d446c9050', 'x-amz-meta-dv-checksum-md5': 'aa45216e5dc3098c38cb86c81f5f8653', 'x-amz-meta-dv-checksum-sha-256': 'be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'X-LLID': 'ab3f7a4f69ae753d53b8741e76409b5c', 'Age': '660835', 'Date': 'Fri, 23 Jun 2023 11:33:44 GMT', 'Content-Length': '726088673', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
23-06-2023_13:34:31:919289,2a02:3d0:d:12:63f:72ff:fecd:9e54,10.414939024485648,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2001:7f8:24::d9', '2a02:3d0:d:12:63f:72ff:fecd:9e54']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'swissix.zrh2.llnw.net', 'cds201.mxp.llnw.net']",5,video/mp4,726088673, ,"Fri, 23 Jun 2023 11:34:31 GMT", , ,INTELLIGENT_TIERING, ,798b835ccdb664e80d9cf1fa8b8db23d446c9050,aa45216e5dc3098c38cb86c81f5f8653,be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018,bytes,AmazonS3,46.228.150.50,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '*', '91.206.52.217', '46.228.150.50']",9, , , , ,660882,https://m-3994s3.ll.dash.row.aiv-cdn.net/d/2$MPijOQCcHoGI6WwYCHU0noR0LAs~/ww_dub/0569/d500/edaa/45e5-b849-4777ff8d43c1/71df7875-2ec0-4dfb-a3fd-f69d6fdfee94_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 't3tHeKoByW76x3UPYBn3eq0MpofMnNACN1/QoyVkbpIyA8cFZbLrz8tovouPwaIFxOlRYKBOA14=', 'x-amz-request-id': 'M6NZBJWZRW398X0M', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '798b835ccdb664e80d9cf1fa8b8db23d446c9050', 'x-amz-meta-dv-checksum-md5': 'aa45216e5dc3098c38cb86c81f5f8653', 'x-amz-meta-dv-checksum-sha-256': 'be1dee737aaf89587ea22d8e6883787c24ad0cb86310621b39211afae6116018', 'Accept-Ranges': 'bytes', 'Content-Type': 'video/mp4', 'Server': 'AmazonS3', 'X-LLID': 'a7b538307386f2ec22be40684740de84', 'Age': '660882', 'Date': 'Fri, 23 Jun 2023 11:34:31 GMT', 'Content-Length': '726088673', 'X-Server-IP': '46.228.150.50', 'Access-Control-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range,x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Timing-Allow-Origin': '*', 'Access-Control-Max-Age': '86400', 'Access-Control-Expose-Headers': 'X-Server-IP,Location'}"
