timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
23-06-2023_19:48:26:400362,2a02:26f0:f3::5043:52e0,7.941600983031094,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2a02:26f0:f3:ffff::240', '2a02:26f0:f3::5043:52e0']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'ae9.intx-zrh.netarch.akamai.com', 'g2a02-26f0-00f3-0000-0000-0000-5043-52e0.deploy.static.akamaitechnologies.com']",5,video/mp4,167105097,keep-alive,"Fri, 23 Jun 2023 17:48:26 GMT","Thu, 27 Apr 2023 02:00:00 GMT","""b6d91c62cd47bfaddc98c58977866997-32""",INTELLIGENT_TIERING,AES256, , , ,bytes,AmazonS3, ,[],[],0, , , , , ,https://a168avoddashs3ww-a.akamaihd.net/d/2$xCyX1QE3A9JCaU3ZMzbzUwNSxHA~/ondemand/iad_2/c009/1c6b/28af/4fa8-beef-f73986d87f71/f8fffd3f-6e82-4fe0-b8dd-1286cb46d28d_video_5.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,"{'x-amz-id-2': 'zNl/nkqwuJJPi3JaqPDGwDNjSeMgDpu5Mq3aVZwKvM3Cwv1VLyqXbFWjaKP/AjvSjBtpa3LdVpg=', 'x-amz-request-id': 'MS5WECG0AGFTNB9W', 'Last-Modified': 'Thu, 27 Apr 2023 02:00:00 GMT', 'ETag': '""b6d91c62cd47bfaddc98c58977866997-32""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-expected-checksum-md5': 'hCKAoYKsq37CLpbA0kbMSA==', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-167105096/167105097', 'Server': 'AmazonS3', 'Content-Length': '167105097', 'Cache-Control': 'max-age=31535979', 'Date': 'Fri, 23 Jun 2023 17:48:26 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:f3::5043:52e0', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801076', 'Content-Type': 'video/mp4'}"
23-06-2023_19:49:25:160908,2a02:26f0:3000::170a:f993,6.168427993543446,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2a01:4a0:1338:174::1', '2a01:4a0:1338:d6::2', '2a02:26f0:3000::170a:f993']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'ae11-0.zur10.core-backbone.com', '2a01:4a0:1338:d6::2', 'g2a02-26f0-3000-0000-0000-0000-170a-f993.deploy.static.akamaitechnologies.com']",6,video/mp4,167105097,keep-alive,"Fri, 23 Jun 2023 17:49:25 GMT","Thu, 27 Apr 2023 02:00:00 GMT","""b6d91c62cd47bfaddc98c58977866997-32""",INTELLIGENT_TIERING,AES256, , , ,bytes,AmazonS3, ,[],[],0, , , , , ,https://a168avoddashs3ww-a.akamaihd.net/d/2$xCyX1QE3A9JCaU3ZMzbzUwNSxHA~/ondemand/iad_2/c009/1c6b/28af/4fa8-beef-f73986d87f71/f8fffd3f-6e82-4fe0-b8dd-1286cb46d28d_video_5.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,"{'x-amz-id-2': 'w7pcJZ9dxOVP4OLb3vJmZ4bxuWKZgGtbFG9TsanLDer3X7osPvvzOBL8H4+AlLug+vqqcvB7UMZ5A9TczhraHQ==', 'x-amz-request-id': 'CT77A48NPQY9875X', 'Last-Modified': 'Thu, 27 Apr 2023 02:00:00 GMT', 'ETag': '""b6d91c62cd47bfaddc98c58977866997-32""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-expected-checksum-md5': 'hCKAoYKsq37CLpbA0kbMSA==', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-167105096/167105097', 'Server': 'AmazonS3', 'Content-Length': '167105097', 'Cache-Control': 'max-age=31535983', 'Date': 'Fri, 23 Jun 2023 17:49:25 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:3000::170a:f993', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801076', 'Content-Type': 'video/mp4'}"
23-06-2023_19:50:16:787396,2a02:26f0:3000::170a:f993,6.855897954665124,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2a01:4a0:1338:174::1', '2a01:4a0:1338:d6::2', '2a02:26f0:3000::170a:f993']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'ae11-0.zur10.core-backbone.com', '2a01:4a0:1338:d6::2', 'g2a02-26f0-3000-0000-0000-0000-170a-f993.deploy.static.akamaitechnologies.com']",6,video/mp4,167105097,keep-alive,"Fri, 23 Jun 2023 17:50:16 GMT","Thu, 27 Apr 2023 02:00:00 GMT","""b6d91c62cd47bfaddc98c58977866997-32""",INTELLIGENT_TIERING,AES256, , , ,bytes,AmazonS3, ,[],[],0, , , , , ,https://a168avoddashs3ww-a.akamaihd.net/d/2$xCyX1QE3A9JCaU3ZMzbzUwNSxHA~/ondemand/iad_2/c009/1c6b/28af/4fa8-beef-f73986d87f71/f8fffd3f-6e82-4fe0-b8dd-1286cb46d28d_video_5.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,"{'x-amz-id-2': 'Am8MGI5uahSaAgbp7RF0mNizwtnbihgADdci1FXS/GTXJagzfnoCpTPs9vO6kCI9YCg7MydCtmg=', 'x-amz-request-id': 'EJBVRWWZRQ21WWGD', 'Last-Modified': 'Thu, 27 Apr 2023 02:00:00 GMT', 'ETag': '""b6d91c62cd47bfaddc98c58977866997-32""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-expected-checksum-md5': 'hCKAoYKsq37CLpbA0kbMSA==', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-167105096/167105097', 'Server': 'AmazonS3', 'Content-Length': '167105097', 'Cache-Control': 'max-age=31536000', 'Date': 'Fri, 23 Jun 2023 17:50:16 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:3000::170a:f993', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801076', 'Content-Type': 'video/mp4'}"
23-06-2023_19:51:08:392774,2a02:26f0:3000::1700:ae12,6.674846983514726,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2a01:4a0:1338:174::1', '2a01:4a0:1338:d6::2', '2a02:26f0:3000::1700:ae12']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'ae11-0.zur10.core-backbone.com', '2a01:4a0:1338:d6::2', 'g2a02-26f0-3000-0000-0000-0000-1700-ae12.deploy.static.akamaitechnologies.com']",6,video/mp4,167105097,keep-alive,"Fri, 23 Jun 2023 17:51:08 GMT","Thu, 27 Apr 2023 02:00:00 GMT","""b6d91c62cd47bfaddc98c58977866997-32""",INTELLIGENT_TIERING,AES256, , , ,bytes,AmazonS3, ,[],[],0, , , , , ,https://a168avoddashs3ww-a.akamaihd.net/d/2$xCyX1QE3A9JCaU3ZMzbzUwNSxHA~/ondemand/iad_2/c009/1c6b/28af/4fa8-beef-f73986d87f71/f8fffd3f-6e82-4fe0-b8dd-1286cb46d28d_video_5.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,"{'x-amz-id-2': '0UAoL2uQHbfhcm4d4fJOrmLpZaCPZ7hHObw3kdQIA8aV1wp9bQyQnGDWoF7cvYdXVH6XLXMhUBbbpUofH+3Gl/B9P1S/GvWbaX6vvzoODW0=', 'x-amz-request-id': '1YCDJZCHP94CTF2Z', 'Last-Modified': 'Thu, 27 Apr 2023 02:00:00 GMT', 'ETag': '""b6d91c62cd47bfaddc98c58977866997-32""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-expected-checksum-md5': 'hCKAoYKsq37CLpbA0kbMSA==', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-167105096/167105097', 'Server': 'AmazonS3', 'Content-Length': '167105097', 'Cache-Control': 'max-age=31536000', 'Date': 'Fri, 23 Jun 2023 17:51:08 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:3000::1700:ae12', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801076', 'Content-Type': 'video/mp4'}"
23-06-2023_19:52:00:107258,2a02:26f0:3000::1700:ae12,6.994950002990663,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2a01:4a0:1338:174::1', '2a01:4a0:1338:d6::2', '2a02:26f0:3000::1700:ae12']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'ae11-0.zur10.core-backbone.com', '2a01:4a0:1338:d6::2', 'g2a02-26f0-3000-0000-0000-0000-1700-ae12.deploy.static.akamaitechnologies.com']",6,video/mp4,167105097,keep-alive,"Fri, 23 Jun 2023 17:52:00 GMT","Thu, 27 Apr 2023 02:00:00 GMT","""b6d91c62cd47bfaddc98c58977866997-32""",INTELLIGENT_TIERING,AES256, , , ,bytes,AmazonS3, ,[],[],0, , , , , ,https://a168avoddashs3ww-a.akamaihd.net/d/2$xCyX1QE3A9JCaU3ZMzbzUwNSxHA~/ondemand/iad_2/c009/1c6b/28af/4fa8-beef-f73986d87f71/f8fffd3f-6e82-4fe0-b8dd-1286cb46d28d_video_5.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,"{'x-amz-id-2': 'okWN1oPeteAWMM5dxFA02O1qMU6hcWFXEqO54ixgUxw4ldhhDve8B3SOJY1dTLZmW/DZSnbS5wUDpC9mn8r5VQ==', 'x-amz-request-id': 'PGYPT177X455ABCE', 'Last-Modified': 'Thu, 27 Apr 2023 02:00:00 GMT', 'ETag': '""b6d91c62cd47bfaddc98c58977866997-32""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-expected-checksum-md5': 'hCKAoYKsq37CLpbA0kbMSA==', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-167105096/167105097', 'Server': 'AmazonS3', 'Content-Length': '167105097', 'Cache-Control': 'max-age=31536000', 'Date': 'Fri, 23 Jun 2023 17:52:00 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:3000::1700:ae12', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801076', 'Content-Type': 'video/mp4'}"
23-06-2023_19:52:51:744654,2a02:26f0:3000::170a:f993,6.729448097757995,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2a01:4a0:1338:174::1', '2a01:4a0:1338:d6::2', '2a02:26f0:3000::170a:f993']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'ae11-0.zur10.core-backbone.com', '2a01:4a0:1338:d6::2', 'g2a02-26f0-3000-0000-0000-0000-170a-f993.deploy.static.akamaitechnologies.com']",6,video/mp4,167105097,keep-alive,"Fri, 23 Jun 2023 17:52:51 GMT","Thu, 27 Apr 2023 02:00:00 GMT","""b6d91c62cd47bfaddc98c58977866997-32""",INTELLIGENT_TIERING,AES256, , , ,bytes,AmazonS3, ,[],[],0, , , , , ,https://a168avoddashs3ww-a.akamaihd.net/d/2$xCyX1QE3A9JCaU3ZMzbzUwNSxHA~/ondemand/iad_2/c009/1c6b/28af/4fa8-beef-f73986d87f71/f8fffd3f-6e82-4fe0-b8dd-1286cb46d28d_video_5.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,"{'x-amz-id-2': 'mX//4pgU1y9fxPDhkPEbECOSo3IFfCJzKEUksgzMceccM7F14jEBZApTFd4Xg567vohDmq1p0c4=', 'x-amz-request-id': 'CTQ87Q5MV12KMR5Z', 'Last-Modified': 'Thu, 27 Apr 2023 02:00:00 GMT', 'ETag': '""b6d91c62cd47bfaddc98c58977866997-32""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-expected-checksum-md5': 'hCKAoYKsq37CLpbA0kbMSA==', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-167105096/167105097', 'Server': 'AmazonS3', 'Content-Length': '167105097', 'Cache-Control': 'max-age=31535997', 'Date': 'Fri, 23 Jun 2023 17:52:51 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:3000::170a:f993', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801076', 'Content-Type': 'video/mp4'}"
23-06-2023_19:53:43:436856,2a02:26f0:3000::1700:ae12,7.167743984609842,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2a01:4a0:1338:174::1', '2a01:4a0:1338:d6::2', '2a02:26f0:3000::1700:ae12']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'ae11-0.zur10.core-backbone.com', '2a01:4a0:1338:d6::2', 'g2a02-26f0-3000-0000-0000-0000-1700-ae12.deploy.static.akamaitechnologies.com']",6,video/mp4,167105097,keep-alive,"Fri, 23 Jun 2023 17:53:43 GMT","Thu, 27 Apr 2023 02:00:00 GMT","""b6d91c62cd47bfaddc98c58977866997-32""",INTELLIGENT_TIERING,AES256, , , ,bytes,AmazonS3, ,[],[],0, , , , , ,https://a168avoddashs3ww-a.akamaihd.net/d/2$xCyX1QE3A9JCaU3ZMzbzUwNSxHA~/ondemand/iad_2/c009/1c6b/28af/4fa8-beef-f73986d87f71/f8fffd3f-6e82-4fe0-b8dd-1286cb46d28d_video_5.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,"{'x-amz-id-2': 'RwGC5/C4E3tl+7g0pUB8ae9mqal09Tg/FWMlZaEiGQgE08KsUCqD7VxDosXQ0/nYwEi0PdMcdBk=', 'x-amz-request-id': 'D2PMNJ4H969Q75X9', 'Last-Modified': 'Thu, 27 Apr 2023 02:00:00 GMT', 'ETag': '""b6d91c62cd47bfaddc98c58977866997-32""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-expected-checksum-md5': 'hCKAoYKsq37CLpbA0kbMSA==', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-167105096/167105097', 'Server': 'AmazonS3', 'Content-Length': '167105097', 'Cache-Control': 'max-age=31535961', 'Date': 'Fri, 23 Jun 2023 17:53:43 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:3000::1700:ae12', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801076', 'Content-Type': 'video/mp4'}"
23-06-2023_19:54:35:097967,2a02:26f0:3000::1700:ae12,6.363386055454612,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2a01:4a0:1338:174::1', '2a01:4a0:1338:d6::2', '2a02:26f0:3000::1700:ae12']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'ae11-0.zur10.core-backbone.com', '2a01:4a0:1338:d6::2', 'g2a02-26f0-3000-0000-0000-0000-1700-ae12.deploy.static.akamaitechnologies.com']",6,video/mp4,167105097,keep-alive,"Fri, 23 Jun 2023 17:54:35 GMT","Thu, 27 Apr 2023 02:00:00 GMT","""b6d91c62cd47bfaddc98c58977866997-32""",INTELLIGENT_TIERING,AES256, , , ,bytes,AmazonS3, ,[],[],0, , , , , ,https://a168avoddashs3ww-a.akamaihd.net/d/2$xCyX1QE3A9JCaU3ZMzbzUwNSxHA~/ondemand/iad_2/c009/1c6b/28af/4fa8-beef-f73986d87f71/f8fffd3f-6e82-4fe0-b8dd-1286cb46d28d_video_5.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,"{'x-amz-id-2': 'mU0vEXZzvJpa0fPkOQTzaKSG3ne7dl52RVtmztiq8pPgu5Da7zJnGUBQnLdA2X+cmh3Eih8yusYL7a+GN89AuSBMbr//ccQaECFpfUNNCSs=', 'x-amz-request-id': 'CV4F4H5DRX70EJ2C', 'Last-Modified': 'Thu, 27 Apr 2023 02:00:00 GMT', 'ETag': '""b6d91c62cd47bfaddc98c58977866997-32""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-expected-checksum-md5': 'hCKAoYKsq37CLpbA0kbMSA==', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-167105096/167105097', 'Server': 'AmazonS3', 'Content-Length': '167105097', 'Cache-Control': 'max-age=31536000', 'Date': 'Fri, 23 Jun 2023 17:54:35 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:3000::1700:ae12', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801076', 'Content-Type': 'video/mp4'}"
23-06-2023_19:55:26:687295,2a02:26f0:3000::170a:f993,6.7843940341845155,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2a01:4a0:1338:174::1', '2a01:4a0:1338:d6::2', '2a02:26f0:3000::170a:f993']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'ae11-0.zur10.core-backbone.com', '2a01:4a0:1338:d6::2', 'g2a02-26f0-3000-0000-0000-0000-170a-f993.deploy.static.akamaitechnologies.com']",6,video/mp4,167105097,keep-alive,"Fri, 23 Jun 2023 17:55:26 GMT","Thu, 27 Apr 2023 02:00:00 GMT","""b6d91c62cd47bfaddc98c58977866997-32""",INTELLIGENT_TIERING,AES256, , , ,bytes,AmazonS3, ,[],[],0, , , , , ,https://a168avoddashs3ww-a.akamaihd.net/d/2$xCyX1QE3A9JCaU3ZMzbzUwNSxHA~/ondemand/iad_2/c009/1c6b/28af/4fa8-beef-f73986d87f71/f8fffd3f-6e82-4fe0-b8dd-1286cb46d28d_video_5.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,"{'x-amz-id-2': 'GSw4zVDXnH0jNUxFVnwo2G1Li7TQw8+G2898xs6UMLBqBag/2SwS7ZWYLX3gPWOqLAXT6AHSjimorzfPXfgBqw==', 'x-amz-request-id': 'VQK378R426N4XJ6M', 'Last-Modified': 'Thu, 27 Apr 2023 02:00:00 GMT', 'ETag': '""b6d91c62cd47bfaddc98c58977866997-32""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-expected-checksum-md5': 'hCKAoYKsq37CLpbA0kbMSA==', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-167105096/167105097', 'Server': 'AmazonS3', 'Content-Length': '167105097', 'Cache-Control': 'max-age=31535965', 'Date': 'Fri, 23 Jun 2023 17:55:26 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:3000::170a:f993', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801076', 'Content-Type': 'video/mp4'}"
23-06-2023_19:56:18:359654,2a02:26f0:3000::1700:ae12,6.395655102096498,"['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', '2a01:4a0:1338:174::1', '2a01:4a0:1338:d6::2', '2a02:26f0:3000::1700:ae12']","['2a04:ee41:83:a4ab:6e99:61ff:fe0e:8157', '2a04:ee41:83:a000::1', '*', 'ae11-0.zur10.core-backbone.com', '2a01:4a0:1338:d6::2', 'g2a02-26f0-3000-0000-0000-0000-1700-ae12.deploy.static.akamaitechnologies.com']",6,video/mp4,167105097,keep-alive,"Fri, 23 Jun 2023 17:56:18 GMT","Thu, 27 Apr 2023 02:00:00 GMT","""b6d91c62cd47bfaddc98c58977866997-32""",INTELLIGENT_TIERING,AES256, , , ,bytes,AmazonS3, ,[],[],0, , , , , ,https://a168avoddashs3ww-a.akamaihd.net/d/2$xCyX1QE3A9JCaU3ZMzbzUwNSxHA~/ondemand/iad_2/c009/1c6b/28af/4fa8-beef-f73986d87f71/f8fffd3f-6e82-4fe0-b8dd-1286cb46d28d_video_5.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,"{'x-amz-id-2': 'bLtcuQ/xy169kVQHbiyAb4BpnUVMnMM/CjJASSeceYANc16UJPV3aXQ6JL1BYm6cND03yKg0k2g=', 'x-amz-request-id': '77W6QDCJAVSFKH3T', 'Last-Modified': 'Thu, 27 Apr 2023 02:00:00 GMT', 'ETag': '""b6d91c62cd47bfaddc98c58977866997-32""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-expected-checksum-md5': 'hCKAoYKsq37CLpbA0kbMSA==', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-167105096/167105097', 'Server': 'AmazonS3', 'Content-Length': '167105097', 'Cache-Control': 'max-age=31535964', 'Date': 'Fri, 23 Jun 2023 17:56:18 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:3000::1700:ae12', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801076', 'Content-Type': 'video/mp4'}"
