timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
24-06-2023_14:22:06:197840,2a02:26f0:f3::5043:52db,6.714454968459904,"['*', '*', '*', '2a02:26f0:f3:ffff::240', '2a02:26f0:f3::5043:52db']","['*', '*', '*', 'ae9.intx-zrh.netarch.akamai.com', 'g2a02-26f0-00f3-0000-0000-0000-5043-52db.deploy.static.akamaitechnologies.com']",5,video/mp4,145677305,keep-alive,"Sat, 24 Jun 2023 12:22:06 GMT","Wed, 14 Sep 2022 01:26:06 GMT","""fbed3afcaedc00f5d81e7e104a91efdd-28""",INTELLIGENT_TIERING, ,7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e,d97174df970b8f4a10626a940f309284,8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5,bytes,AmazonS3, ,[],[],0, , , , , ,https://a199avoddashs3ww-a.akamaihd.net/d/2$2RCRL7nGejD3or8VeeQnrYGbC2o~/ondemand/ww_dub/524c/f21f/f24b/4695-86a4-d5a90d4ef3d0/fd940683-6d52-412a-bc29-c9ced7530d12_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 'B7hInEK2LbMQ1jj5no9Yc4xHF8EmGv7k+Qxb/dSHYEpES58uv0lfLR1EYN5ZCG5zhPP8FZH8XHg=', 'x-amz-request-id': 'BV2Q74S79XRAJG64', 'Last-Modified': 'Wed, 14 Sep 2022 01:26:06 GMT', 'ETag': '""fbed3afcaedc00f5d81e7e104a91efdd-28""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e', 'x-amz-meta-dv-checksum-md5': 'd97174df970b8f4a10626a940f309284', 'x-amz-meta-dv-checksum-sha-256': '8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-145677304/145677305', 'Server': 'AmazonS3', 'Content-Length': '145677305', 'Cache-Control': 'max-age=31535890', 'Date': 'Sat, 24 Jun 2023 12:22:06 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:f3::5043:52db', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801085', 'Content-Type': 'video/mp4'}"
24-06-2023_14:24:35:466734,2a02:26f0:f3::5043:52db,8.364884066395462,"['*', '*', '*', '2a02:26f0:f3:ffff::240', '2a02:26f0:f3::5043:52db']","['*', '*', '*', 'ae9.intx-zrh.netarch.akamai.com', 'g2a02-26f0-00f3-0000-0000-0000-5043-52db.deploy.static.akamaitechnologies.com']",5,video/mp4,145677305,keep-alive,"Sat, 24 Jun 2023 12:24:35 GMT","Wed, 14 Sep 2022 01:26:06 GMT","""fbed3afcaedc00f5d81e7e104a91efdd-28""",INTELLIGENT_TIERING, ,7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e,d97174df970b8f4a10626a940f309284,8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5,bytes,AmazonS3, ,[],[],0, , , , , ,https://a199avoddashs3ww-a.akamaihd.net/d/2$2RCRL7nGejD3or8VeeQnrYGbC2o~/ondemand/ww_dub/524c/f21f/f24b/4695-86a4-d5a90d4ef3d0/fd940683-6d52-412a-bc29-c9ced7530d12_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 'lYB1f/TP0G0KmZJIn4DCrJDZ8JpoFEyKvIfSI5R/DFqmi53ip3TuGEGGIny0RyhzdAhi86m2qNg=', 'x-amz-request-id': 'QEDDQCZNQZ6PC9H7', 'Last-Modified': 'Wed, 14 Sep 2022 01:26:06 GMT', 'ETag': '""fbed3afcaedc00f5d81e7e104a91efdd-28""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e', 'x-amz-meta-dv-checksum-md5': 'd97174df970b8f4a10626a940f309284', 'x-amz-meta-dv-checksum-sha-256': '8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-145677304/145677305', 'Server': 'AmazonS3', 'Content-Length': '145677305', 'Cache-Control': 'max-age=31535999', 'Date': 'Sat, 24 Jun 2023 12:24:35 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:f3::5043:52db', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801085', 'Content-Type': 'video/mp4'}"
24-06-2023_14:25:35:987460,2a02:26f0:f3::5043:52db,6.722824997268617,"['*', '*', '*', '2a02:26f0:f3:ffff::240', '2a02:26f0:f3::5043:52db']","['*', '*', '*', 'ae9.intx-zrh.netarch.akamai.com', 'g2a02-26f0-00f3-0000-0000-0000-5043-52db.deploy.static.akamaitechnologies.com']",5,video/mp4,145677305,keep-alive,"Sat, 24 Jun 2023 12:25:36 GMT","Wed, 14 Sep 2022 01:26:06 GMT","""fbed3afcaedc00f5d81e7e104a91efdd-28""",INTELLIGENT_TIERING, ,7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e,d97174df970b8f4a10626a940f309284,8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5,bytes,AmazonS3, ,[],[],0, , , , , ,https://a199avoddashs3ww-a.akamaihd.net/d/2$2RCRL7nGejD3or8VeeQnrYGbC2o~/ondemand/ww_dub/524c/f21f/f24b/4695-86a4-d5a90d4ef3d0/fd940683-6d52-412a-bc29-c9ced7530d12_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': '2rV1aODEtPawuyY0wx4A+eUepZggjRmFyn0nK8oGtLduL0nmha/uuBnFFp2Eke7K/FiMmyHbzUk=', 'x-amz-request-id': 'N8XPVPWW2WRDQ8JV', 'Last-Modified': 'Wed, 14 Sep 2022 01:26:06 GMT', 'ETag': '""fbed3afcaedc00f5d81e7e104a91efdd-28""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e', 'x-amz-meta-dv-checksum-md5': 'd97174df970b8f4a10626a940f309284', 'x-amz-meta-dv-checksum-sha-256': '8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-145677304/145677305', 'Server': 'AmazonS3', 'Content-Length': '145677305', 'Cache-Control': 'max-age=31536000', 'Date': 'Sat, 24 Jun 2023 12:25:36 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:f3::5043:52db', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801085', 'Content-Type': 'video/mp4'}"
24-06-2023_14:26:35:334375,2a02:26f0:f3::5043:52e2,6.952358991838992,"['*', '2a04:ee41:83:a000::1', '*', '2a02:26f0:f3:ffff::240', '2a02:26f0:f3::5043:52e2']","['*', '2a04:ee41:83:a000::1', '*', 'ae9.intx-zrh.netarch.akamai.com', 'g2a02-26f0-00f3-0000-0000-0000-5043-52e2.deploy.static.akamaitechnologies.com']",5,video/mp4,145677305,keep-alive,"Sat, 24 Jun 2023 12:26:35 GMT","Wed, 14 Sep 2022 01:26:06 GMT","""fbed3afcaedc00f5d81e7e104a91efdd-28""",INTELLIGENT_TIERING, ,7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e,d97174df970b8f4a10626a940f309284,8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5,bytes,AmazonS3, ,[],[],0, , , , , ,https://a199avoddashs3ww-a.akamaihd.net/d/2$2RCRL7nGejD3or8VeeQnrYGbC2o~/ondemand/ww_dub/524c/f21f/f24b/4695-86a4-d5a90d4ef3d0/fd940683-6d52-412a-bc29-c9ced7530d12_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 'VzqLtwA6aH4FT2j6Zz8vvxoMMQgpYKsebA79z9Ry0A34AJAZ0qQoiLF/1e5pq6NBt4tbQk9m4LA=', 'x-amz-request-id': 'QCC4YB2CZ9JE0W15', 'Last-Modified': 'Wed, 14 Sep 2022 01:26:06 GMT', 'ETag': '""fbed3afcaedc00f5d81e7e104a91efdd-28""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e', 'x-amz-meta-dv-checksum-md5': 'd97174df970b8f4a10626a940f309284', 'x-amz-meta-dv-checksum-sha-256': '8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-145677304/145677305', 'Server': 'AmazonS3', 'Content-Length': '145677305', 'Cache-Control': 'max-age=31535956', 'Date': 'Sat, 24 Jun 2023 12:26:35 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:f3::5043:52e2', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801085', 'Content-Type': 'video/mp4'}"
24-06-2023_14:27:32:769862,2a02:26f0:f3::5043:52e2,7.037068018689752,"['*', '2a04:ee41:83:a000::1', '*', '2a02:26f0:f3:ffff::240', '2a02:26f0:f3::5043:52e2']","['*', '2a04:ee41:83:a000::1', '*', 'ae9.intx-zrh.netarch.akamai.com', 'g2a02-26f0-00f3-0000-0000-0000-5043-52e2.deploy.static.akamaitechnologies.com']",5,video/mp4,145677305,keep-alive,"Sat, 24 Jun 2023 12:27:32 GMT","Wed, 14 Sep 2022 01:26:06 GMT","""fbed3afcaedc00f5d81e7e104a91efdd-28""",INTELLIGENT_TIERING, ,7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e,d97174df970b8f4a10626a940f309284,8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5,bytes,AmazonS3, ,[],[],0, , , , , ,https://a199avoddashs3ww-a.akamaihd.net/d/2$2RCRL7nGejD3or8VeeQnrYGbC2o~/ondemand/ww_dub/524c/f21f/f24b/4695-86a4-d5a90d4ef3d0/fd940683-6d52-412a-bc29-c9ced7530d12_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 'dkASYKFY6+sTR0mM4PDKIScuNh4wuIBgakXXyFb/MyMIN2SnGA+GAoAvq7HYTsvKUrGOD9Na0+E=', 'x-amz-request-id': '1PE26PB667RYBKG2', 'Last-Modified': 'Wed, 14 Sep 2022 01:26:06 GMT', 'ETag': '""fbed3afcaedc00f5d81e7e104a91efdd-28""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e', 'x-amz-meta-dv-checksum-md5': 'd97174df970b8f4a10626a940f309284', 'x-amz-meta-dv-checksum-sha-256': '8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-145677304/145677305', 'Server': 'AmazonS3', 'Content-Length': '145677305', 'Cache-Control': 'max-age=31536000', 'Date': 'Sat, 24 Jun 2023 12:27:32 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:f3::5043:52e2', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801085', 'Content-Type': 'video/mp4'}"
24-06-2023_14:28:29:892968,2a02:26f0:f3::5043:52e2,6.814613007009029,"['*', '2a04:ee41:83:a000::1', '*', '2a02:26f0:f3:ffff::240', '2a02:26f0:f3::5043:52e2']","['*', '2a04:ee41:83:a000::1', '*', 'ae9.intx-zrh.netarch.akamai.com', 'g2a02-26f0-00f3-0000-0000-0000-5043-52e2.deploy.static.akamaitechnologies.com']",5,video/mp4,145677305,keep-alive,"Sat, 24 Jun 2023 12:28:30 GMT","Wed, 14 Sep 2022 01:26:06 GMT","""fbed3afcaedc00f5d81e7e104a91efdd-28""",INTELLIGENT_TIERING, ,7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e,d97174df970b8f4a10626a940f309284,8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5,bytes,AmazonS3, ,[],[],0, , , , , ,https://a199avoddashs3ww-a.akamaihd.net/d/2$2RCRL7nGejD3or8VeeQnrYGbC2o~/ondemand/ww_dub/524c/f21f/f24b/4695-86a4-d5a90d4ef3d0/fd940683-6d52-412a-bc29-c9ced7530d12_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': '2TbBBcXv/wrcerTBcribbE0h0h6s6uB7tM//M4vUu4f/aqrwEAwJPGGeg0NCukqQ8epdkQo9s5s=', 'x-amz-request-id': 'E93027EFWJH0YRBQ', 'Last-Modified': 'Wed, 14 Sep 2022 01:26:06 GMT', 'ETag': '""fbed3afcaedc00f5d81e7e104a91efdd-28""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e', 'x-amz-meta-dv-checksum-md5': 'd97174df970b8f4a10626a940f309284', 'x-amz-meta-dv-checksum-sha-256': '8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-145677304/145677305', 'Server': 'AmazonS3', 'Content-Length': '145677305', 'Cache-Control': 'max-age=31535935', 'Date': 'Sat, 24 Jun 2023 12:28:30 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:f3::5043:52e2', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801085', 'Content-Type': 'video/mp4'}"
24-06-2023_14:29:26:826194,2a02:26f0:f3::5043:52e2,6.477255956269801,"['*', '2a04:ee41:83:a000::1', '*', '2a02:26f0:f3:ffff::240', '2a02:26f0:f3::5043:52e2']","['*', '2a04:ee41:83:a000::1', '*', 'ae9.intx-zrh.netarch.akamai.com', 'g2a02-26f0-00f3-0000-0000-0000-5043-52e2.deploy.static.akamaitechnologies.com']",5,video/mp4,145677305,keep-alive,"Sat, 24 Jun 2023 12:29:26 GMT","Wed, 14 Sep 2022 01:26:06 GMT","""fbed3afcaedc00f5d81e7e104a91efdd-28""",INTELLIGENT_TIERING, ,7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e,d97174df970b8f4a10626a940f309284,8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5,bytes,AmazonS3, ,[],[],0, , , , , ,https://a199avoddashs3ww-a.akamaihd.net/d/2$2RCRL7nGejD3or8VeeQnrYGbC2o~/ondemand/ww_dub/524c/f21f/f24b/4695-86a4-d5a90d4ef3d0/fd940683-6d52-412a-bc29-c9ced7530d12_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 'SD88OHpxQJP0rk4O0v5fkgEYVtOcxwBEl2GwjbhylOuv132ziQi+I72qIk+GZDzY/mJo0RjCsH0=', 'x-amz-request-id': 'R51TJG0V0EMVJK8T', 'Last-Modified': 'Wed, 14 Sep 2022 01:26:06 GMT', 'ETag': '""fbed3afcaedc00f5d81e7e104a91efdd-28""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e', 'x-amz-meta-dv-checksum-md5': 'd97174df970b8f4a10626a940f309284', 'x-amz-meta-dv-checksum-sha-256': '8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-145677304/145677305', 'Server': 'AmazonS3', 'Content-Length': '145677305', 'Cache-Control': 'max-age=31536000', 'Date': 'Sat, 24 Jun 2023 12:29:26 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:f3::5043:52e2', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801085', 'Content-Type': 'video/mp4'}"
24-06-2023_14:30:23:958877,2a02:26f0:f3::5043:52db,8.05878802202642,"['*', '*', '*', '2a02:26f0:f3:ffff::240', '2a02:26f0:f3::5043:52db']","['*', '*', '*', 'ae9.intx-zrh.netarch.akamai.com', 'g2a02-26f0-00f3-0000-0000-0000-5043-52db.deploy.static.akamaitechnologies.com']",5,video/mp4,145677305,keep-alive,"Sat, 24 Jun 2023 12:30:24 GMT","Wed, 14 Sep 2022 01:26:06 GMT","""fbed3afcaedc00f5d81e7e104a91efdd-28""",INTELLIGENT_TIERING, ,7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e,d97174df970b8f4a10626a940f309284,8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5,bytes,AmazonS3, ,[],[],0, , , , , ,https://a199avoddashs3ww-a.akamaihd.net/d/2$2RCRL7nGejD3or8VeeQnrYGbC2o~/ondemand/ww_dub/524c/f21f/f24b/4695-86a4-d5a90d4ef3d0/fd940683-6d52-412a-bc29-c9ced7530d12_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 'x1SUn+r+apFAP20OkWWpOOAg9Hnqxpmzn542JQtty45KEVJzwnECAiPL5kIerrnw6h5yxXhMTlU=', 'x-amz-request-id': 'K93VK3DYSM3Z1578', 'Last-Modified': 'Wed, 14 Sep 2022 01:26:06 GMT', 'ETag': '""fbed3afcaedc00f5d81e7e104a91efdd-28""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e', 'x-amz-meta-dv-checksum-md5': 'd97174df970b8f4a10626a940f309284', 'x-amz-meta-dv-checksum-sha-256': '8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-145677304/145677305', 'Server': 'AmazonS3', 'Content-Length': '145677305', 'Cache-Control': 'max-age=31535941', 'Date': 'Sat, 24 Jun 2023 12:30:24 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:f3::5043:52db', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801085', 'Content-Type': 'video/mp4'}"
24-06-2023_14:31:21:111867,2a02:26f0:f3::5043:52e2,7.555864052847028,"['*', '2a04:ee41:83:a000::1', '*', '2a02:26f0:f3:ffff::240', '2a02:26f0:f3::5043:52e2']","['*', '2a04:ee41:83:a000::1', '*', 'ae9.intx-zrh.netarch.akamai.com', 'g2a02-26f0-00f3-0000-0000-0000-5043-52e2.deploy.static.akamaitechnologies.com']",5,video/mp4,145677305,keep-alive,"Sat, 24 Jun 2023 12:31:21 GMT","Wed, 14 Sep 2022 01:26:06 GMT","""fbed3afcaedc00f5d81e7e104a91efdd-28""",INTELLIGENT_TIERING, ,7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e,d97174df970b8f4a10626a940f309284,8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5,bytes,AmazonS3, ,[],[],0, , , , , ,https://a199avoddashs3ww-a.akamaihd.net/d/2$2RCRL7nGejD3or8VeeQnrYGbC2o~/ondemand/ww_dub/524c/f21f/f24b/4695-86a4-d5a90d4ef3d0/fd940683-6d52-412a-bc29-c9ced7530d12_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 'uGNxIlhrxkqUmpb91NyLYa/GN7xgbIuMSFWk7gG3I7s2BvyIJgeVGG6sjO4yccly/eeXFX17RSQ=', 'x-amz-request-id': 'Z4H2M6YT4VJ9FGFD', 'Last-Modified': 'Wed, 14 Sep 2022 01:26:06 GMT', 'ETag': '""fbed3afcaedc00f5d81e7e104a91efdd-28""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e', 'x-amz-meta-dv-checksum-md5': 'd97174df970b8f4a10626a940f309284', 'x-amz-meta-dv-checksum-sha-256': '8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-145677304/145677305', 'Server': 'AmazonS3', 'Content-Length': '145677305', 'Cache-Control': 'max-age=31536000', 'Date': 'Sat, 24 Jun 2023 12:31:21 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:f3::5043:52e2', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801085', 'Content-Type': 'video/mp4'}"
24-06-2023_14:32:18:114738,2a02:26f0:f3::5043:52db,7.714673993177712,"['*', '*', '*', '2a02:26f0:f3:ffff::240', '2a02:26f0:f3::5043:52db']","['*', '*', '*', 'ae9.intx-zrh.netarch.akamai.com', 'g2a02-26f0-00f3-0000-0000-0000-5043-52db.deploy.static.akamaitechnologies.com']",5,video/mp4,145677305,keep-alive,"Sat, 24 Jun 2023 12:32:18 GMT","Wed, 14 Sep 2022 01:26:06 GMT","""fbed3afcaedc00f5d81e7e104a91efdd-28""",INTELLIGENT_TIERING, ,7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e,d97174df970b8f4a10626a940f309284,8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5,bytes,AmazonS3, ,[],[],0, , , , , ,https://a199avoddashs3ww-a.akamaihd.net/d/2$2RCRL7nGejD3or8VeeQnrYGbC2o~/ondemand/ww_dub/524c/f21f/f24b/4695-86a4-d5a90d4ef3d0/fd940683-6d52-412a-bc29-c9ced7530d12_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'x-amz-id-2': 'ZyQcL/OFe4pINM+SXqBQlnP11EkmPWqpbTdyycPM5SLAS0OjJvWIWk3zSTb6w8VzZw8dl7LTy8I=', 'x-amz-request-id': '2QZ66HYGA97FT9WR', 'Last-Modified': 'Wed, 14 Sep 2022 01:26:06 GMT', 'ETag': '""fbed3afcaedc00f5d81e7e104a91efdd-28""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '7b5e7c2b0a1b4a2067f5ae715a0dda7fdd9d117e', 'x-amz-meta-dv-checksum-md5': 'd97174df970b8f4a10626a940f309284', 'x-amz-meta-dv-checksum-sha-256': '8ed0a8e2f3df63fc46e690631cbceda35fd49e8a36295170a9f0e7c0a088a3e5', 'Accept-Ranges': 'bytes', 'Content-Range': 'bytes 0-145677304/145677305', 'Server': 'AmazonS3', 'Content-Length': '145677305', 'Cache-Control': 'max-age=31536000', 'Date': 'Sat, 24 Jun 2023 12:32:18 GMT', 'Connection': 'keep-alive', 'Access-Control-Expose-Headers': 'x-server-ip', 'x-server-ip': '2a02:26f0:f3::5043:52db', 'Access-Control-Max-Age': '86400', 'Access-Control-Allow-Credentials': 'false', 'Timing-Allow-Origin': '*', 'Access-Control-Allow-Headers': 'Range, x-amz-url-set-id', 'Access-Control-Allow-Methods': 'GET', 'Access-Control-Allow-Origin': '*', 'Akamai-Mon-Iucid-Del': '801085', 'Content-Type': 'video/mp4'}"
