timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
24-06-2023_14:22:06:046825,18.165.183.124,4.746919963508844,"['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.79', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.124']","['*', '10.118.96.1', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.79', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.124']",17,video/mp4,184015859,keep-alive,"Fri, 23 Jun 2023 17:46:32 GMT","Mon, 12 Jun 2023 16:21:38 GMT","""bada2a2b57fafd639e306d8923afbc38-36""",INTELLIGENT_TIERING,AES256,d92544e456cb4786373700ff5a30da9c32cd37de,34d78bb6be331fb51634ba1f732e4d8d,839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 9defe0d67603d45217a1199d0f877384.cloudfront.net (CloudFront),ZRH55-P1,HId9_rcF6ZK7-t7CHwoVTZye-qM3cSQsH0HF_U2vMhOtqChnCtSHdw==,66935,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$do2E-Xfz6Jtb6Uzd2KeJHNHHB1o~/c798/22bf/bebe/4bf2-b619-1865d6216701/7bfa8bc2-0f61-4d3d-9802-3e13a69d251f_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '184015859', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 17:46:32 GMT', 'Last-Modified': 'Mon, 12 Jun 2023 16:21:38 GMT', 'ETag': '""bada2a2b57fafd639e306d8923afbc38-36""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': 'd92544e456cb4786373700ff5a30da9c32cd37de', 'x-amz-meta-dv-checksum-md5': '34d78bb6be331fb51634ba1f732e4d8d', 'x-amz-meta-dv-checksum-sha-256': '839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 9defe0d67603d45217a1199d0f877384.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'HId9_rcF6ZK7-t7CHwoVTZye-qM3cSQsH0HF_U2vMhOtqChnCtSHdw==', 'Age': '66935'}"
24-06-2023_14:24:35:351411,18.165.183.81,4.691630019806325,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.229', '52.93.42.127', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.81']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.229', '52.93.42.127', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.81']",17,video/mp4,184015859,keep-alive,"Fri, 23 Jun 2023 17:46:32 GMT","Mon, 12 Jun 2023 16:21:38 GMT","""bada2a2b57fafd639e306d8923afbc38-36""",INTELLIGENT_TIERING,AES256,d92544e456cb4786373700ff5a30da9c32cd37de,34d78bb6be331fb51634ba1f732e4d8d,839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 fec5e83bcae9ab1295b776b3f64183d0.cloudfront.net (CloudFront),ZRH55-P1,sxCOBOC92DvZolWuUejYxEBukqVZSXEmyDDEOlxZeztSpdap8mvmQw==,67084,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$do2E-Xfz6Jtb6Uzd2KeJHNHHB1o~/c798/22bf/bebe/4bf2-b619-1865d6216701/7bfa8bc2-0f61-4d3d-9802-3e13a69d251f_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '184015859', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 17:46:32 GMT', 'Last-Modified': 'Mon, 12 Jun 2023 16:21:38 GMT', 'ETag': '""bada2a2b57fafd639e306d8923afbc38-36""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': 'd92544e456cb4786373700ff5a30da9c32cd37de', 'x-amz-meta-dv-checksum-md5': '34d78bb6be331fb51634ba1f732e4d8d', 'x-amz-meta-dv-checksum-sha-256': '839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 fec5e83bcae9ab1295b776b3f64183d0.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'sxCOBOC92DvZolWuUejYxEBukqVZSXEmyDDEOlxZeztSpdap8mvmQw==', 'Age': '67084'}"
24-06-2023_14:25:35:970061,18.165.183.22,5.823591956868768,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.65', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.22']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.65', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.22']",17,video/mp4,184015859,keep-alive,"Fri, 23 Jun 2023 17:46:32 GMT","Mon, 12 Jun 2023 16:21:38 GMT","""bada2a2b57fafd639e306d8923afbc38-36""",INTELLIGENT_TIERING,AES256,d92544e456cb4786373700ff5a30da9c32cd37de,34d78bb6be331fb51634ba1f732e4d8d,839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 abd012b9637ad93b7c9aa82d2cfb262c.cloudfront.net (CloudFront),ZRH55-P1,izub6IH3EHMmzTBaBC1Hi_mazqoNg4Nj4YnL_GDa0UPxS2niwqYspw==,67145,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$do2E-Xfz6Jtb6Uzd2KeJHNHHB1o~/c798/22bf/bebe/4bf2-b619-1865d6216701/7bfa8bc2-0f61-4d3d-9802-3e13a69d251f_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '184015859', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 17:46:32 GMT', 'Last-Modified': 'Mon, 12 Jun 2023 16:21:38 GMT', 'ETag': '""bada2a2b57fafd639e306d8923afbc38-36""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': 'd92544e456cb4786373700ff5a30da9c32cd37de', 'x-amz-meta-dv-checksum-md5': '34d78bb6be331fb51634ba1f732e4d8d', 'x-amz-meta-dv-checksum-sha-256': '839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 abd012b9637ad93b7c9aa82d2cfb262c.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'izub6IH3EHMmzTBaBC1Hi_mazqoNg4Nj4YnL_GDa0UPxS2niwqYspw==', 'Age': '67145'}"
24-06-2023_14:26:35:222534,18.165.183.115,5.822136998176575,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.225', '52.93.42.97', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.115']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.225', '52.93.42.97', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.115']",17,video/mp4,184015859,keep-alive,"Fri, 23 Jun 2023 17:46:32 GMT","Mon, 12 Jun 2023 16:21:38 GMT","""bada2a2b57fafd639e306d8923afbc38-36""",INTELLIGENT_TIERING,AES256,d92544e456cb4786373700ff5a30da9c32cd37de,34d78bb6be331fb51634ba1f732e4d8d,839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 3c2af29a416fc74eb3d104df3f808fdc.cloudfront.net (CloudFront),ZRH55-P1,HO5Is9oZwBfRwbPxFHGqzZadYe-ND9MUQ9e8uApIhkqDV78jqWEdjQ==,67204,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$do2E-Xfz6Jtb6Uzd2KeJHNHHB1o~/c798/22bf/bebe/4bf2-b619-1865d6216701/7bfa8bc2-0f61-4d3d-9802-3e13a69d251f_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '184015859', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 17:46:32 GMT', 'Last-Modified': 'Mon, 12 Jun 2023 16:21:38 GMT', 'ETag': '""bada2a2b57fafd639e306d8923afbc38-36""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': 'd92544e456cb4786373700ff5a30da9c32cd37de', 'x-amz-meta-dv-checksum-md5': '34d78bb6be331fb51634ba1f732e4d8d', 'x-amz-meta-dv-checksum-sha-256': '839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 3c2af29a416fc74eb3d104df3f808fdc.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'HO5Is9oZwBfRwbPxFHGqzZadYe-ND9MUQ9e8uApIhkqDV78jqWEdjQ==', 'Age': '67204'}"
24-06-2023_14:27:32:696893,18.165.183.124,4.460795084014535,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.79', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.124']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.79', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.124']",17,video/mp4,184015859,keep-alive,"Fri, 23 Jun 2023 17:46:32 GMT","Mon, 12 Jun 2023 16:21:38 GMT","""bada2a2b57fafd639e306d8923afbc38-36""",INTELLIGENT_TIERING,AES256,d92544e456cb4786373700ff5a30da9c32cd37de,34d78bb6be331fb51634ba1f732e4d8d,839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 7eb9eadda041aaab1056a6a0f8080462.cloudfront.net (CloudFront),ZRH55-P1,BJq6R6lYL76k9bAT1zRU1Weuk9QCvkEC20VaGr4St0AEjN55aDomgQ==,67261,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$do2E-Xfz6Jtb6Uzd2KeJHNHHB1o~/c798/22bf/bebe/4bf2-b619-1865d6216701/7bfa8bc2-0f61-4d3d-9802-3e13a69d251f_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '184015859', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 17:46:32 GMT', 'Last-Modified': 'Mon, 12 Jun 2023 16:21:38 GMT', 'ETag': '""bada2a2b57fafd639e306d8923afbc38-36""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': 'd92544e456cb4786373700ff5a30da9c32cd37de', 'x-amz-meta-dv-checksum-md5': '34d78bb6be331fb51634ba1f732e4d8d', 'x-amz-meta-dv-checksum-sha-256': '839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 7eb9eadda041aaab1056a6a0f8080462.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'BJq6R6lYL76k9bAT1zRU1Weuk9QCvkEC20VaGr4St0AEjN55aDomgQ==', 'Age': '67261'}"
24-06-2023_14:28:29:764569,18.165.183.22,4.757008980959654,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.65', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.22']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.221', '52.93.42.65', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.22']",17,video/mp4,184015859,keep-alive,"Fri, 23 Jun 2023 17:46:32 GMT","Mon, 12 Jun 2023 16:21:38 GMT","""bada2a2b57fafd639e306d8923afbc38-36""",INTELLIGENT_TIERING,AES256,d92544e456cb4786373700ff5a30da9c32cd37de,34d78bb6be331fb51634ba1f732e4d8d,839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 f6d3d027dc70c7291c2f685efb187ab2.cloudfront.net (CloudFront),ZRH55-P1,CY0o56rqctsM3m96wPifJn6LsK23JhARv48yfWRxQ8sScpcD82qlBg==,67318,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$do2E-Xfz6Jtb6Uzd2KeJHNHHB1o~/c798/22bf/bebe/4bf2-b619-1865d6216701/7bfa8bc2-0f61-4d3d-9802-3e13a69d251f_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '184015859', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 17:46:32 GMT', 'Last-Modified': 'Mon, 12 Jun 2023 16:21:38 GMT', 'ETag': '""bada2a2b57fafd639e306d8923afbc38-36""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': 'd92544e456cb4786373700ff5a30da9c32cd37de', 'x-amz-meta-dv-checksum-md5': '34d78bb6be331fb51634ba1f732e4d8d', 'x-amz-meta-dv-checksum-sha-256': '839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 f6d3d027dc70c7291c2f685efb187ab2.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'CY0o56rqctsM3m96wPifJn6LsK23JhARv48yfWRxQ8sScpcD82qlBg==', 'Age': '67318'}"
24-06-2023_14:29:26:791587,18.165.183.124,4.881114000454545,"['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.79', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.124']","['192.168.1.1', '10.118.96.1', '10.80.128.241', '10.96.127.161', '213.55.155.5', '*', '99.82.180.94', '52.93.42.223', '52.93.42.79', '*', '*', '*', '*', '*', '*', '15.230.244.0', '18.165.183.124']",17,video/mp4,184015859,keep-alive,"Fri, 23 Jun 2023 17:46:32 GMT","Mon, 12 Jun 2023 16:21:38 GMT","""bada2a2b57fafd639e306d8923afbc38-36""",INTELLIGENT_TIERING,AES256,d92544e456cb4786373700ff5a30da9c32cd37de,34d78bb6be331fb51634ba1f732e4d8d,839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 9defe0d67603d45217a1199d0f877384.cloudfront.net (CloudFront),ZRH55-P1,9U9oPeeRXtG8oJ32y_chzNyEmhG8xqcRuccdHJ8V2YLXEBw4un8Xug==,67375,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$do2E-Xfz6Jtb6Uzd2KeJHNHHB1o~/c798/22bf/bebe/4bf2-b619-1865d6216701/7bfa8bc2-0f61-4d3d-9802-3e13a69d251f_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '184015859', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 17:46:32 GMT', 'Last-Modified': 'Mon, 12 Jun 2023 16:21:38 GMT', 'ETag': '""bada2a2b57fafd639e306d8923afbc38-36""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': 'd92544e456cb4786373700ff5a30da9c32cd37de', 'x-amz-meta-dv-checksum-md5': '34d78bb6be331fb51634ba1f732e4d8d', 'x-amz-meta-dv-checksum-sha-256': '839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 9defe0d67603d45217a1199d0f877384.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': '9U9oPeeRXtG8oJ32y_chzNyEmhG8xqcRuccdHJ8V2YLXEBw4un8Xug==', 'Age': '67375'}"
24-06-2023_14:30:23:977383,18.165.183.81,5.485810921527445,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.229', '52.93.42.127', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.81']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.229', '52.93.42.127', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.81']",17,video/mp4,184015859,keep-alive,"Fri, 23 Jun 2023 17:46:32 GMT","Mon, 12 Jun 2023 16:21:38 GMT","""bada2a2b57fafd639e306d8923afbc38-36""",INTELLIGENT_TIERING,AES256,d92544e456cb4786373700ff5a30da9c32cd37de,34d78bb6be331fb51634ba1f732e4d8d,839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 9c0ce977a13f3d9bbc6eed6540faf728.cloudfront.net (CloudFront),ZRH55-P1,VFYqR6tkmjsxGiTrqwjWyk1Xle4okEKw-tJWfKsGew0umpk69zMDLA==,67433,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$do2E-Xfz6Jtb6Uzd2KeJHNHHB1o~/c798/22bf/bebe/4bf2-b619-1865d6216701/7bfa8bc2-0f61-4d3d-9802-3e13a69d251f_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '184015859', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 17:46:32 GMT', 'Last-Modified': 'Mon, 12 Jun 2023 16:21:38 GMT', 'ETag': '""bada2a2b57fafd639e306d8923afbc38-36""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': 'd92544e456cb4786373700ff5a30da9c32cd37de', 'x-amz-meta-dv-checksum-md5': '34d78bb6be331fb51634ba1f732e4d8d', 'x-amz-meta-dv-checksum-sha-256': '839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 9c0ce977a13f3d9bbc6eed6540faf728.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'VFYqR6tkmjsxGiTrqwjWyk1Xle4okEKw-tJWfKsGew0umpk69zMDLA==', 'Age': '67433'}"
24-06-2023_14:31:21:039831,18.165.183.81,5.684719071723521,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.229', '52.93.42.127', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.81']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.229', '52.93.42.127', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.81']",17,video/mp4,184015859,keep-alive,"Fri, 23 Jun 2023 17:46:32 GMT","Mon, 12 Jun 2023 16:21:38 GMT","""bada2a2b57fafd639e306d8923afbc38-36""",INTELLIGENT_TIERING,AES256,d92544e456cb4786373700ff5a30da9c32cd37de,34d78bb6be331fb51634ba1f732e4d8d,839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 7eb9eadda041aaab1056a6a0f8080462.cloudfront.net (CloudFront),ZRH55-P1,glAPynJdY01tTgTg4QnXdWH9Dz4pQv4yFHg0zW683Nh2e6Y34-fXKA==,67490,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$do2E-Xfz6Jtb6Uzd2KeJHNHHB1o~/c798/22bf/bebe/4bf2-b619-1865d6216701/7bfa8bc2-0f61-4d3d-9802-3e13a69d251f_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '184015859', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 17:46:32 GMT', 'Last-Modified': 'Mon, 12 Jun 2023 16:21:38 GMT', 'ETag': '""bada2a2b57fafd639e306d8923afbc38-36""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': 'd92544e456cb4786373700ff5a30da9c32cd37de', 'x-amz-meta-dv-checksum-md5': '34d78bb6be331fb51634ba1f732e4d8d', 'x-amz-meta-dv-checksum-sha-256': '839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 7eb9eadda041aaab1056a6a0f8080462.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'glAPynJdY01tTgTg4QnXdWH9Dz4pQv4yFHg0zW683Nh2e6Y34-fXKA==', 'Age': '67490'}"
24-06-2023_14:32:17:973232,18.165.183.81,4.7784989001229405,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.229', '52.93.42.127', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.81']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '*', '99.82.180.94', '52.93.42.229', '52.93.42.127', '*', '*', '*', '*', '*', '*', '15.230.244.1', '18.165.183.81']",17,video/mp4,184015859,keep-alive,"Fri, 23 Jun 2023 17:46:32 GMT","Mon, 12 Jun 2023 16:21:38 GMT","""bada2a2b57fafd639e306d8923afbc38-36""",INTELLIGENT_TIERING,AES256,d92544e456cb4786373700ff5a30da9c32cd37de,34d78bb6be331fb51634ba1f732e4d8d,839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 7eb9eadda041aaab1056a6a0f8080462.cloudfront.net (CloudFront),ZRH55-P1,GOI2_oAV28YByHnT65NYqsKkc3zMu-ng3dZcNUJ-TKa1K8PDfegEUw==,67547,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$do2E-Xfz6Jtb6Uzd2KeJHNHHB1o~/c798/22bf/bebe/4bf2-b619-1865d6216701/7bfa8bc2-0f61-4d3d-9802-3e13a69d251f_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '184015859', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 17:46:32 GMT', 'Last-Modified': 'Mon, 12 Jun 2023 16:21:38 GMT', 'ETag': '""bada2a2b57fafd639e306d8923afbc38-36""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': 'd92544e456cb4786373700ff5a30da9c32cd37de', 'x-amz-meta-dv-checksum-md5': '34d78bb6be331fb51634ba1f732e4d8d', 'x-amz-meta-dv-checksum-sha-256': '839f3f6c80dbac407dbf9ce1db3fc4952ff71a00709e25246fc81a7d7ce0f5b5', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 7eb9eadda041aaab1056a6a0f8080462.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'ZRH55-P1', 'X-Amz-Cf-Id': 'GOI2_oAV28YByHnT65NYqsKkc3zMu-ng3dZcNUJ-TKa1K8PDfegEUw==', 'Age': '67547'}"
