name,url_titlepage,url_videopage,url_chunk,content
how-islam-built-the-modern-world,https://www.magellantv.com/video/how-islam-built-the-modern-world,https://www.magellantv.com/video/how-islam-built-the-modern-world?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d2474f_2a334ab1922c6d8b4abd1a7cef0e0f5809e0a910/site/4pSWjNlc/media/F7iwleej/version/jgBYK0yX/manifest.ism/manifest-audio_eng=112001-video_eng=241732-1.ts,magellantv_science-tech
sewers-of-paris-the-hidden-city,https://www.magellantv.com/video/sewers-of-paris-the-hidden-city,https://www.magellantv.com/video/sewers-of-paris-the-hidden-city?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d24755_6448f39421dea9ee3d55a40dd6c51c4eef21c20b/site/4pSWjNlc/media/OrJC5qEl/version/IEYXJ6Jl/manifest.ism/manifest-audio_eng=112000-video_eng=204910-2.ts,magellantv_science-tech
battle-for-blood,https://www.magellantv.com/video/battle-for-blood,https://www.magellantv.com/video/battle-for-blood?type=v,https://d8dplxrhycocu.cloudfront.net/Va6MulZa/video/fmp4/h265/720p_1900000/segment_0.m4s,magellantv_science-tech
the-crispr-revolution,https://www.magellantv.com/video/the-crispr-revolution,https://www.magellantv.com/video/the-crispr-revolution?type=v,https://d8dplxrhycocu.cloudfront.net/eyAMJGqs/video/fmp4/h265/720p_1900000/segment_0.m4s,magellantv_science-tech
uncle-jack-manhattan-project-and-beyond,https://www.magellantv.com/video/uncle-jack-manhattan-project-and-beyond,https://www.magellantv.com/video/uncle-jack-manhattan-project-and-beyond?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d24768_ba8ed82dee15c836ea3cee5f1197fcd466735414/site/4pSWjNlc/media/r2JYTReU/version/r2JYTReU/manifest.ism/manifest-audio_eng=112000-video_eng=178346-1.ts,magellantv_science-tech
cyberwork-and-the-american-dream,https://www.magellantv.com/video/cyberwork-and-the-american-dream,https://www.magellantv.com/video/cyberwork-and-the-american-dream?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d2476e_f9184f7871db3f80401a4e9e100fa79b4911de15/site/4pSWjNlc/media/krutvKWx/version/krutvKWx/manifest.ism/manifest-audio_eng=112000-video_eng=217648-1.ts,magellantv_science-tech
the-new-fire-the-nuclear-revolution,https://www.magellantv.com/video/the-new-fire-the-nuclear-revolution,https://www.magellantv.com/video/the-new-fire-the-nuclear-revolution?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d24773_134b8664bc9e37eb704d28436b21af0e9ca733df/site/4pSWjNlc/media/VhvOEk3H/version/VhvOEk3H/manifest.ism/manifest-audio_eng=112000-video_eng=231006-2.ts,magellantv_science-tech
ai-vs-human-brain-the-final-showdown,https://www.magellantv.com/video/ai-vs-human-brain-the-final-showdown,https://www.magellantv.com/video/ai-vs-human-brain-the-final-showdown?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d24777_1fc5b9e483c836be0f52d834872342f389461e4d/site/4pSWjNlc/media/zTSeFBRh/version/zTSeFBRh/manifest.ism/manifest-audio_eng=112000-video_eng=235292-1.ts,magellantv_science-tech
tailored-humanity-a-revolution-in-genetics,https://www.magellantv.com/video/tailored-humanity-a-revolution-in-genetics,https://www.magellantv.com/video/tailored-humanity-a-revolution-in-genetics?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d2477c_0d21326022833b3f6efacc29c11d5590dbfa45fb/site/4pSWjNlc/media/FdIMsRN5/version/FdIMsRN5/manifest.ism/manifest-audio_eng=112000-video_eng=189933-2.ts,magellantv_science-tech
harbor-of-the-future,https://www.magellantv.com/video/harbor-of-the-future,https://www.magellantv.com/video/harbor-of-the-future?type=v,https://videos-cloudfront-usp.jwpsrv.com/64d24783_d88e2d7514adf2c37bb9a526db2f4c138ff49928/site/4pSWjNlc/media/HMLsYNoB/version/HMLsYNoB/manifest.ism/manifest-audio_eng=112000-video_eng=233404-1.ts,magellantv_science-tech
