timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
21-06-2023_18:05:51:839755,54.182.218.101,9.991833999997368,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '*', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '*', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']",23,video/mp4,591150989,keep-alive,"Wed, 21 Jun 2023 16:05:52 GMT","Wed, 07 Sep 2022 12:07:19 GMT","""32b21fa4a6d6d360073ed6a84937bf1e-113""",INTELLIGENT_TIERING, ,407e62f707b1fddfa68d8e4490bd6996f7bd7c9e,9b12e9715ca2e5d38f130a17c87fe882,d6bc9252f809d448fa0c424001594d6bd02129e8cd96d9ce15dbb9e6f8e50cfa,bytes,AmazonS3,54.182.181.170,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.181.170']","['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.181.170']",23,Miss from cloudfront,1.1 c7b63445bc17ab12fce05d797b27f3b4.cloudfront.net (CloudFront),FRA51-M1,XlztVbyM1FXnrz-oEBhRFge4m62F61zcTQZgrAVUtRU1NuHvE4SmPg==, ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$mpKNetog_oGzLGb5oXh6opM7rtg~/e61c/89dd/0806/49c2-abc0-8dcd60edc0f6/da6a2732-eed0-4c26-b4aa-73fdaaf296f3_video_11.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '591150989', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 16:05:52 GMT', 'Last-Modified': 'Wed, 07 Sep 2022 12:07:19 GMT', 'ETag': '""32b21fa4a6d6d360073ed6a84937bf1e-113""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '407e62f707b1fddfa68d8e4490bd6996f7bd7c9e', 'x-amz-meta-dv-checksum-md5': '9b12e9715ca2e5d38f130a17c87fe882', 'x-amz-meta-dv-checksum-sha-256': 'd6bc9252f809d448fa0c424001594d6bd02129e8cd96d9ce15dbb9e6f8e50cfa', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Miss from cloudfront', 'Via': '1.1 c7b63445bc17ab12fce05d797b27f3b4.cloudfront.net (CloudFront)', 'X-Server-IP': '54.182.181.170', 'X-Amz-Cf-Pop': 'FRA51-M1', 'X-Amz-Cf-Id': 'XlztVbyM1FXnrz-oEBhRFge4m62F61zcTQZgrAVUtRU1NuHvE4SmPg=='}"
21-06-2023_18:21:37:643737,54.182.220.122,10.06735300000372,"['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '*', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']","['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '*', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']",23,video/mp4,591150989,keep-alive,"Wed, 21 Jun 2023 16:05:52 GMT","Wed, 07 Sep 2022 12:07:19 GMT","""32b21fa4a6d6d360073ed6a84937bf1e-113""",INTELLIGENT_TIERING, ,407e62f707b1fddfa68d8e4490bd6996f7bd7c9e,9b12e9715ca2e5d38f130a17c87fe882,d6bc9252f809d448fa0c424001594d6bd02129e8cd96d9ce15dbb9e6f8e50cfa,bytes,AmazonS3,54.182.185.206,"['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '*', '54.182.185.206']","['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '*', '54.182.185.206']",24,Hit from cloudfront,1.1 20429481ec61ea8a7fe4a17aca7ecda6.cloudfront.net (CloudFront),FRA54-M3,FJ2JvaHDD9nG9h3SEmxYW60l1-Cb0YGET82OpxcTt-JPwA8ZG1qMFQ==,945,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$mpKNetog_oGzLGb5oXh6opM7rtg~/e61c/89dd/0806/49c2-abc0-8dcd60edc0f6/da6a2732-eed0-4c26-b4aa-73fdaaf296f3_video_11.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '591150989', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 16:05:52 GMT', 'Last-Modified': 'Wed, 07 Sep 2022 12:07:19 GMT', 'ETag': '""32b21fa4a6d6d360073ed6a84937bf1e-113""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '407e62f707b1fddfa68d8e4490bd6996f7bd7c9e', 'x-amz-meta-dv-checksum-md5': '9b12e9715ca2e5d38f130a17c87fe882', 'x-amz-meta-dv-checksum-sha-256': 'd6bc9252f809d448fa0c424001594d6bd02129e8cd96d9ce15dbb9e6f8e50cfa', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 20429481ec61ea8a7fe4a17aca7ecda6.cloudfront.net (CloudFront)', 'X-Server-IP': '54.182.185.206', 'X-Amz-Cf-Pop': 'FRA54-M3', 'X-Amz-Cf-Id': 'FJ2JvaHDD9nG9h3SEmxYW60l1-Cb0YGET82OpxcTt-JPwA8ZG1qMFQ==', 'Age': '945'}"
21-06-2023_18:22:49:363156,54.182.219.121,10.586758000002305,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '*', '130.59.36.246', '130.59.38.201', '*', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '*', '130.59.36.246', '130.59.38.201', '*', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']",23,video/mp4,591150989,keep-alive,"Wed, 21 Jun 2023 16:05:52 GMT","Wed, 07 Sep 2022 12:07:19 GMT","""32b21fa4a6d6d360073ed6a84937bf1e-113""",INTELLIGENT_TIERING, ,407e62f707b1fddfa68d8e4490bd6996f7bd7c9e,9b12e9715ca2e5d38f130a17c87fe882,d6bc9252f809d448fa0c424001594d6bd02129e8cd96d9ce15dbb9e6f8e50cfa,bytes,AmazonS3,54.182.182.15,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.182.15']","['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.182.15']",23,Hit from cloudfront,1.1 af465805d6940b52537c0b6acf093b8e.cloudfront.net (CloudFront),FRA52-M2,Gocx2vT2QiBkBstoZ47he3nPghaOTz7elQcrLUI6UFoRuA7X1gS3dg==,1017,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$mpKNetog_oGzLGb5oXh6opM7rtg~/e61c/89dd/0806/49c2-abc0-8dcd60edc0f6/da6a2732-eed0-4c26-b4aa-73fdaaf296f3_video_11.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '591150989', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 16:05:52 GMT', 'Last-Modified': 'Wed, 07 Sep 2022 12:07:19 GMT', 'ETag': '""32b21fa4a6d6d360073ed6a84937bf1e-113""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '407e62f707b1fddfa68d8e4490bd6996f7bd7c9e', 'x-amz-meta-dv-checksum-md5': '9b12e9715ca2e5d38f130a17c87fe882', 'x-amz-meta-dv-checksum-sha-256': 'd6bc9252f809d448fa0c424001594d6bd02129e8cd96d9ce15dbb9e6f8e50cfa', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 af465805d6940b52537c0b6acf093b8e.cloudfront.net (CloudFront)', 'X-Server-IP': '54.182.182.15', 'X-Amz-Cf-Pop': 'FRA52-M2', 'X-Amz-Cf-Id': 'Gocx2vT2QiBkBstoZ47he3nPghaOTz7elQcrLUI6UFoRuA7X1gS3dg==', 'Age': '1017'}"
21-06-2023_19:04:25:633674,54.240.131.114,155.8152040000067,"['*', '*', '10.0.2.6', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.88.224.218', '52.93.47.153', '15.230.28.137', '*', '*', '*', '*', '*', '54.240.131.114']","['*', '*', '10.0.2.6', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.88.224.218', '52.93.47.153', '15.230.28.137', '*', '*', '*', '*', '*', '54.240.131.114']",30,video/mp4,591150989,keep-alive,"Wed, 21 Jun 2023 17:04:27 GMT","Wed, 07 Sep 2022 12:07:19 GMT","""32b21fa4a6d6d360073ed6a84937bf1e-113""",INTELLIGENT_TIERING, ,407e62f707b1fddfa68d8e4490bd6996f7bd7c9e,9b12e9715ca2e5d38f130a17c87fe882,d6bc9252f809d448fa0c424001594d6bd02129e8cd96d9ce15dbb9e6f8e50cfa,bytes,AmazonS3,54.239.214.237,"['128.178.122.1', '*', '*', '*', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '*', '*', '*', '154.54.44.169', '154.54.31.89', '154.54.42.97', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*']",[],0,Miss from cloudfront,1.1 895309fdbb6e10eac250e3eb06fb5032.cloudfront.net (CloudFront),SFO50-M3,bbKfZnA3ITYHpwJE_T5qLcBu8oum9ftBTeYB6VZ4f0MeJxtdK5WdIg==, ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$mpKNetog_oGzLGb5oXh6opM7rtg~/e61c/89dd/0806/49c2-abc0-8dcd60edc0f6/da6a2732-eed0-4c26-b4aa-73fdaaf296f3_video_11.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '591150989', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 17:04:27 GMT', 'Last-Modified': 'Wed, 07 Sep 2022 12:07:19 GMT', 'ETag': '""32b21fa4a6d6d360073ed6a84937bf1e-113""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '407e62f707b1fddfa68d8e4490bd6996f7bd7c9e', 'x-amz-meta-dv-checksum-md5': '9b12e9715ca2e5d38f130a17c87fe882', 'x-amz-meta-dv-checksum-sha-256': 'd6bc9252f809d448fa0c424001594d6bd02129e8cd96d9ce15dbb9e6f8e50cfa', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Miss from cloudfront', 'Via': '1.1 895309fdbb6e10eac250e3eb06fb5032.cloudfront.net (CloudFront)', 'X-Server-IP': '54.239.214.237', 'X-Amz-Cf-Pop': 'SFO50-M3', 'X-Amz-Cf-Id': 'bbKfZnA3ITYHpwJE_T5qLcBu8oum9ftBTeYB6VZ4f0MeJxtdK5WdIg=='}"
21-06-2023_19:05:58:117800,54.240.129.122,156.54667399999767,"['128.178.122.1', '*', '*', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '66.28.4.197', '154.54.47.49', '154.54.6.221', '154.54.42.165', '154.54.5.89', '154.54.41.145', '154.54.44.137', '154.54.43.10', '38.88.224.186', '52.93.47.137', '15.230.28.137', '*', '*', '*', '*', '*', '*']",[],0,video/mp4,591150989,keep-alive,"Wed, 21 Jun 2023 17:04:27 GMT","Wed, 07 Sep 2022 12:07:19 GMT","""32b21fa4a6d6d360073ed6a84937bf1e-113""",INTELLIGENT_TIERING, ,407e62f707b1fddfa68d8e4490bd6996f7bd7c9e,9b12e9715ca2e5d38f130a17c87fe882,d6bc9252f809d448fa0c424001594d6bd02129e8cd96d9ce15dbb9e6f8e50cfa,bytes,AmazonS3,54.239.210.195,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '*', '10.0.2.127', '10.0.2.178', '*', '*', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '*', '154.54.47.49', '154.54.6.221', '154.54.42.165', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*']",[],0,Hit from cloudfront,1.1 38875bc80d9e39a4a5473ab02471de2a.cloudfront.net (CloudFront),SFO5-M1,MS6Lvy3aOJK3E6GJGMmKNCV6x-uZsEaWTyxlVjvOBT8qk-G6_IRFKw==,92,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$mpKNetog_oGzLGb5oXh6opM7rtg~/e61c/89dd/0806/49c2-abc0-8dcd60edc0f6/da6a2732-eed0-4c26-b4aa-73fdaaf296f3_video_11.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '591150989', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 17:04:27 GMT', 'Last-Modified': 'Wed, 07 Sep 2022 12:07:19 GMT', 'ETag': '""32b21fa4a6d6d360073ed6a84937bf1e-113""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '407e62f707b1fddfa68d8e4490bd6996f7bd7c9e', 'x-amz-meta-dv-checksum-md5': '9b12e9715ca2e5d38f130a17c87fe882', 'x-amz-meta-dv-checksum-sha-256': 'd6bc9252f809d448fa0c424001594d6bd02129e8cd96d9ce15dbb9e6f8e50cfa', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 38875bc80d9e39a4a5473ab02471de2a.cloudfront.net (CloudFront)', 'X-Server-IP': '54.239.210.195', 'X-Amz-Cf-Pop': 'SFO5-M1', 'X-Amz-Cf-Id': 'MS6Lvy3aOJK3E6GJGMmKNCV6x-uZsEaWTyxlVjvOBT8qk-G6_IRFKw==', 'Age': '92'}"
21-06-2023_19:22:42:460516,54.240.130.99,157.06770699999595,"['128.178.122.1', '*', '*', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.142.246.122', '15.230.28.23', '15.230.28.175', '*', '*', '*', '*', '*', '*']",[],0,video/mp4,591150989,keep-alive,"Wed, 21 Jun 2023 17:04:27 GMT","Wed, 07 Sep 2022 12:07:19 GMT","""32b21fa4a6d6d360073ed6a84937bf1e-113""",INTELLIGENT_TIERING, ,407e62f707b1fddfa68d8e4490bd6996f7bd7c9e,9b12e9715ca2e5d38f130a17c87fe882,d6bc9252f809d448fa0c424001594d6bd02129e8cd96d9ce15dbb9e6f8e50cfa,bytes,AmazonS3,54.239.213.48,"['*', '*', '*', '*', '10.0.2.127', '10.0.2.178', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '54.239.213.48']","['*', '*', '*', '*', '10.0.2.127', '10.0.2.178', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '54.239.213.48']",30,Hit from cloudfront,1.1 ebfe6b0822dde36f32edcc0b482ee0ec.cloudfront.net (CloudFront),SFO20-M2,1w4wuTRg9NZGyEhmeu8dZLA19bCE5TSURdvuY2oYiPu3ehrmrRki4w==,1096,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$mpKNetog_oGzLGb5oXh6opM7rtg~/e61c/89dd/0806/49c2-abc0-8dcd60edc0f6/da6a2732-eed0-4c26-b4aa-73fdaaf296f3_video_11.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '591150989', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 17:04:27 GMT', 'Last-Modified': 'Wed, 07 Sep 2022 12:07:19 GMT', 'ETag': '""32b21fa4a6d6d360073ed6a84937bf1e-113""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '407e62f707b1fddfa68d8e4490bd6996f7bd7c9e', 'x-amz-meta-dv-checksum-md5': '9b12e9715ca2e5d38f130a17c87fe882', 'x-amz-meta-dv-checksum-sha-256': 'd6bc9252f809d448fa0c424001594d6bd02129e8cd96d9ce15dbb9e6f8e50cfa', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 ebfe6b0822dde36f32edcc0b482ee0ec.cloudfront.net (CloudFront)', 'X-Server-IP': '54.239.213.48', 'X-Amz-Cf-Pop': 'SFO20-M2', 'X-Amz-Cf-Id': '1w4wuTRg9NZGyEhmeu8dZLA19bCE5TSURdvuY2oYiPu3ehrmrRki4w==', 'Age': '1096'}"
21-06-2023_19:33:36:361391,54.182.215.109,17.396980000000895,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '80.249.210.217', '52.93.112.185', '*', '*', '*', '*', '*', '*', '54.182.215.109']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '80.249.210.217', '52.93.112.185', '*', '*', '*', '*', '*', '*', '54.182.215.109']",19, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$mpKNetog_oGzLGb5oXh6opM7rtg~/e61c/89dd/0806/49c2-abc0-8dcd60edc0f6/da6a2732-eed0-4c26-b4aa-73fdaaf296f3_video_11.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
21-06-2023_19:34:28:109832,54.182.216.113,17.265909000002466,"['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '80.249.210.217', '52.93.112.187', '*', '*', '*', '*', '*', '*', '54.182.216.113']","['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '80.249.210.217', '52.93.112.187', '*', '*', '*', '*', '*', '*', '54.182.216.113']",19, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$mpKNetog_oGzLGb5oXh6opM7rtg~/e61c/89dd/0806/49c2-abc0-8dcd60edc0f6/da6a2732-eed0-4c26-b4aa-73fdaaf296f3_video_11.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
21-06-2023_19:35:20:602277,54.182.217.120,17.395053000001326,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '80.249.210.217', '*', '*', '*', '*', '*', '*', '*', '54.182.217.120']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '80.249.210.217', '*', '*', '*', '*', '*', '*', '*', '54.182.217.120']",19, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$mpKNetog_oGzLGb5oXh6opM7rtg~/e61c/89dd/0806/49c2-abc0-8dcd60edc0f6/da6a2732-eed0-4c26-b4aa-73fdaaf296f3_video_11.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
21-06-2023_19:36:14:567391,54.182.235.102,20.996701000001394,"['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']","['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']",23, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$mpKNetog_oGzLGb5oXh6opM7rtg~/e61c/89dd/0806/49c2-abc0-8dcd60edc0f6/da6a2732-eed0-4c26-b4aa-73fdaaf296f3_video_11.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
