timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
21-06-2023_18:05:57:826276,54.182.218.101,10.211820999998622,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '*', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '*', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']",23,video/mp4,1675974136,keep-alive,"Wed, 21 Jun 2023 16:05:58 GMT","Mon, 10 Feb 2020 13:25:54 GMT","""a027602d13f013ad91ac5daf445f83b3-320""",INTELLIGENT_TIERING, ,9b8c5b4f9ad4124f69ecbb4a9ac68eced01b6523,c8e91cb8d0318f5a90e40c8480d85e3a,19eb683eb7bb9976d60e3471ee7437f1ffbf1787944d0c10c78746fd28598d22,bytes,AmazonS3,54.182.180.11,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '*', '54.182.180.11']","['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '*', '54.182.180.11']",24,Miss from cloudfront,1.1 0951dac2d215f9d653e97da9e52c7b58.cloudfront.net (CloudFront),FRA51-M1,651Sjtb8TPIieMCUA6i5dHUb7x0dAEaHI1VPFPHtCtNU3aay_C13iQ==, ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$yFJ1pLyXnifHYFtDAWySKIJUJI0~/eb35/70fb/c331/4b35-85fb-1f3139eebab0/dfb66133-8efa-444d-b95d-f8b8da997bff_video_12.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '1675974136', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 16:05:58 GMT', 'Last-Modified': 'Mon, 10 Feb 2020 13:25:54 GMT', 'ETag': '""a027602d13f013ad91ac5daf445f83b3-320""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '9b8c5b4f9ad4124f69ecbb4a9ac68eced01b6523', 'x-amz-meta-dv-checksum-md5': 'c8e91cb8d0318f5a90e40c8480d85e3a', 'x-amz-meta-dv-checksum-sha-256': '19eb683eb7bb9976d60e3471ee7437f1ffbf1787944d0c10c78746fd28598d22', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Miss from cloudfront', 'Via': '1.1 0951dac2d215f9d653e97da9e52c7b58.cloudfront.net (CloudFront)', 'X-Server-IP': '54.182.180.11', 'X-Amz-Cf-Pop': 'FRA51-M1', 'X-Amz-Cf-Id': '651Sjtb8TPIieMCUA6i5dHUb7x0dAEaHI1VPFPHtCtNU3aay_C13iQ=='}"
21-06-2023_18:21:43:751879,54.182.220.122,9.857197999998846,"['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '*', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']","['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '*', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']",23,video/mp4,1675974136,keep-alive,"Wed, 21 Jun 2023 16:05:58 GMT","Mon, 10 Feb 2020 13:25:54 GMT","""a027602d13f013ad91ac5daf445f83b3-320""",INTELLIGENT_TIERING, ,9b8c5b4f9ad4124f69ecbb4a9ac68eced01b6523,c8e91cb8d0318f5a90e40c8480d85e3a,19eb683eb7bb9976d60e3471ee7437f1ffbf1787944d0c10c78746fd28598d22,bytes,AmazonS3,54.182.184.3,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '*', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '*', '54.182.184.3']","['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '*', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '*', '54.182.184.3']",24,Hit from cloudfront,1.1 0fa99556fdc487af30483009e80628c6.cloudfront.net (CloudFront),FRA54-M3,fEYMI-DrhEYPu-A_VW-dmNDhgac7zKq2RNNbokT-GJ6khaZzz0rUJw==,945,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$yFJ1pLyXnifHYFtDAWySKIJUJI0~/eb35/70fb/c331/4b35-85fb-1f3139eebab0/dfb66133-8efa-444d-b95d-f8b8da997bff_video_12.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '1675974136', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 16:05:58 GMT', 'Last-Modified': 'Mon, 10 Feb 2020 13:25:54 GMT', 'ETag': '""a027602d13f013ad91ac5daf445f83b3-320""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '9b8c5b4f9ad4124f69ecbb4a9ac68eced01b6523', 'x-amz-meta-dv-checksum-md5': 'c8e91cb8d0318f5a90e40c8480d85e3a', 'x-amz-meta-dv-checksum-sha-256': '19eb683eb7bb9976d60e3471ee7437f1ffbf1787944d0c10c78746fd28598d22', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 0fa99556fdc487af30483009e80628c6.cloudfront.net (CloudFront)', 'X-Server-IP': '54.182.184.3', 'X-Amz-Cf-Pop': 'FRA54-M3', 'X-Amz-Cf-Id': 'fEYMI-DrhEYPu-A_VW-dmNDhgac7zKq2RNNbokT-GJ6khaZzz0rUJw==', 'Age': '945'}"
21-06-2023_18:22:56:411991,54.182.219.121,10.28488299999708,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '*', '130.59.36.246', '130.59.38.201', '*', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '*', '130.59.36.246', '130.59.38.201', '*', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']",23,video/mp4,1675974136,keep-alive,"Wed, 21 Jun 2023 16:05:58 GMT","Mon, 10 Feb 2020 13:25:54 GMT","""a027602d13f013ad91ac5daf445f83b3-320""",INTELLIGENT_TIERING, ,9b8c5b4f9ad4124f69ecbb4a9ac68eced01b6523,c8e91cb8d0318f5a90e40c8480d85e3a,19eb683eb7bb9976d60e3471ee7437f1ffbf1787944d0c10c78746fd28598d22,bytes,AmazonS3,54.182.183.208,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.183.208']","['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.183.208']",23,Hit from cloudfront,1.1 7c6f63fe4c7cfea30d9bb1525595ffde.cloudfront.net (CloudFront),FRA52-M2,ZFn_fB3zRkUkdUEAsoEhUjeVYzpxKvRMoBmHEM-pRk0x4bPXMISUVA==,1018,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$yFJ1pLyXnifHYFtDAWySKIJUJI0~/eb35/70fb/c331/4b35-85fb-1f3139eebab0/dfb66133-8efa-444d-b95d-f8b8da997bff_video_12.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '1675974136', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 16:05:58 GMT', 'Last-Modified': 'Mon, 10 Feb 2020 13:25:54 GMT', 'ETag': '""a027602d13f013ad91ac5daf445f83b3-320""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '9b8c5b4f9ad4124f69ecbb4a9ac68eced01b6523', 'x-amz-meta-dv-checksum-md5': 'c8e91cb8d0318f5a90e40c8480d85e3a', 'x-amz-meta-dv-checksum-sha-256': '19eb683eb7bb9976d60e3471ee7437f1ffbf1787944d0c10c78746fd28598d22', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 7c6f63fe4c7cfea30d9bb1525595ffde.cloudfront.net (CloudFront)', 'X-Server-IP': '54.182.183.208', 'X-Amz-Cf-Pop': 'FRA52-M2', 'X-Amz-Cf-Id': 'ZFn_fB3zRkUkdUEAsoEhUjeVYzpxKvRMoBmHEM-pRk0x4bPXMISUVA==', 'Age': '1018'}"
21-06-2023_19:04:33:964498,54.240.131.114,156.46515499999225,"['*', '*', '10.0.2.6', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.88.224.218', '52.93.47.153', '15.230.28.137', '*', '*', '*', '*', '*', '54.240.131.114']","['*', '*', '10.0.2.6', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.88.224.218', '52.93.47.153', '15.230.28.137', '*', '*', '*', '*', '*', '54.240.131.114']",30,video/mp4,1675974136,keep-alive,"Wed, 21 Jun 2023 17:04:35 GMT","Mon, 10 Feb 2020 13:25:54 GMT","""a027602d13f013ad91ac5daf445f83b3-320""",INTELLIGENT_TIERING, ,9b8c5b4f9ad4124f69ecbb4a9ac68eced01b6523,c8e91cb8d0318f5a90e40c8480d85e3a,19eb683eb7bb9976d60e3471ee7437f1ffbf1787944d0c10c78746fd28598d22,bytes,AmazonS3,54.239.215.79,"['128.178.122.1', '10.0.2.168', '*', '*', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '*', '*', '*', '154.54.44.169', '154.54.31.89', '154.54.42.97', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*']",[],0,Miss from cloudfront,1.1 a522c2854f2fe1ec8ae22d4f31397e4c.cloudfront.net (CloudFront),SFO50-M3,mRK1t4SyU8YPsqZG8XJKgjGqgMteWyXNA1Bge68Kgs1-cT3Qq_UPjw==, ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$yFJ1pLyXnifHYFtDAWySKIJUJI0~/eb35/70fb/c331/4b35-85fb-1f3139eebab0/dfb66133-8efa-444d-b95d-f8b8da997bff_video_12.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '1675974136', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 17:04:35 GMT', 'Last-Modified': 'Mon, 10 Feb 2020 13:25:54 GMT', 'ETag': '""a027602d13f013ad91ac5daf445f83b3-320""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '9b8c5b4f9ad4124f69ecbb4a9ac68eced01b6523', 'x-amz-meta-dv-checksum-md5': 'c8e91cb8d0318f5a90e40c8480d85e3a', 'x-amz-meta-dv-checksum-sha-256': '19eb683eb7bb9976d60e3471ee7437f1ffbf1787944d0c10c78746fd28598d22', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Miss from cloudfront', 'Via': '1.1 a522c2854f2fe1ec8ae22d4f31397e4c.cloudfront.net (CloudFront)', 'X-Server-IP': '54.239.215.79', 'X-Amz-Cf-Pop': 'SFO50-M3', 'X-Amz-Cf-Id': 'mRK1t4SyU8YPsqZG8XJKgjGqgMteWyXNA1Bge68Kgs1-cT3Qq_UPjw=='}"
21-06-2023_19:06:06:190357,54.240.129.122,156.38449700000479,"['128.178.122.1', '*', '*', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '66.28.4.197', '154.54.47.49', '154.54.6.221', '154.54.42.165', '154.54.5.89', '154.54.41.145', '154.54.44.137', '154.54.43.10', '38.88.224.186', '52.93.47.137', '15.230.28.137', '*', '*', '*', '*', '*', '*']",[],0,video/mp4,1675974136,keep-alive,"Wed, 21 Jun 2023 17:04:35 GMT","Mon, 10 Feb 2020 13:25:54 GMT","""a027602d13f013ad91ac5daf445f83b3-320""",INTELLIGENT_TIERING, ,9b8c5b4f9ad4124f69ecbb4a9ac68eced01b6523,c8e91cb8d0318f5a90e40c8480d85e3a,19eb683eb7bb9976d60e3471ee7437f1ffbf1787944d0c10c78746fd28598d22,bytes,AmazonS3,54.239.211.37,"['128.178.122.1', '10.0.2.168', '*', '*', '*', '*', '*', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*']",[],0,Hit from cloudfront,1.1 48a1ec9757382d0c8b12c203f31c3eb8.cloudfront.net (CloudFront),SFO5-M1,IZ9kveawpNHjYq_t7zjR-Y36UzQd0WNYnxxhlQNkm-Y8bsoFrRJo8Q==,92,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$yFJ1pLyXnifHYFtDAWySKIJUJI0~/eb35/70fb/c331/4b35-85fb-1f3139eebab0/dfb66133-8efa-444d-b95d-f8b8da997bff_video_12.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '1675974136', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 17:04:35 GMT', 'Last-Modified': 'Mon, 10 Feb 2020 13:25:54 GMT', 'ETag': '""a027602d13f013ad91ac5daf445f83b3-320""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '9b8c5b4f9ad4124f69ecbb4a9ac68eced01b6523', 'x-amz-meta-dv-checksum-md5': 'c8e91cb8d0318f5a90e40c8480d85e3a', 'x-amz-meta-dv-checksum-sha-256': '19eb683eb7bb9976d60e3471ee7437f1ffbf1787944d0c10c78746fd28598d22', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 48a1ec9757382d0c8b12c203f31c3eb8.cloudfront.net (CloudFront)', 'X-Server-IP': '54.239.211.37', 'X-Amz-Cf-Pop': 'SFO5-M1', 'X-Amz-Cf-Id': 'IZ9kveawpNHjYq_t7zjR-Y36UzQd0WNYnxxhlQNkm-Y8bsoFrRJo8Q==', 'Age': '92'}"
21-06-2023_19:22:49:758137,54.240.130.99,156.2379149999913,"['128.178.122.1', '*', '*', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.142.246.122', '15.230.28.23', '15.230.28.175', '*', '*', '*', '*', '*', '*']",[],0,video/mp4,1675974136,keep-alive,"Wed, 21 Jun 2023 17:04:35 GMT","Mon, 10 Feb 2020 13:25:54 GMT","""a027602d13f013ad91ac5daf445f83b3-320""",INTELLIGENT_TIERING, ,9b8c5b4f9ad4124f69ecbb4a9ac68eced01b6523,c8e91cb8d0318f5a90e40c8480d85e3a,19eb683eb7bb9976d60e3471ee7437f1ffbf1787944d0c10c78746fd28598d22,bytes,AmazonS3,54.239.213.68,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '*', '*', '*', '15.230.28.29', '*', '*', '*', '*', '*', '*', '*']",[],0,Hit from cloudfront,1.1 a38de51e6945e2d07ef92ac0d32d85ea.cloudfront.net (CloudFront),SFO20-M2,pnnT9cNbTFLR79PJpuhNTr4FOsXwlm1U9AxcSzz1s_rCqx3Kf8XVLg==,1096,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$yFJ1pLyXnifHYFtDAWySKIJUJI0~/eb35/70fb/c331/4b35-85fb-1f3139eebab0/dfb66133-8efa-444d-b95d-f8b8da997bff_video_12.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '1675974136', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 17:04:35 GMT', 'Last-Modified': 'Mon, 10 Feb 2020 13:25:54 GMT', 'ETag': '""a027602d13f013ad91ac5daf445f83b3-320""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '9b8c5b4f9ad4124f69ecbb4a9ac68eced01b6523', 'x-amz-meta-dv-checksum-md5': 'c8e91cb8d0318f5a90e40c8480d85e3a', 'x-amz-meta-dv-checksum-sha-256': '19eb683eb7bb9976d60e3471ee7437f1ffbf1787944d0c10c78746fd28598d22', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 a38de51e6945e2d07ef92ac0d32d85ea.cloudfront.net (CloudFront)', 'X-Server-IP': '54.239.213.68', 'X-Amz-Cf-Pop': 'SFO20-M2', 'X-Amz-Cf-Id': 'pnnT9cNbTFLR79PJpuhNTr4FOsXwlm1U9AxcSzz1s_rCqx3Kf8XVLg==', 'Age': '1096'}"
21-06-2023_19:33:44:430938,54.182.215.109,17.386264000002427,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '80.249.210.217', '52.93.112.185', '*', '*', '*', '*', '*', '*', '54.182.215.109']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '80.249.210.217', '52.93.112.185', '*', '*', '*', '*', '*', '*', '54.182.215.109']",19, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$yFJ1pLyXnifHYFtDAWySKIJUJI0~/eb35/70fb/c331/4b35-85fb-1f3139eebab0/dfb66133-8efa-444d-b95d-f8b8da997bff_video_12.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
21-06-2023_19:34:35:893612,54.182.216.113,17.619856999999683,"['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '80.249.210.217', '52.93.112.187', '*', '*', '*', '*', '*', '*', '54.182.216.113']","['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '80.249.210.217', '52.93.112.187', '*', '*', '*', '*', '*', '*', '54.182.216.113']",19, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$yFJ1pLyXnifHYFtDAWySKIJUJI0~/eb35/70fb/c331/4b35-85fb-1f3139eebab0/dfb66133-8efa-444d-b95d-f8b8da997bff_video_12.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
21-06-2023_19:35:27:990248,54.182.217.120,17.456698000017923,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '80.249.210.217', '*', '*', '*', '*', '*', '*', '*', '54.182.217.120']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '80.249.210.217', '*', '*', '*', '*', '*', '*', '*', '54.182.217.120']",19, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$yFJ1pLyXnifHYFtDAWySKIJUJI0~/eb35/70fb/c331/4b35-85fb-1f3139eebab0/dfb66133-8efa-444d-b95d-f8b8da997bff_video_12.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
21-06-2023_19:36:24:005815,54.182.235.102,21.513170000019954,"['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']","['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']",23, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$yFJ1pLyXnifHYFtDAWySKIJUJI0~/eb35/70fb/c331/4b35-85fb-1f3139eebab0/dfb66133-8efa-444d-b95d-f8b8da997bff_video_12.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
