timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
21-06-2023_18:05:48:659254,54.182.218.101,9.957336999995903,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '*', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '*', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']",23,video/mp4,198470729,keep-alive,"Sat, 06 Aug 2022 05:38:06 GMT","Tue, 04 May 2021 15:25:43 GMT","""8a25f575be2e75d7e19b42d166e472dd-38""",INTELLIGENT_TIERING, ,6298bc8f5bb59145c7c1c5ecb929ff587ad4776a,8cbe10011061db1317cbab191cd0959b,0d6dbd6242b64d18e65a3952641a6d625fd8f6b5aaf0d032cc2e62be424c3d0f,bytes,AmazonS3,54.182.181.175,"['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.181.175']","['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.181.175']",23,Hit from cloudfront,1.1 caef69d89f6fc7277585521d95885b1a.cloudfront.net (CloudFront),FRA51-M1,-zQozubQ0zqrOfQ6sfhyMLGQOAq7goCs6frmpMQcxCFC0BL5J3Uwdw==,27599263,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$DMOSeld2VkhfHHfTkObTKiaVnY4~/5f44/4ba6/be49/4187-a7ba-670237fe188d/07ae7bc6-b029-4f86-b01f-b5f0df45d48f_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '198470729', 'Connection': 'keep-alive', 'Date': 'Sat, 06 Aug 2022 05:38:06 GMT', 'Last-Modified': 'Tue, 04 May 2021 15:25:43 GMT', 'ETag': '""8a25f575be2e75d7e19b42d166e472dd-38""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '6298bc8f5bb59145c7c1c5ecb929ff587ad4776a', 'x-amz-meta-dv-checksum-md5': '8cbe10011061db1317cbab191cd0959b', 'x-amz-meta-dv-checksum-sha-256': '0d6dbd6242b64d18e65a3952641a6d625fd8f6b5aaf0d032cc2e62be424c3d0f', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 caef69d89f6fc7277585521d95885b1a.cloudfront.net (CloudFront)', 'X-Server-IP': '54.182.181.175', 'X-Amz-Cf-Pop': 'FRA51-M1', 'X-Amz-Cf-Id': '-zQozubQ0zqrOfQ6sfhyMLGQOAq7goCs6frmpMQcxCFC0BL5J3Uwdw==', 'Age': '27599263'}"
21-06-2023_18:21:36:542580,54.182.220.122,9.832262999999841,"['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '*', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']","['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '*', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']",23,video/mp4,198470729,keep-alive,"Sat, 06 Aug 2022 05:38:06 GMT","Tue, 04 May 2021 15:25:43 GMT","""8a25f575be2e75d7e19b42d166e472dd-38""",INTELLIGENT_TIERING, ,6298bc8f5bb59145c7c1c5ecb929ff587ad4776a,8cbe10011061db1317cbab191cd0959b,0d6dbd6242b64d18e65a3952641a6d625fd8f6b5aaf0d032cc2e62be424c3d0f,bytes,AmazonS3,54.182.185.176,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.185.176']","['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.185.176']",23,Hit from cloudfront,1.1 c9497f151de2babb936d574cac4f534a.cloudfront.net (CloudFront),FRA54-M3,I7j5_5VqY6TAHhxOqNVmIujrNa63ehcewntcWgBkFrqoVEQNkaD-tA==,27600211,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$DMOSeld2VkhfHHfTkObTKiaVnY4~/5f44/4ba6/be49/4187-a7ba-670237fe188d/07ae7bc6-b029-4f86-b01f-b5f0df45d48f_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '198470729', 'Connection': 'keep-alive', 'Date': 'Sat, 06 Aug 2022 05:38:06 GMT', 'Last-Modified': 'Tue, 04 May 2021 15:25:43 GMT', 'ETag': '""8a25f575be2e75d7e19b42d166e472dd-38""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '6298bc8f5bb59145c7c1c5ecb929ff587ad4776a', 'x-amz-meta-dv-checksum-md5': '8cbe10011061db1317cbab191cd0959b', 'x-amz-meta-dv-checksum-sha-256': '0d6dbd6242b64d18e65a3952641a6d625fd8f6b5aaf0d032cc2e62be424c3d0f', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 c9497f151de2babb936d574cac4f534a.cloudfront.net (CloudFront)', 'X-Server-IP': '54.182.185.176', 'X-Amz-Cf-Pop': 'FRA54-M3', 'X-Amz-Cf-Id': 'I7j5_5VqY6TAHhxOqNVmIujrNa63ehcewntcWgBkFrqoVEQNkaD-tA==', 'Age': '27600211'}"
21-06-2023_18:22:47:605074,54.182.219.121,10.467227000006574,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '*', '130.59.36.246', '130.59.38.201', '*', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '*', '130.59.36.246', '130.59.38.201', '*', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']",23,video/mp4,198470729,keep-alive,"Sat, 06 Aug 2022 05:38:06 GMT","Tue, 04 May 2021 15:25:43 GMT","""8a25f575be2e75d7e19b42d166e472dd-38""",INTELLIGENT_TIERING, ,6298bc8f5bb59145c7c1c5ecb929ff587ad4776a,8cbe10011061db1317cbab191cd0959b,0d6dbd6242b64d18e65a3952641a6d625fd8f6b5aaf0d032cc2e62be424c3d0f,bytes,AmazonS3,54.182.183.176,"['*', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.183.176']","['*', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.183.176']",23,Hit from cloudfront,1.1 c2e4ceafcd83e625bd1c45293d5f0c54.cloudfront.net (CloudFront),FRA52-M2,DfK4oilWVHpzKMsR_HROJpU20os2-bYE6SIYTQnriAHPHyBK6v_CYQ==,27600282,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$DMOSeld2VkhfHHfTkObTKiaVnY4~/5f44/4ba6/be49/4187-a7ba-670237fe188d/07ae7bc6-b029-4f86-b01f-b5f0df45d48f_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '198470729', 'Connection': 'keep-alive', 'Date': 'Sat, 06 Aug 2022 05:38:06 GMT', 'Last-Modified': 'Tue, 04 May 2021 15:25:43 GMT', 'ETag': '""8a25f575be2e75d7e19b42d166e472dd-38""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '6298bc8f5bb59145c7c1c5ecb929ff587ad4776a', 'x-amz-meta-dv-checksum-md5': '8cbe10011061db1317cbab191cd0959b', 'x-amz-meta-dv-checksum-sha-256': '0d6dbd6242b64d18e65a3952641a6d625fd8f6b5aaf0d032cc2e62be424c3d0f', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 c2e4ceafcd83e625bd1c45293d5f0c54.cloudfront.net (CloudFront)', 'X-Server-IP': '54.182.183.176', 'X-Amz-Cf-Pop': 'FRA52-M2', 'X-Amz-Cf-Id': 'DfK4oilWVHpzKMsR_HROJpU20os2-bYE6SIYTQnriAHPHyBK6v_CYQ==', 'Age': '27600282'}"
21-06-2023_19:04:23:693135,54.240.131.114,156.99557499999628,"['*', '*', '10.0.2.6', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.88.224.218', '52.93.47.153', '15.230.28.137', '*', '*', '*', '*', '*', '54.240.131.114']","['*', '*', '10.0.2.6', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.88.224.218', '52.93.47.153', '15.230.28.137', '*', '*', '*', '*', '*', '54.240.131.114']",30,video/mp4,198470729,keep-alive,"Wed, 21 Jun 2023 17:04:25 GMT","Tue, 04 May 2021 15:25:43 GMT","""8a25f575be2e75d7e19b42d166e472dd-38""",INTELLIGENT_TIERING, ,6298bc8f5bb59145c7c1c5ecb929ff587ad4776a,8cbe10011061db1317cbab191cd0959b,0d6dbd6242b64d18e65a3952641a6d625fd8f6b5aaf0d032cc2e62be424c3d0f,bytes,AmazonS3,54.239.215.47,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '*', '*', '*', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '*', '*', '*', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*']",[],0,Miss from cloudfront,1.1 a97789db563d73c0797bcdcfed79f9d8.cloudfront.net (CloudFront),SFO50-M3,IXhdoc87HfUJEBPyMI0sT5vPLIeLqbWbpAVj4ycT-xx6uSdEqnfqUg==, ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$DMOSeld2VkhfHHfTkObTKiaVnY4~/5f44/4ba6/be49/4187-a7ba-670237fe188d/07ae7bc6-b029-4f86-b01f-b5f0df45d48f_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '198470729', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 17:04:25 GMT', 'Last-Modified': 'Tue, 04 May 2021 15:25:43 GMT', 'ETag': '""8a25f575be2e75d7e19b42d166e472dd-38""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '6298bc8f5bb59145c7c1c5ecb929ff587ad4776a', 'x-amz-meta-dv-checksum-md5': '8cbe10011061db1317cbab191cd0959b', 'x-amz-meta-dv-checksum-sha-256': '0d6dbd6242b64d18e65a3952641a6d625fd8f6b5aaf0d032cc2e62be424c3d0f', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Miss from cloudfront', 'Via': '1.1 a97789db563d73c0797bcdcfed79f9d8.cloudfront.net (CloudFront)', 'X-Server-IP': '54.239.215.47', 'X-Amz-Cf-Pop': 'SFO50-M3', 'X-Amz-Cf-Id': 'IXhdoc87HfUJEBPyMI0sT5vPLIeLqbWbpAVj4ycT-xx6uSdEqnfqUg=='}"
21-06-2023_19:05:56:090109,54.240.129.122,156.3200949999839,"['128.178.122.1', '*', '*', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '66.28.4.197', '154.54.47.49', '154.54.6.221', '154.54.42.165', '154.54.5.89', '154.54.41.145', '154.54.44.137', '154.54.43.10', '38.88.224.186', '52.93.47.137', '15.230.28.137', '*', '*', '*', '*', '*', '*']",[],0,video/mp4,198470729,keep-alive,"Wed, 21 Jun 2023 17:04:25 GMT","Tue, 04 May 2021 15:25:43 GMT","""8a25f575be2e75d7e19b42d166e472dd-38""",INTELLIGENT_TIERING, ,6298bc8f5bb59145c7c1c5ecb929ff587ad4776a,8cbe10011061db1317cbab191cd0959b,0d6dbd6242b64d18e65a3952641a6d625fd8f6b5aaf0d032cc2e62be424c3d0f,bytes,AmazonS3,54.239.210.197,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '66.28.4.197', '154.54.47.49', '154.54.6.221', '154.54.42.165', '154.54.5.89', '154.54.41.145', '154.54.44.137', '154.54.43.10', '38.142.246.130', '15.230.28.37', '54.240.242.181', '*', '*', '*', '*', '*', '54.239.210.197']","['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '66.28.4.197', '154.54.47.49', '154.54.6.221', '154.54.42.165', '154.54.5.89', '154.54.41.145', '154.54.44.137', '154.54.43.10', '38.142.246.130', '15.230.28.37', '54.240.242.181', '*', '*', '*', '*', '*', '54.239.210.197']",30,Hit from cloudfront,1.1 bae08105dc1ae62b89e73d36ce056e00.cloudfront.net (CloudFront),SFO5-M1,GzJkMx1X3YPUW3ApfuwWu4f2sDYVYpmZ3CuEb2DWODN3IeXu6yzE1A==,92,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$DMOSeld2VkhfHHfTkObTKiaVnY4~/5f44/4ba6/be49/4187-a7ba-670237fe188d/07ae7bc6-b029-4f86-b01f-b5f0df45d48f_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '198470729', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 17:04:25 GMT', 'Last-Modified': 'Tue, 04 May 2021 15:25:43 GMT', 'ETag': '""8a25f575be2e75d7e19b42d166e472dd-38""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '6298bc8f5bb59145c7c1c5ecb929ff587ad4776a', 'x-amz-meta-dv-checksum-md5': '8cbe10011061db1317cbab191cd0959b', 'x-amz-meta-dv-checksum-sha-256': '0d6dbd6242b64d18e65a3952641a6d625fd8f6b5aaf0d032cc2e62be424c3d0f', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 bae08105dc1ae62b89e73d36ce056e00.cloudfront.net (CloudFront)', 'X-Server-IP': '54.239.210.197', 'X-Amz-Cf-Pop': 'SFO5-M1', 'X-Amz-Cf-Id': 'GzJkMx1X3YPUW3ApfuwWu4f2sDYVYpmZ3CuEb2DWODN3IeXu6yzE1A==', 'Age': '92'}"
21-06-2023_19:22:38:658574,54.240.130.99,156.64664499999503,"['128.178.122.1', '*', '*', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.142.246.122', '15.230.28.23', '15.230.28.175', '*', '*', '*', '*', '*', '*']",[],0,video/mp4,198470729,keep-alive,"Wed, 21 Jun 2023 17:04:25 GMT","Tue, 04 May 2021 15:25:43 GMT","""8a25f575be2e75d7e19b42d166e472dd-38""",INTELLIGENT_TIERING, ,6298bc8f5bb59145c7c1c5ecb929ff587ad4776a,8cbe10011061db1317cbab191cd0959b,0d6dbd6242b64d18e65a3952641a6d625fd8f6b5aaf0d032cc2e62be424c3d0f,bytes,AmazonS3,54.239.212.232,"['128.178.122.1', '10.0.2.168', '*', '*', '*', '*', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '*', '4.69.133.234', '*', '*', '154.54.47.49', '154.54.6.221', '154.54.42.165', '*', '154.54.41.145', '154.54.44.137', '154.54.43.10', '38.142.246.122', '*', '*', '*', '*', '*', '*', '*', '*']",[],0,Hit from cloudfront,1.1 02bd8cff38017b0020e50a1cab13e9f4.cloudfront.net (CloudFront),SFO20-M2,l-0CNoD3rRL4c9IuM5QEbtbPnj0QZ4_VON8F8VjHwJK9IRIq0Qq1YQ==,1095,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$DMOSeld2VkhfHHfTkObTKiaVnY4~/5f44/4ba6/be49/4187-a7ba-670237fe188d/07ae7bc6-b029-4f86-b01f-b5f0df45d48f_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '198470729', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 17:04:25 GMT', 'Last-Modified': 'Tue, 04 May 2021 15:25:43 GMT', 'ETag': '""8a25f575be2e75d7e19b42d166e472dd-38""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': '6298bc8f5bb59145c7c1c5ecb929ff587ad4776a', 'x-amz-meta-dv-checksum-md5': '8cbe10011061db1317cbab191cd0959b', 'x-amz-meta-dv-checksum-sha-256': '0d6dbd6242b64d18e65a3952641a6d625fd8f6b5aaf0d032cc2e62be424c3d0f', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 02bd8cff38017b0020e50a1cab13e9f4.cloudfront.net (CloudFront)', 'X-Server-IP': '54.239.212.232', 'X-Amz-Cf-Pop': 'SFO20-M2', 'X-Amz-Cf-Id': 'l-0CNoD3rRL4c9IuM5QEbtbPnj0QZ4_VON8F8VjHwJK9IRIq0Qq1YQ==', 'Age': '1095'}"
21-06-2023_19:33:35:583164,54.182.215.109,17.460857000003216,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '80.249.210.217', '52.93.112.185', '*', '*', '*', '*', '*', '*', '54.182.215.109']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '80.249.210.217', '52.93.112.185', '*', '*', '*', '*', '*', '*', '54.182.215.109']",19, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$DMOSeld2VkhfHHfTkObTKiaVnY4~/5f44/4ba6/be49/4187-a7ba-670237fe188d/07ae7bc6-b029-4f86-b01f-b5f0df45d48f_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
21-06-2023_19:34:27:215902,54.182.216.113,17.749614999999608,"['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '80.249.210.217', '52.93.112.187', '*', '*', '*', '*', '*', '*', '54.182.216.113']","['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '80.249.210.217', '52.93.112.187', '*', '*', '*', '*', '*', '*', '54.182.216.113']",19, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$DMOSeld2VkhfHHfTkObTKiaVnY4~/5f44/4ba6/be49/4187-a7ba-670237fe188d/07ae7bc6-b029-4f86-b01f-b5f0df45d48f_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
21-06-2023_19:35:19:947750,54.182.217.120,17.777606999999307,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '80.249.210.217', '*', '*', '*', '*', '*', '*', '*', '54.182.217.120']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '80.249.210.217', '*', '*', '*', '*', '*', '*', '*', '54.182.217.120']",19, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$DMOSeld2VkhfHHfTkObTKiaVnY4~/5f44/4ba6/be49/4187-a7ba-670237fe188d/07ae7bc6-b029-4f86-b01f-b5f0df45d48f_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
21-06-2023_19:36:14:293639,54.182.235.102,21.012138999992658,"['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']","['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']",23, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$DMOSeld2VkhfHHfTkObTKiaVnY4~/5f44/4ba6/be49/4187-a7ba-670237fe188d/07ae7bc6-b029-4f86-b01f-b5f0df45d48f_video_8.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
