timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
21-06-2023_18:05:59:286920,54.182.218.101,9.919124999996143,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '*', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '*', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']",23,video/mp4,598447766,keep-alive,"Wed, 21 Jun 2023 16:06:00 GMT","Tue, 18 May 2021 21:10:40 GMT","""d7500734577b87263855f5a6ade55121-115""",INTELLIGENT_TIERING, ,a97b1366c0c1490df9e97ce702be24c5f1741916,0272e77544eb9266d324a22a42932620,f9366a44e566524181225c0fa87f60147ed3458ec51e2b5f58a7c9e4613a68f9,bytes,AmazonS3,54.182.181.210,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '*', '54.182.181.210']","['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '*', '54.182.181.210']",24,Miss from cloudfront,1.1 659ac914572e1f6d809f29e11634db8a.cloudfront.net (CloudFront),FRA51-M1,_0MdUliq4iHX8rqJX4TNRA9s6DorgMhs3iZfrTKoX4LKX-7PZI5vug==, ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$ATKzXTOWq4EH6sSG0qdcNGkFBOM~/b317/5d2b/56d4/4adc-8b12-582efc4d3581/367d11a7-6065-4e12-85ec-0d776c887b4b_video_7.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '598447766', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 16:06:00 GMT', 'Last-Modified': 'Tue, 18 May 2021 21:10:40 GMT', 'ETag': '""d7500734577b87263855f5a6ade55121-115""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': 'a97b1366c0c1490df9e97ce702be24c5f1741916', 'x-amz-meta-dv-checksum-md5': '0272e77544eb9266d324a22a42932620', 'x-amz-meta-dv-checksum-sha-256': 'f9366a44e566524181225c0fa87f60147ed3458ec51e2b5f58a7c9e4613a68f9', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Miss from cloudfront', 'Via': '1.1 659ac914572e1f6d809f29e11634db8a.cloudfront.net (CloudFront)', 'X-Server-IP': '54.182.181.210', 'X-Amz-Cf-Pop': 'FRA51-M1', 'X-Amz-Cf-Id': '_0MdUliq4iHX8rqJX4TNRA9s6DorgMhs3iZfrTKoX4LKX-7PZI5vug=='}"
21-06-2023_18:21:45:196236,54.182.220.122,10.049616000003425,"['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '*', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']","['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '*', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']",23,video/mp4,598447766,keep-alive,"Wed, 21 Jun 2023 16:06:00 GMT","Tue, 18 May 2021 21:10:40 GMT","""d7500734577b87263855f5a6ade55121-115""",INTELLIGENT_TIERING, ,a97b1366c0c1490df9e97ce702be24c5f1741916,0272e77544eb9266d324a22a42932620,f9366a44e566524181225c0fa87f60147ed3458ec51e2b5f58a7c9e4613a68f9,bytes,AmazonS3,54.182.184.16,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.184.16']","['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.184.16']",23,Hit from cloudfront,1.1 582381e1816e85812c534a64d760a702.cloudfront.net (CloudFront),FRA54-M3,nS6ZvSbZxYUrtSSdQKOru87I1sFk4mhJWtm9-q5QjKr3TxhCbn6Wsg==,946,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$ATKzXTOWq4EH6sSG0qdcNGkFBOM~/b317/5d2b/56d4/4adc-8b12-582efc4d3581/367d11a7-6065-4e12-85ec-0d776c887b4b_video_7.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '598447766', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 16:06:00 GMT', 'Last-Modified': 'Tue, 18 May 2021 21:10:40 GMT', 'ETag': '""d7500734577b87263855f5a6ade55121-115""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': 'a97b1366c0c1490df9e97ce702be24c5f1741916', 'x-amz-meta-dv-checksum-md5': '0272e77544eb9266d324a22a42932620', 'x-amz-meta-dv-checksum-sha-256': 'f9366a44e566524181225c0fa87f60147ed3458ec51e2b5f58a7c9e4613a68f9', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 582381e1816e85812c534a64d760a702.cloudfront.net (CloudFront)', 'X-Server-IP': '54.182.184.16', 'X-Amz-Cf-Pop': 'FRA54-M3', 'X-Amz-Cf-Id': 'nS6ZvSbZxYUrtSSdQKOru87I1sFk4mhJWtm9-q5QjKr3TxhCbn6Wsg==', 'Age': '946'}"
21-06-2023_18:22:59:249495,54.182.219.121,10.11607800001002,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '*', '130.59.36.246', '130.59.38.201', '*', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '*', '130.59.36.246', '130.59.38.201', '*', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']",23,video/mp4,598447766,keep-alive,"Wed, 21 Jun 2023 16:06:00 GMT","Tue, 18 May 2021 21:10:40 GMT","""d7500734577b87263855f5a6ade55121-115""",INTELLIGENT_TIERING, ,a97b1366c0c1490df9e97ce702be24c5f1741916,0272e77544eb9266d324a22a42932620,f9366a44e566524181225c0fa87f60147ed3458ec51e2b5f58a7c9e4613a68f9,bytes,AmazonS3,54.182.182.12,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '*', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '*', '*', '54.182.182.12']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '*', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '*', '*', '54.182.182.12']",25,Hit from cloudfront,1.1 5a0b18474bd2fb265c16c5a2a34e2fce.cloudfront.net (CloudFront),FRA52-M2,yag9DX-pEeG02EGCagSvGxqZNtxz_3oQKi8gXUkzfTXEL5T7nVIZNQ==,1020,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$ATKzXTOWq4EH6sSG0qdcNGkFBOM~/b317/5d2b/56d4/4adc-8b12-582efc4d3581/367d11a7-6065-4e12-85ec-0d776c887b4b_video_7.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '598447766', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 16:06:00 GMT', 'Last-Modified': 'Tue, 18 May 2021 21:10:40 GMT', 'ETag': '""d7500734577b87263855f5a6ade55121-115""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': 'a97b1366c0c1490df9e97ce702be24c5f1741916', 'x-amz-meta-dv-checksum-md5': '0272e77544eb9266d324a22a42932620', 'x-amz-meta-dv-checksum-sha-256': 'f9366a44e566524181225c0fa87f60147ed3458ec51e2b5f58a7c9e4613a68f9', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 5a0b18474bd2fb265c16c5a2a34e2fce.cloudfront.net (CloudFront)', 'X-Server-IP': '54.182.182.12', 'X-Amz-Cf-Pop': 'FRA52-M2', 'X-Amz-Cf-Id': 'yag9DX-pEeG02EGCagSvGxqZNtxz_3oQKi8gXUkzfTXEL5T7nVIZNQ==', 'Age': '1020'}"
21-06-2023_19:04:34:713097,54.240.131.114,156.78077600000506,"['*', '*', '10.0.2.6', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.88.224.218', '52.93.47.153', '15.230.28.137', '*', '*', '*', '*', '*', '54.240.131.114']","['*', '*', '10.0.2.6', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.88.224.218', '52.93.47.153', '15.230.28.137', '*', '*', '*', '*', '*', '54.240.131.114']",30,video/mp4,598447766,keep-alive,"Wed, 21 Jun 2023 17:04:36 GMT","Tue, 18 May 2021 21:10:40 GMT","""d7500734577b87263855f5a6ade55121-115""",INTELLIGENT_TIERING, ,a97b1366c0c1490df9e97ce702be24c5f1741916,0272e77544eb9266d324a22a42932620,f9366a44e566524181225c0fa87f60147ed3458ec51e2b5f58a7c9e4613a68f9,bytes,AmazonS3,54.239.214.201,"['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.88.224.186', '52.93.47.135', '54.240.242.191', '*', '*', '*', '*', '*', '54.239.214.201']","['128.178.122.1', '10.0.2.168', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.88.224.186', '52.93.47.135', '54.240.242.191', '*', '*', '*', '*', '*', '54.239.214.201']",30,Miss from cloudfront,1.1 a8e96631b5453c21ea7ffa4218b6293a.cloudfront.net (CloudFront),SFO50-M3,HF5XrIqdQsBiH3DQVjHqYfJdnjTGhGa2uf1_P5usfFd59Q27RtoVmA==, ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$ATKzXTOWq4EH6sSG0qdcNGkFBOM~/b317/5d2b/56d4/4adc-8b12-582efc4d3581/367d11a7-6065-4e12-85ec-0d776c887b4b_video_7.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '598447766', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 17:04:36 GMT', 'Last-Modified': 'Tue, 18 May 2021 21:10:40 GMT', 'ETag': '""d7500734577b87263855f5a6ade55121-115""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': 'a97b1366c0c1490df9e97ce702be24c5f1741916', 'x-amz-meta-dv-checksum-md5': '0272e77544eb9266d324a22a42932620', 'x-amz-meta-dv-checksum-sha-256': 'f9366a44e566524181225c0fa87f60147ed3458ec51e2b5f58a7c9e4613a68f9', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Miss from cloudfront', 'Via': '1.1 a8e96631b5453c21ea7ffa4218b6293a.cloudfront.net (CloudFront)', 'X-Server-IP': '54.239.214.201', 'X-Amz-Cf-Pop': 'SFO50-M3', 'X-Amz-Cf-Id': 'HF5XrIqdQsBiH3DQVjHqYfJdnjTGhGa2uf1_P5usfFd59Q27RtoVmA=='}"
21-06-2023_19:06:07:489912,54.240.129.122,155.89536799998882,"['128.178.122.1', '*', '*', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '66.28.4.197', '154.54.47.49', '154.54.6.221', '154.54.42.165', '154.54.5.89', '154.54.41.145', '154.54.44.137', '154.54.43.10', '38.88.224.186', '52.93.47.137', '15.230.28.137', '*', '*', '*', '*', '*', '*']",[],0,video/mp4,598447766,keep-alive,"Wed, 21 Jun 2023 17:04:36 GMT","Tue, 18 May 2021 21:10:40 GMT","""d7500734577b87263855f5a6ade55121-115""",INTELLIGENT_TIERING, ,a97b1366c0c1490df9e97ce702be24c5f1741916,0272e77544eb9266d324a22a42932620,f9366a44e566524181225c0fa87f60147ed3458ec51e2b5f58a7c9e4613a68f9,bytes,AmazonS3,54.239.211.47,"['128.178.122.1', '10.0.2.168', '*', '*', '*', '*', '*', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '66.28.4.197', '154.54.47.49', '154.54.6.221', '154.54.42.165', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*']",[],0,Hit from cloudfront,1.1 b4fd5e7fd7a64e8546cb6b2fbd035906.cloudfront.net (CloudFront),SFO5-M1,NbkSQKl4jhAFlMabLuUZf7vSvdnIEhI9_coZLSSGRzLtXJ2xaeTz6A==,92,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$ATKzXTOWq4EH6sSG0qdcNGkFBOM~/b317/5d2b/56d4/4adc-8b12-582efc4d3581/367d11a7-6065-4e12-85ec-0d776c887b4b_video_7.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '598447766', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 17:04:36 GMT', 'Last-Modified': 'Tue, 18 May 2021 21:10:40 GMT', 'ETag': '""d7500734577b87263855f5a6ade55121-115""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': 'a97b1366c0c1490df9e97ce702be24c5f1741916', 'x-amz-meta-dv-checksum-md5': '0272e77544eb9266d324a22a42932620', 'x-amz-meta-dv-checksum-sha-256': 'f9366a44e566524181225c0fa87f60147ed3458ec51e2b5f58a7c9e4613a68f9', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 b4fd5e7fd7a64e8546cb6b2fbd035906.cloudfront.net (CloudFront)', 'X-Server-IP': '54.239.211.47', 'X-Amz-Cf-Pop': 'SFO5-M1', 'X-Amz-Cf-Id': 'NbkSQKl4jhAFlMabLuUZf7vSvdnIEhI9_coZLSSGRzLtXJ2xaeTz6A==', 'Age': '92'}"
21-06-2023_19:22:50:492778,54.240.130.99,156.35913299999515,"['128.178.122.1', '*', '*', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.142.246.122', '15.230.28.23', '15.230.28.175', '*', '*', '*', '*', '*', '*']",[],0,video/mp4,598447766,keep-alive,"Wed, 21 Jun 2023 17:04:36 GMT","Tue, 18 May 2021 21:10:40 GMT","""d7500734577b87263855f5a6ade55121-115""",INTELLIGENT_TIERING, ,a97b1366c0c1490df9e97ce702be24c5f1741916,0272e77544eb9266d324a22a42932620,f9366a44e566524181225c0fa87f60147ed3458ec51e2b5f58a7c9e4613a68f9,bytes,AmazonS3,54.239.213.74,"['128.178.122.1', '10.0.2.168', '*', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '*', '*', '*', '*', '154.54.47.49', '154.54.6.221', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*']",[],0,Hit from cloudfront,1.1 bac6be46e7a6f6d5cc87efd17f8a2b82.cloudfront.net (CloudFront),SFO20-M2,E2DjjGN59o4SNfnfUoykxD6sYbwaKVpdiM--UHFvFnKnbb5U8DQRAw==,1096,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$ATKzXTOWq4EH6sSG0qdcNGkFBOM~/b317/5d2b/56d4/4adc-8b12-582efc4d3581/367d11a7-6065-4e12-85ec-0d776c887b4b_video_7.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,"{'Content-Type': 'video/mp4', 'Content-Length': '598447766', 'Connection': 'keep-alive', 'Date': 'Wed, 21 Jun 2023 17:04:36 GMT', 'Last-Modified': 'Tue, 18 May 2021 21:10:40 GMT', 'ETag': '""d7500734577b87263855f5a6ade55121-115""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': 'a97b1366c0c1490df9e97ce702be24c5f1741916', 'x-amz-meta-dv-checksum-md5': '0272e77544eb9266d324a22a42932620', 'x-amz-meta-dv-checksum-sha-256': 'f9366a44e566524181225c0fa87f60147ed3458ec51e2b5f58a7c9e4613a68f9', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 bac6be46e7a6f6d5cc87efd17f8a2b82.cloudfront.net (CloudFront)', 'X-Server-IP': '54.239.213.74', 'X-Amz-Cf-Pop': 'SFO20-M2', 'X-Amz-Cf-Id': 'E2DjjGN59o4SNfnfUoykxD6sYbwaKVpdiM--UHFvFnKnbb5U8DQRAw==', 'Age': '1096'}"
21-06-2023_19:33:45:553657,54.182.215.109,17.532638000005818,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '80.249.210.217', '52.93.112.185', '*', '*', '*', '*', '*', '*', '54.182.215.109']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '80.249.210.217', '52.93.112.185', '*', '*', '*', '*', '*', '*', '54.182.215.109']",19, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$ATKzXTOWq4EH6sSG0qdcNGkFBOM~/b317/5d2b/56d4/4adc-8b12-582efc4d3581/367d11a7-6065-4e12-85ec-0d776c887b4b_video_7.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,{'X-Cache': 'SOCKET FAILED'}
21-06-2023_19:34:37:212412,54.182.216.113,17.64350899999556,"['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '80.249.210.217', '52.93.112.187', '*', '*', '*', '*', '*', '*', '54.182.216.113']","['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '80.249.210.217', '52.93.112.187', '*', '*', '*', '*', '*', '*', '54.182.216.113']",19, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$ATKzXTOWq4EH6sSG0qdcNGkFBOM~/b317/5d2b/56d4/4adc-8b12-582efc4d3581/367d11a7-6065-4e12-85ec-0d776c887b4b_video_7.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,{'X-Cache': 'SOCKET FAILED'}
21-06-2023_19:35:29:625681,54.182.217.120,18.09887899997875,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '80.249.210.217', '*', '*', '*', '*', '*', '*', '*', '54.182.217.120']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '80.249.210.217', '*', '*', '*', '*', '*', '*', '*', '54.182.217.120']",19, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$ATKzXTOWq4EH6sSG0qdcNGkFBOM~/b317/5d2b/56d4/4adc-8b12-582efc4d3581/367d11a7-6065-4e12-85ec-0d776c887b4b_video_7.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,{'X-Cache': 'SOCKET FAILED'}
21-06-2023_19:36:24:418314,54.182.235.102,21.618375000002743,"['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']","['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']",23, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://s3-dub-2.cf.dash.row.aiv-cdn.net/dm/2$ATKzXTOWq4EH6sSG0qdcNGkFBOM~/b317/5d2b/56d4/4adc-8b12-582efc4d3581/367d11a7-6065-4e12-85ec-0d776c887b4b_video_7.mp4?amznDtid=AOAGZA014O5RE,my content hosted on CloudFront,{'X-Cache': 'SOCKET FAILED'}
