timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
21-06-2023_18:05:39:139362,54.182.218.101,9.929939000002719,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '*', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '*', '130.59.38.201', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']",23,text/html,915,keep-alive,"Wed, 21 Jun 2023 16:05:39 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 e3866c2aa485065bd600096b612ae78a.cloudfront.net (CloudFront),FRA51-M1,NfoadiXhdUqCKvHiXyV6bVBy0-No1Fob7mZMn-HJIvgcAP01LkYPcQ==, ,https://a156avoddashs3ww-a.akamaihd.net/d/2$eSjucdSHk95qLuwiZH0u4ecBU1o~/ondemand/ww_dub/4217/12aa/4baa/4312-abaa-12abd4ff6712/4823cada-4a82-42e4-9fe1-a51b01f7f35e_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Wed, 21 Jun 2023 16:05:39 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 e3866c2aa485065bd600096b612ae78a.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA51-M1', 'X-Amz-Cf-Id': 'NfoadiXhdUqCKvHiXyV6bVBy0-No1Fob7mZMn-HJIvgcAP01LkYPcQ=='}"
21-06-2023_18:21:27:999096,54.182.220.122,10.163288999997633,"['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '*', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']","['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '130.59.37.145', '130.59.36.246', '*', '130.59.39.78', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']",23,text/html,915,keep-alive,"Wed, 21 Jun 2023 16:21:28 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 add31fbae51b03a683cd25b729970302.cloudfront.net (CloudFront),FRA54-M3,u7nau2_aocfzLlJxj_ZG3gB-MywnaRANA-k5_TPYIzyxp6y7g4xKtA==, ,https://a156avoddashs3ww-a.akamaihd.net/d/2$eSjucdSHk95qLuwiZH0u4ecBU1o~/ondemand/ww_dub/4217/12aa/4baa/4312-abaa-12abd4ff6712/4823cada-4a82-42e4-9fe1-a51b01f7f35e_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Wed, 21 Jun 2023 16:21:28 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 add31fbae51b03a683cd25b729970302.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA54-M3', 'X-Amz-Cf-Id': 'u7nau2_aocfzLlJxj_ZG3gB-MywnaRANA-k5_TPYIzyxp6y7g4xKtA=='}"
21-06-2023_18:22:38:216909,54.182.219.121,10.841397999996616,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '*', '130.59.36.246', '130.59.38.201', '*', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.38.54', '*', '130.59.36.246', '130.59.38.201', '*', '130.59.39.73', '80.81.194.152', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']",23,text/html,915,keep-alive,"Wed, 21 Jun 2023 16:22:38 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 aa22aecc29f96a5a0cf008cc302b57e8.cloudfront.net (CloudFront),FRA52-M2,2eUrbBen7IRb3-yKGksu9fgPZFVwjrVX-NdbS5hKpAEtIMwJ0YqYjw==, ,https://a156avoddashs3ww-a.akamaihd.net/d/2$eSjucdSHk95qLuwiZH0u4ecBU1o~/ondemand/ww_dub/4217/12aa/4baa/4312-abaa-12abd4ff6712/4823cada-4a82-42e4-9fe1-a51b01f7f35e_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Wed, 21 Jun 2023 16:22:38 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 aa22aecc29f96a5a0cf008cc302b57e8.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA52-M2', 'X-Amz-Cf-Id': '2eUrbBen7IRb3-yKGksu9fgPZFVwjrVX-NdbS5hKpAEtIMwJ0YqYjw=='}"
21-06-2023_19:04:14:977911,54.240.131.114,156.19979299999898,"['*', '*', '10.0.2.6', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.88.224.218', '52.93.47.153', '15.230.28.137', '*', '*', '*', '*', '*', '54.240.131.114']","['*', '*', '10.0.2.6', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.88.224.218', '52.93.47.153', '15.230.28.137', '*', '*', '*', '*', '*', '54.240.131.114']",30,text/html,915,keep-alive,"Wed, 21 Jun 2023 17:04:15 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 9fc37c88b46bbe798d446591ba3684f4.cloudfront.net (CloudFront),SFO50-M3,Z30fYn5xMd7qQVxcUa1MC4amlcgUDNfzq_rAvd7zk-w5XCcpzX2HWA==, ,https://a156avoddashs3ww-a.akamaihd.net/d/2$eSjucdSHk95qLuwiZH0u4ecBU1o~/ondemand/ww_dub/4217/12aa/4baa/4312-abaa-12abd4ff6712/4823cada-4a82-42e4-9fe1-a51b01f7f35e_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Wed, 21 Jun 2023 17:04:15 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 9fc37c88b46bbe798d446591ba3684f4.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO50-M3', 'X-Amz-Cf-Id': 'Z30fYn5xMd7qQVxcUa1MC4amlcgUDNfzq_rAvd7zk-w5XCcpzX2HWA=='}"
21-06-2023_19:05:47:548557,54.240.129.122,156.35544299999538,"['128.178.122.1', '*', '*', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '66.28.4.197', '154.54.47.49', '154.54.6.221', '154.54.42.165', '154.54.5.89', '154.54.41.145', '154.54.44.137', '154.54.43.10', '38.88.224.186', '52.93.47.137', '15.230.28.137', '*', '*', '*', '*', '*', '*']",[],0,text/html,915,keep-alive,"Wed, 21 Jun 2023 17:05:47 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 272bbdb9d3978d55528e9653228acb98.cloudfront.net (CloudFront),SFO5-M1,6ds0U_FRy8YOJcJIdzylBDLdtLY6Zxx4N4s6IoIATPyr9zFXGx1qYw==, ,https://a156avoddashs3ww-a.akamaihd.net/d/2$eSjucdSHk95qLuwiZH0u4ecBU1o~/ondemand/ww_dub/4217/12aa/4baa/4312-abaa-12abd4ff6712/4823cada-4a82-42e4-9fe1-a51b01f7f35e_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Wed, 21 Jun 2023 17:05:47 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 272bbdb9d3978d55528e9653228acb98.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO5-M1', 'X-Amz-Cf-Id': '6ds0U_FRy8YOJcJIdzylBDLdtLY6Zxx4N4s6IoIATPyr9zFXGx1qYw=='}"
21-06-2023_19:22:30:314973,54.240.130.99,156.92616500000156,"['128.178.122.1', '*', '*', '*', '*', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '213.242.73.73', '4.69.133.234', '*', '154.54.27.169', '154.54.82.245', '154.54.7.129', '154.54.44.169', '154.54.31.89', '154.54.42.97', '154.54.44.141', '154.54.43.14', '38.142.246.122', '15.230.28.23', '15.230.28.175', '*', '*', '*', '*', '*', '*']",[],0,text/html,915,keep-alive,"Wed, 21 Jun 2023 17:22:30 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 c8279dac9db707cad73b509e1310401a.cloudfront.net (CloudFront),SFO20-M2,3hk-eEYWJDNzKC8IHhMa7xooDxFjk6PsMIjB658j3MdipyDMbO15Tg==, ,https://a156avoddashs3ww-a.akamaihd.net/d/2$eSjucdSHk95qLuwiZH0u4ecBU1o~/ondemand/ww_dub/4217/12aa/4baa/4312-abaa-12abd4ff6712/4823cada-4a82-42e4-9fe1-a51b01f7f35e_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Wed, 21 Jun 2023 17:22:30 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 c8279dac9db707cad73b509e1310401a.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO20-M2', 'X-Amz-Cf-Id': '3hk-eEYWJDNzKC8IHhMa7xooDxFjk6PsMIjB658j3MdipyDMbO15Tg=='}"
21-06-2023_19:33:29:060776,54.182.215.109,17.571396000001016,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '80.249.210.217', '52.93.112.185', '*', '*', '*', '*', '*', '*', '54.182.215.109']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '130.59.38.193', '80.249.210.217', '52.93.112.185', '*', '*', '*', '*', '*', '*', '54.182.215.109']",19, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://a156avoddashs3ww-a.akamaihd.net/d/2$eSjucdSHk95qLuwiZH0u4ecBU1o~/ondemand/ww_dub/4217/12aa/4baa/4312-abaa-12abd4ff6712/4823cada-4a82-42e4-9fe1-a51b01f7f35e_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
21-06-2023_19:34:20:529895,54.182.216.113,17.471581999998875,"['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '80.249.210.217', '52.93.112.187', '*', '*', '*', '*', '*', '*', '54.182.216.113']","['128.178.122.1', '10.0.2.168', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '192.33.209.17', '130.59.36.82', '*', '80.249.210.217', '52.93.112.187', '*', '*', '*', '*', '*', '*', '54.182.216.113']",19, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://a156avoddashs3ww-a.akamaihd.net/d/2$eSjucdSHk95qLuwiZH0u4ecBU1o~/ondemand/ww_dub/4217/12aa/4baa/4312-abaa-12abd4ff6712/4823cada-4a82-42e4-9fe1-a51b01f7f35e_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
21-06-2023_19:35:12:593445,54.182.217.120,17.61255799999617,"['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '80.249.210.217', '*', '*', '*', '*', '*', '*', '*', '54.182.217.120']","['128.178.122.1', '*', '10.0.2.6', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '80.249.210.217', '*', '*', '*', '*', '*', '*', '*', '54.182.217.120']",19, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://a156avoddashs3ww-a.akamaihd.net/d/2$eSjucdSHk95qLuwiZH0u4ecBU1o~/ondemand/ww_dub/4217/12aa/4baa/4312-abaa-12abd4ff6712/4823cada-4a82-42e4-9fe1-a51b01f7f35e_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
21-06-2023_19:36:08:610441,54.182.235.102,21.329692999984218,"['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']","['128.178.122.1', '*', '*', '10.0.2.181', '10.0.2.127', '10.0.2.178', '10.0.2.133', '*', '130.59.36.82', '130.59.38.193', '83.97.88.153', '62.40.98.239', '62.40.98.106', '62.40.98.64', '195.66.225.175', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']",23, , , , , , , , , , , , , , ,[],[],0,SOCKET FAILED, , , , ,https://a156avoddashs3ww-a.akamaihd.net/d/2$eSjucdSHk95qLuwiZH0u4ecBU1o~/ondemand/ww_dub/4217/12aa/4baa/4312-abaa-12abd4ff6712/4823cada-4a82-42e4-9fe1-a51b01f7f35e_video_7.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,{'X-Cache': 'SOCKET FAILED'}
