timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
24-06-2023_13:26:25:599202,54.182.218.101,14.697617036290467,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.162', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.162', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']",20,video/mp4,284157115,keep-alive,"Sat, 24 Jun 2023 11:26:26 GMT","Sat, 08 Aug 2020 13:29:16 GMT","""5c0184c120bcbdc4ca0304f61bf093ed-55""",INTELLIGENT_TIERING, ,f0405ab52ae33ce99294b67b03686674ff1360f4,a40f5d1b0f5087e8fde6e552dbdfea57,8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e,bytes,AmazonS3, ,[],[],0,Miss from cloudfront,1.1 9f5ba1216f7122e3a05f08acb090d3be.cloudfront.net (CloudFront),FRA51-M1,VSG0L16WHk0D9UZ-5dE8BYmaD5B9sfBLGsqxffTWYspS_l_AdvEUgw==, ,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$0b282KmJRaWU-ig1pBLOvM3IVuA~/8982/91e6/ff5e/4a84-964d-4d3908a3c34c/0e575f82-3aaa-4722-afa9-675fd1e3f98c_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '284157115', 'Connection': 'keep-alive', 'Date': 'Sat, 24 Jun 2023 11:26:26 GMT', 'Last-Modified': 'Sat, 08 Aug 2020 13:29:16 GMT', 'ETag': '""5c0184c120bcbdc4ca0304f61bf093ed-55""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': 'f0405ab52ae33ce99294b67b03686674ff1360f4', 'x-amz-meta-dv-checksum-md5': 'a40f5d1b0f5087e8fde6e552dbdfea57', 'x-amz-meta-dv-checksum-sha-256': '8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Miss from cloudfront', 'Via': '1.1 9f5ba1216f7122e3a05f08acb090d3be.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA51-M1', 'X-Amz-Cf-Id': 'VSG0L16WHk0D9UZ-5dE8BYmaD5B9sfBLGsqxffTWYspS_l_AdvEUgw=='}"
24-06-2023_13:27:44:748076,54.182.220.122,14.267359976656735,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']",20,video/mp4,284157115,keep-alive,"Sat, 24 Jun 2023 11:26:26 GMT","Sat, 08 Aug 2020 13:29:16 GMT","""5c0184c120bcbdc4ca0304f61bf093ed-55""",INTELLIGENT_TIERING, ,f0405ab52ae33ce99294b67b03686674ff1360f4,a40f5d1b0f5087e8fde6e552dbdfea57,8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 0fa99556fdc487af30483009e80628c6.cloudfront.net (CloudFront),FRA54-M3,vgRsCNhhbRyw9AWU_LSkIo1e8thPM77_sglrWTnAZWl6i7tVPYkDwg==,79,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$0b282KmJRaWU-ig1pBLOvM3IVuA~/8982/91e6/ff5e/4a84-964d-4d3908a3c34c/0e575f82-3aaa-4722-afa9-675fd1e3f98c_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '284157115', 'Connection': 'keep-alive', 'Date': 'Sat, 24 Jun 2023 11:26:26 GMT', 'Last-Modified': 'Sat, 08 Aug 2020 13:29:16 GMT', 'ETag': '""5c0184c120bcbdc4ca0304f61bf093ed-55""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': 'f0405ab52ae33ce99294b67b03686674ff1360f4', 'x-amz-meta-dv-checksum-md5': 'a40f5d1b0f5087e8fde6e552dbdfea57', 'x-amz-meta-dv-checksum-sha-256': '8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 0fa99556fdc487af30483009e80628c6.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA54-M3', 'X-Amz-Cf-Id': 'vgRsCNhhbRyw9AWU_LSkIo1e8thPM77_sglrWTnAZWl6i7tVPYkDwg==', 'Age': '79'}"
24-06-2023_13:29:02:339343,54.182.219.121,14.383742935024202,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']",20,video/mp4,284157115,keep-alive,"Sat, 24 Jun 2023 11:26:26 GMT","Sat, 08 Aug 2020 13:29:16 GMT","""5c0184c120bcbdc4ca0304f61bf093ed-55""",INTELLIGENT_TIERING, ,f0405ab52ae33ce99294b67b03686674ff1360f4,a40f5d1b0f5087e8fde6e552dbdfea57,8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 2ce952788efb529af9ee614be45b5010.cloudfront.net (CloudFront),FRA52-M2,70qtyiEfbv64nxjr9fGitVPvwQQR49837cxMtAlE7ABwPLHiiu-hcA==,157,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$0b282KmJRaWU-ig1pBLOvM3IVuA~/8982/91e6/ff5e/4a84-964d-4d3908a3c34c/0e575f82-3aaa-4722-afa9-675fd1e3f98c_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '284157115', 'Connection': 'keep-alive', 'Date': 'Sat, 24 Jun 2023 11:26:26 GMT', 'Last-Modified': 'Sat, 08 Aug 2020 13:29:16 GMT', 'ETag': '""5c0184c120bcbdc4ca0304f61bf093ed-55""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': 'f0405ab52ae33ce99294b67b03686674ff1360f4', 'x-amz-meta-dv-checksum-md5': 'a40f5d1b0f5087e8fde6e552dbdfea57', 'x-amz-meta-dv-checksum-sha-256': '8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 2ce952788efb529af9ee614be45b5010.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA52-M2', 'X-Amz-Cf-Id': '70qtyiEfbv64nxjr9fGitVPvwQQR49837cxMtAlE7ABwPLHiiu-hcA==', 'Age': '157'}"
24-06-2023_13:30:32:491303,54.240.131.114,159.70189194194973,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.130', '15.230.28.25', '15.230.28.129', '*', '*', '*', '*', '*', '54.240.131.114']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.130', '15.230.28.25', '15.230.28.129', '*', '*', '*', '*', '*', '54.240.131.114']",26,video/mp4,284157115,keep-alive,"Sat, 24 Jun 2023 11:30:33 GMT","Sat, 08 Aug 2020 13:29:16 GMT","""5c0184c120bcbdc4ca0304f61bf093ed-55""",INTELLIGENT_TIERING, ,f0405ab52ae33ce99294b67b03686674ff1360f4,a40f5d1b0f5087e8fde6e552dbdfea57,8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e,bytes,AmazonS3, ,[],[],0,Miss from cloudfront,1.1 c5a126772bf46e7df047b7dfea8cc2c0.cloudfront.net (CloudFront),SFO50-M3,FKZmrODP0u64XWU6HP5voBbWgpR_uHncnJnMjGBjVD2AifZg9qy0zg==, ,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$0b282KmJRaWU-ig1pBLOvM3IVuA~/8982/91e6/ff5e/4a84-964d-4d3908a3c34c/0e575f82-3aaa-4722-afa9-675fd1e3f98c_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '284157115', 'Connection': 'keep-alive', 'Date': 'Sat, 24 Jun 2023 11:30:33 GMT', 'Last-Modified': 'Sat, 08 Aug 2020 13:29:16 GMT', 'ETag': '""5c0184c120bcbdc4ca0304f61bf093ed-55""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': 'f0405ab52ae33ce99294b67b03686674ff1360f4', 'x-amz-meta-dv-checksum-md5': 'a40f5d1b0f5087e8fde6e552dbdfea57', 'x-amz-meta-dv-checksum-sha-256': '8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Miss from cloudfront', 'Via': '1.1 c5a126772bf46e7df047b7dfea8cc2c0.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO50-M3', 'X-Amz-Cf-Id': 'FKZmrODP0u64XWU6HP5voBbWgpR_uHncnJnMjGBjVD2AifZg9qy0zg=='}"
24-06-2023_13:32:34:051064,54.240.129.122,162.7653940813616,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.122', '15.230.28.21', '15.230.28.141', '*', '*', '*', '*', '*', '54.240.129.122']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.122', '15.230.28.21', '15.230.28.141', '*', '*', '*', '*', '*', '54.240.129.122']",26,video/mp4,284157115,keep-alive,"Sat, 24 Jun 2023 11:30:33 GMT","Sat, 08 Aug 2020 13:29:16 GMT","""5c0184c120bcbdc4ca0304f61bf093ed-55""",INTELLIGENT_TIERING, ,f0405ab52ae33ce99294b67b03686674ff1360f4,a40f5d1b0f5087e8fde6e552dbdfea57,8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 06d1cb62c4aab4b0e9862fe5cc24c97e.cloudfront.net (CloudFront),SFO5-M1,7R0jGUi5OycNzEd3lIGUJOFk20p24kJOJXXFelT4VvD9i4eJvwz6cg==,121,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$0b282KmJRaWU-ig1pBLOvM3IVuA~/8982/91e6/ff5e/4a84-964d-4d3908a3c34c/0e575f82-3aaa-4722-afa9-675fd1e3f98c_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '284157115', 'Connection': 'keep-alive', 'Date': 'Sat, 24 Jun 2023 11:30:33 GMT', 'Last-Modified': 'Sat, 08 Aug 2020 13:29:16 GMT', 'ETag': '""5c0184c120bcbdc4ca0304f61bf093ed-55""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': 'f0405ab52ae33ce99294b67b03686674ff1360f4', 'x-amz-meta-dv-checksum-md5': 'a40f5d1b0f5087e8fde6e552dbdfea57', 'x-amz-meta-dv-checksum-sha-256': '8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 06d1cb62c4aab4b0e9862fe5cc24c97e.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO5-M1', 'X-Amz-Cf-Id': '7R0jGUi5OycNzEd3lIGUJOFk20p24kJOJXXFelT4VvD9i4eJvwz6cg==', 'Age': '121'}"
24-06-2023_13:34:35:156188,54.240.130.99,159.69767200294882,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.88.224.218', '52.93.47.155', '15.230.28.155', '*', '*', '*', '*', '*', '54.240.130.99']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.88.224.218', '52.93.47.155', '15.230.28.155', '*', '*', '*', '*', '*', '54.240.130.99']",26,video/mp4,284157115,keep-alive,"Sat, 24 Jun 2023 11:30:33 GMT","Sat, 08 Aug 2020 13:29:16 GMT","""5c0184c120bcbdc4ca0304f61bf093ed-55""",INTELLIGENT_TIERING, ,f0405ab52ae33ce99294b67b03686674ff1360f4,a40f5d1b0f5087e8fde6e552dbdfea57,8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 d3a72a62b8ac701d86cf9b5f6f750c18.cloudfront.net (CloudFront),SFO20-M2,4sj_Ysfai8DQ6yVylYNJFOJFTN4pOtGR-giSCSAtsO8i9Bxu6VSpIQ==,242,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$0b282KmJRaWU-ig1pBLOvM3IVuA~/8982/91e6/ff5e/4a84-964d-4d3908a3c34c/0e575f82-3aaa-4722-afa9-675fd1e3f98c_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '284157115', 'Connection': 'keep-alive', 'Date': 'Sat, 24 Jun 2023 11:30:33 GMT', 'Last-Modified': 'Sat, 08 Aug 2020 13:29:16 GMT', 'ETag': '""5c0184c120bcbdc4ca0304f61bf093ed-55""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': 'f0405ab52ae33ce99294b67b03686674ff1360f4', 'x-amz-meta-dv-checksum-md5': 'a40f5d1b0f5087e8fde6e552dbdfea57', 'x-amz-meta-dv-checksum-sha-256': '8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 d3a72a62b8ac701d86cf9b5f6f750c18.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO20-M2', 'X-Amz-Cf-Id': '4sj_Ysfai8DQ6yVylYNJFOJFTN4pOtGR-giSCSAtsO8i9Bxu6VSpIQ==', 'Age': '242'}"
24-06-2023_13:36:09:342175,54.182.215.109,25.81724408082664,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.126', '130.117.0.18', '154.54.36.53', '130.117.0.121', '149.14.82.82', '54.239.114.82', '*', '*', '*', '*', '*', '*', '54.182.215.109']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.126', '130.117.0.18', '154.54.36.53', '130.117.0.121', '149.14.82.82', '54.239.114.82', '*', '*', '*', '*', '*', '*', '54.182.215.109']",21,video/mp4,284157115,keep-alive,"Sat, 24 Jun 2023 11:36:10 GMT","Sat, 08 Aug 2020 13:29:16 GMT","""5c0184c120bcbdc4ca0304f61bf093ed-55""",INTELLIGENT_TIERING, ,f0405ab52ae33ce99294b67b03686674ff1360f4,a40f5d1b0f5087e8fde6e552dbdfea57,8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e,bytes,AmazonS3, ,[],[],0,Miss from cloudfront,1.1 5f348daf7dfc644d18d472d442d5942a.cloudfront.net (CloudFront),AMS51-M1,83dP_l5kOY64Cxpns3-AgUvfm4DaLX25wYfgpl9nNUWPX49hJnR1ug==, ,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$0b282KmJRaWU-ig1pBLOvM3IVuA~/8982/91e6/ff5e/4a84-964d-4d3908a3c34c/0e575f82-3aaa-4722-afa9-675fd1e3f98c_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '284157115', 'Connection': 'keep-alive', 'Date': 'Sat, 24 Jun 2023 11:36:10 GMT', 'Last-Modified': 'Sat, 08 Aug 2020 13:29:16 GMT', 'ETag': '""5c0184c120bcbdc4ca0304f61bf093ed-55""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': 'f0405ab52ae33ce99294b67b03686674ff1360f4', 'x-amz-meta-dv-checksum-md5': 'a40f5d1b0f5087e8fde6e552dbdfea57', 'x-amz-meta-dv-checksum-sha-256': '8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Miss from cloudfront', 'Via': '1.1 5f348daf7dfc644d18d472d442d5942a.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'AMS51-M1', 'X-Amz-Cf-Id': '83dP_l5kOY64Cxpns3-AgUvfm4DaLX25wYfgpl9nNUWPX49hJnR1ug=='}"
24-06-2023_13:37:23:596892,54.182.216.113,23.57437100727111,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.8', '*', '*', '*', '*', '*', '*', '54.182.216.113']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.8', '*', '*', '*', '*', '*', '*', '54.182.216.113']",21,video/mp4,284157115,keep-alive,"Sat, 24 Jun 2023 11:36:10 GMT","Sat, 08 Aug 2020 13:29:16 GMT","""5c0184c120bcbdc4ca0304f61bf093ed-55""",INTELLIGENT_TIERING, ,f0405ab52ae33ce99294b67b03686674ff1360f4,a40f5d1b0f5087e8fde6e552dbdfea57,8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 f7811af762ed14709ac47180ab982576.cloudfront.net (CloudFront),AMS52-M2,454w6FuWy0fJfTOGpdjOooFmzGTKtoQo_-4J5AALa0NHyrTkoRNn6Q==,74,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$0b282KmJRaWU-ig1pBLOvM3IVuA~/8982/91e6/ff5e/4a84-964d-4d3908a3c34c/0e575f82-3aaa-4722-afa9-675fd1e3f98c_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '284157115', 'Connection': 'keep-alive', 'Date': 'Sat, 24 Jun 2023 11:36:10 GMT', 'Last-Modified': 'Sat, 08 Aug 2020 13:29:16 GMT', 'ETag': '""5c0184c120bcbdc4ca0304f61bf093ed-55""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': 'f0405ab52ae33ce99294b67b03686674ff1360f4', 'x-amz-meta-dv-checksum-md5': 'a40f5d1b0f5087e8fde6e552dbdfea57', 'x-amz-meta-dv-checksum-sha-256': '8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 f7811af762ed14709ac47180ab982576.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'AMS52-M2', 'X-Amz-Cf-Id': '454w6FuWy0fJfTOGpdjOooFmzGTKtoQo_-4J5AALa0NHyrTkoRNn6Q==', 'Age': '74'}"
24-06-2023_13:38:38:041356,54.182.217.120,25.407909997738898,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.6', '*', '*', '*', '*', '*', '*', '54.182.217.120']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.6', '*', '*', '*', '*', '*', '*', '54.182.217.120']",21,video/mp4,284157115,keep-alive,"Sat, 24 Jun 2023 11:36:10 GMT","Sat, 08 Aug 2020 13:29:16 GMT","""5c0184c120bcbdc4ca0304f61bf093ed-55""",INTELLIGENT_TIERING, ,f0405ab52ae33ce99294b67b03686674ff1360f4,a40f5d1b0f5087e8fde6e552dbdfea57,8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 6d7cc5a777fbb65ef6b7863b0eb414da.cloudfront.net (CloudFront),AMS53-M3,_7G4cpAVMLG6RTo2MHtMNusb2TdD960cpDpfu1_bhW9Df90dmYEf0g==,149,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$0b282KmJRaWU-ig1pBLOvM3IVuA~/8982/91e6/ff5e/4a84-964d-4d3908a3c34c/0e575f82-3aaa-4722-afa9-675fd1e3f98c_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '284157115', 'Connection': 'keep-alive', 'Date': 'Sat, 24 Jun 2023 11:36:10 GMT', 'Last-Modified': 'Sat, 08 Aug 2020 13:29:16 GMT', 'ETag': '""5c0184c120bcbdc4ca0304f61bf093ed-55""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': 'f0405ab52ae33ce99294b67b03686674ff1360f4', 'x-amz-meta-dv-checksum-md5': 'a40f5d1b0f5087e8fde6e552dbdfea57', 'x-amz-meta-dv-checksum-sha-256': '8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 6d7cc5a777fbb65ef6b7863b0eb414da.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'AMS53-M3', 'X-Amz-Cf-Id': '_7G4cpAVMLG6RTo2MHtMNusb2TdD960cpDpfu1_bhW9Df90dmYEf0g==', 'Age': '149'}"
24-06-2023_13:39:58:294771,54.182.235.102,20.21326799876988,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.36.165', '154.54.60.170', '149.14.196.218', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.36.165', '154.54.60.170', '149.14.196.218', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']",19,video/mp4,284157115,keep-alive,"Sat, 24 Jun 2023 11:39:59 GMT","Sat, 08 Aug 2020 13:29:16 GMT","""5c0184c120bcbdc4ca0304f61bf093ed-55""",INTELLIGENT_TIERING, ,f0405ab52ae33ce99294b67b03686674ff1360f4,a40f5d1b0f5087e8fde6e552dbdfea57,8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e,bytes,AmazonS3, ,[],[],0,Miss from cloudfront,1.1 0d06af1babc49336360d0a742ab9817a.cloudfront.net (CloudFront),LHR50-M1,PTZWU9b-SR_rcqmh1xxlCiM_Ugkc5LIdM0zH5T905LMUNpGjXYDneQ==, ,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$0b282KmJRaWU-ig1pBLOvM3IVuA~/8982/91e6/ff5e/4a84-964d-4d3908a3c34c/0e575f82-3aaa-4722-afa9-675fd1e3f98c_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '284157115', 'Connection': 'keep-alive', 'Date': 'Sat, 24 Jun 2023 11:39:59 GMT', 'Last-Modified': 'Sat, 08 Aug 2020 13:29:16 GMT', 'ETag': '""5c0184c120bcbdc4ca0304f61bf093ed-55""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-meta-dv-checksum-sha-1': 'f0405ab52ae33ce99294b67b03686674ff1360f4', 'x-amz-meta-dv-checksum-md5': 'a40f5d1b0f5087e8fde6e552dbdfea57', 'x-amz-meta-dv-checksum-sha-256': '8e57d7c7e32ba4a7647882bd75bc67dc1ba6137f3914bd05a8cb7d3127a30d9e', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Miss from cloudfront', 'Via': '1.1 0d06af1babc49336360d0a742ab9817a.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'LHR50-M1', 'X-Amz-Cf-Id': 'PTZWU9b-SR_rcqmh1xxlCiM_Ugkc5LIdM0zH5T905LMUNpGjXYDneQ=='}"
