timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
24-06-2023_13:26:38:138751,54.182.218.101,14.729851041920483,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.162', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.162', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']",20,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:26:38 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 50e17b6ab5b6bfde90187268c4b52110.cloudfront.net (CloudFront),FRA51-M1,MBHlXGceoS4AMz1Gzdh-zokFTrYr0WikLdr444EalZysY4Z95PhGwg==, ,https://a224avoddashs3ww-a.akamaihd.net/d/2$BUrnC8OonKBuEC1rzw2NGY9uUdg~/ondemand/iad_2/6722/e98f/1a1e/4a31-8a7c-d1ec322f7e21/8984d24c-a9ee-4cf9-832a-c39d45de647d_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:26:38 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 50e17b6ab5b6bfde90187268c4b52110.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA51-M1', 'X-Amz-Cf-Id': 'MBHlXGceoS4AMz1Gzdh-zokFTrYr0WikLdr444EalZysY4Z95PhGwg=='}"
24-06-2023_13:27:56:992606,54.182.220.122,14.20113502535969,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']",20,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:27:57 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 15c8faa9d31c63318df89fc4685d7e38.cloudfront.net (CloudFront),FRA54-M3,fz7W2mj7iWSLG-1PXYQdGXrb5_UuWV_zE_4ZbScnBTa19gH2fF_EOQ==, ,https://a224avoddashs3ww-a.akamaihd.net/d/2$BUrnC8OonKBuEC1rzw2NGY9uUdg~/ondemand/iad_2/6722/e98f/1a1e/4a31-8a7c-d1ec322f7e21/8984d24c-a9ee-4cf9-832a-c39d45de647d_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:27:57 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 15c8faa9d31c63318df89fc4685d7e38.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA54-M3', 'X-Amz-Cf-Id': 'fz7W2mj7iWSLG-1PXYQdGXrb5_UuWV_zE_4ZbScnBTa19gH2fF_EOQ=='}"
24-06-2023_13:29:15:809341,54.182.219.121,14.204739942215383,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']",20,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:29:15 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 e9c0fc68bf2a6074d0ae15b2920f6fd0.cloudfront.net (CloudFront),FRA52-M2,CBZybmH4bul4fLGzSm2IXzEPFCwTam8NNfrOQIue7u4V_JAuAl-Slg==, ,https://a224avoddashs3ww-a.akamaihd.net/d/2$BUrnC8OonKBuEC1rzw2NGY9uUdg~/ondemand/iad_2/6722/e98f/1a1e/4a31-8a7c-d1ec322f7e21/8984d24c-a9ee-4cf9-832a-c39d45de647d_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:29:15 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 e9c0fc68bf2a6074d0ae15b2920f6fd0.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA52-M2', 'X-Amz-Cf-Id': 'CBZybmH4bul4fLGzSm2IXzEPFCwTam8NNfrOQIue7u4V_JAuAl-Slg=='}"
24-06-2023_13:31:01:174616,54.240.131.114,160.094128921628,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.130', '15.230.28.25', '15.230.28.129', '*', '*', '*', '*', '*', '54.240.131.114']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.130', '15.230.28.25', '15.230.28.129', '*', '*', '*', '*', '*', '54.240.131.114']",26,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:31:01 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 c352b97f8809306aaa97468df7141518.cloudfront.net (CloudFront),SFO50-M3,irBvVDm5A7X3g06MWk4NU8pYvewJbtTOkrrhqo8oX8swIahJABlGtQ==, ,https://a224avoddashs3ww-a.akamaihd.net/d/2$BUrnC8OonKBuEC1rzw2NGY9uUdg~/ondemand/iad_2/6722/e98f/1a1e/4a31-8a7c-d1ec322f7e21/8984d24c-a9ee-4cf9-832a-c39d45de647d_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:31:01 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 c352b97f8809306aaa97468df7141518.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO50-M3', 'X-Amz-Cf-Id': 'irBvVDm5A7X3g06MWk4NU8pYvewJbtTOkrrhqo8oX8swIahJABlGtQ=='}"
24-06-2023_13:33:12:065567,54.240.129.122,163.7938079657033,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.122', '15.230.28.21', '15.230.28.141', '*', '*', '*', '*', '*', '54.240.129.122']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.122', '15.230.28.21', '15.230.28.141', '*', '*', '*', '*', '*', '54.240.129.122']",26,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:33:12 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 996a4d16d70bae432ac4aa13ca1c0796.cloudfront.net (CloudFront),SFO5-M1,iB5jADAYoH_6RQr6vZ0JvvSZXdV5Dm7Jx1cSFxgyUiFNo5KgfENfeA==, ,https://a224avoddashs3ww-a.akamaihd.net/d/2$BUrnC8OonKBuEC1rzw2NGY9uUdg~/ondemand/iad_2/6722/e98f/1a1e/4a31-8a7c-d1ec322f7e21/8984d24c-a9ee-4cf9-832a-c39d45de647d_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:33:12 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 996a4d16d70bae432ac4aa13ca1c0796.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO5-M1', 'X-Amz-Cf-Id': 'iB5jADAYoH_6RQr6vZ0JvvSZXdV5Dm7Jx1cSFxgyUiFNo5KgfENfeA=='}"
24-06-2023_13:35:02:435724,54.240.130.99,161.42633697018027,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.88.224.218', '52.93.47.155', '15.230.28.155', '*', '*', '*', '*', '*', '54.240.130.99']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.88.224.218', '52.93.47.155', '15.230.28.155', '*', '*', '*', '*', '*', '54.240.130.99']",26,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:35:02 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 1bf4b6e3507c163d2896223a2ee098ea.cloudfront.net (CloudFront),SFO20-M2,07vh588Z-GfzxJqaXNc4JhHcKjCD_aUMv7fqx7X2MHFDwB_V0FSqhQ==, ,https://a224avoddashs3ww-a.akamaihd.net/d/2$BUrnC8OonKBuEC1rzw2NGY9uUdg~/ondemand/iad_2/6722/e98f/1a1e/4a31-8a7c-d1ec322f7e21/8984d24c-a9ee-4cf9-832a-c39d45de647d_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:35:02 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 1bf4b6e3507c163d2896223a2ee098ea.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO20-M2', 'X-Amz-Cf-Id': '07vh588Z-GfzxJqaXNc4JhHcKjCD_aUMv7fqx7X2MHFDwB_V0FSqhQ=='}"
24-06-2023_13:36:21:029429,54.182.215.109,24.962918017990887,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.126', '130.117.0.18', '154.54.36.53', '130.117.0.121', '149.14.82.82', '54.239.114.82', '*', '*', '*', '*', '*', '*', '54.182.215.109']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.126', '130.117.0.18', '154.54.36.53', '130.117.0.121', '149.14.82.82', '54.239.114.82', '*', '*', '*', '*', '*', '*', '54.182.215.109']",21,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:36:21 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 d7180b9625cb7d24ee63f0f8b566835e.cloudfront.net (CloudFront),AMS51-M1,Lb_7EBVQeItQNd5-iMKACdm0MvgpcYkWBlgoCvD4Js7W5ic0cvNXig==, ,https://a224avoddashs3ww-a.akamaihd.net/d/2$BUrnC8OonKBuEC1rzw2NGY9uUdg~/ondemand/iad_2/6722/e98f/1a1e/4a31-8a7c-d1ec322f7e21/8984d24c-a9ee-4cf9-832a-c39d45de647d_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:36:21 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 d7180b9625cb7d24ee63f0f8b566835e.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'AMS51-M1', 'X-Amz-Cf-Id': 'Lb_7EBVQeItQNd5-iMKACdm0MvgpcYkWBlgoCvD4Js7W5ic0cvNXig=='}"
24-06-2023_13:37:34:909013,54.182.216.113,23.875538958236575,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.8', '*', '*', '*', '*', '*', '*', '54.182.216.113']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.8', '*', '*', '*', '*', '*', '*', '54.182.216.113']",21,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:37:34 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 fdf77f646ec70ade7f9fe607a00d5158.cloudfront.net (CloudFront),AMS52-M2,voozXt-D1L-dDryysFYQV3nvFDVUnke5f6UYW3RVo15f2lxnEdiqbQ==, ,https://a224avoddashs3ww-a.akamaihd.net/d/2$BUrnC8OonKBuEC1rzw2NGY9uUdg~/ondemand/iad_2/6722/e98f/1a1e/4a31-8a7c-d1ec322f7e21/8984d24c-a9ee-4cf9-832a-c39d45de647d_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:37:34 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 fdf77f646ec70ade7f9fe607a00d5158.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'AMS52-M2', 'X-Amz-Cf-Id': 'voozXt-D1L-dDryysFYQV3nvFDVUnke5f6UYW3RVo15f2lxnEdiqbQ=='}"
24-06-2023_13:38:52:303846,54.182.217.120,24.963308009319007,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.6', '*', '*', '*', '*', '*', '*', '54.182.217.120']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.6', '*', '*', '*', '*', '*', '*', '54.182.217.120']",21,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:38:52 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 d46df9f88397d2fcdd3b97069d99322a.cloudfront.net (CloudFront),AMS53-M3,rdTlVFnk4CSuFezEY-eUY6rlTGbtPXOVMHqt4pSvbM0YW2-_gvmofQ==, ,https://a224avoddashs3ww-a.akamaihd.net/d/2$BUrnC8OonKBuEC1rzw2NGY9uUdg~/ondemand/iad_2/6722/e98f/1a1e/4a31-8a7c-d1ec322f7e21/8984d24c-a9ee-4cf9-832a-c39d45de647d_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:38:52 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 d46df9f88397d2fcdd3b97069d99322a.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'AMS53-M3', 'X-Amz-Cf-Id': 'rdTlVFnk4CSuFezEY-eUY6rlTGbtPXOVMHqt4pSvbM0YW2-_gvmofQ=='}"
24-06-2023_13:40:11:750239,54.182.235.102,19.981808960437775,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.36.165', '154.54.60.170', '149.14.196.218', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.36.165', '154.54.60.170', '149.14.196.218', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']",19,text/html,915,keep-alive,"Sat, 24 Jun 2023 11:40:11 GMT", , , , , , , , ,CloudFront, ,[],[],0,Error from cloudfront,1.1 aab52edbb88d7e673422100744c58a48.cloudfront.net (CloudFront),LHR50-M1,yeav9xycJZOr1fX7W9T6JwpUloZL10i9YnrlIOKUTQ7kmsJtCpKx1A==, ,https://a224avoddashs3ww-a.akamaihd.net/d/2$BUrnC8OonKBuEC1rzw2NGY9uUdg~/ondemand/iad_2/6722/e98f/1a1e/4a31-8a7c-d1ec322f7e21/8984d24c-a9ee-4cf9-832a-c39d45de647d_video_4.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Server': 'CloudFront', 'Date': 'Sat, 24 Jun 2023 11:40:11 GMT', 'Content-Type': 'text/html', 'Content-Length': '915', 'Connection': 'keep-alive', 'X-Cache': 'Error from cloudfront', 'Via': '1.1 aab52edbb88d7e673422100744c58a48.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'LHR50-M1', 'X-Amz-Cf-Id': 'yeav9xycJZOr1fX7W9T6JwpUloZL10i9YnrlIOKUTQ7kmsJtCpKx1A=='}"
