timestamp(dd-mm-yyyy hh:mm:ss:ms),responseIP,latency(ms),traceroute_ips,traceroute_hnames,hop count,Content-Type,Content-Length,Connection,Date,Last-Modified,ETag,x-amz-storage-class,x-amz-server-side-encryption,x-amz-meta-dv-checksum-sha-1,x-amz-meta-dv-checksum-md5,x-amz-meta-dv-checksum-sha-256,Accept-Ranges,Server,X-Server-IP,X-Server-IP_hops,X-Server-IP_hnames,X-Server-IP_hopcount,X-Cache,Via,X-Amz-Cf-Pop,X-Amz-Cf-Id,Age,url,info,reasponseHeaders
24-06-2023_14:21:52:749925,54.182.218.101,14.669423922896385,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.162', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.162', '*', '*', '*', '*', '*', '*', '*', '54.182.218.101']",20,video/mp4,440247513,keep-alive,"Fri, 23 Jun 2023 21:56:27 GMT","Tue, 09 May 2023 16:53:27 GMT","""f4c8d6f0f7eda925ce3729ec2385be7a-84""",INTELLIGENT_TIERING,AES256,40f086d7b4fc72a094087e210ee2eabf7a529238,fe99ba580248fa85fb7a1dbc773bae26,01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 e87b3831ff6a727dda12297c23d4ce2e.cloudfront.net (CloudFront),FRA51-M1,HABJkJddGmKWuBnxayeUbO1TPY2L39r2UfI4SwMWmflMSPBVLP4SRQ==,51926,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$1fPVvBRZIc1dG3SyavsVma_xfuI~/0c6a/ff9d/449a/4400-84a4-9975666ed103/97fdccbe-0e55-41d4-b2d4-878dfe4d5c52_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '440247513', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 21:56:27 GMT', 'Last-Modified': 'Tue, 09 May 2023 16:53:27 GMT', 'ETag': '""f4c8d6f0f7eda925ce3729ec2385be7a-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '40f086d7b4fc72a094087e210ee2eabf7a529238', 'x-amz-meta-dv-checksum-md5': 'fe99ba580248fa85fb7a1dbc773bae26', 'x-amz-meta-dv-checksum-sha-256': '01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 e87b3831ff6a727dda12297c23d4ce2e.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA51-M1', 'X-Amz-Cf-Id': 'HABJkJddGmKWuBnxayeUbO1TPY2L39r2UfI4SwMWmflMSPBVLP4SRQ==', 'Age': '51926'}"
24-06-2023_14:25:06:012134,54.182.220.122,14.157301979139447,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.220.122']",20,video/mp4,440247513,keep-alive,"Fri, 23 Jun 2023 21:56:27 GMT","Tue, 09 May 2023 16:53:27 GMT","""f4c8d6f0f7eda925ce3729ec2385be7a-84""",INTELLIGENT_TIERING,AES256,40f086d7b4fc72a094087e210ee2eabf7a529238,fe99ba580248fa85fb7a1dbc773bae26,01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 9c7cae4773009af347d4231d6f969e52.cloudfront.net (CloudFront),FRA54-M3,1S2so9UzqDXVQG0z_PS6CSqJPJ2BxwBoQw-7Fb7H45xfD5Ne4KLLjA==,52120,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$1fPVvBRZIc1dG3SyavsVma_xfuI~/0c6a/ff9d/449a/4400-84a4-9975666ed103/97fdccbe-0e55-41d4-b2d4-878dfe4d5c52_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '440247513', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 21:56:27 GMT', 'Last-Modified': 'Tue, 09 May 2023 16:53:27 GMT', 'ETag': '""f4c8d6f0f7eda925ce3729ec2385be7a-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '40f086d7b4fc72a094087e210ee2eabf7a529238', 'x-amz-meta-dv-checksum-md5': 'fe99ba580248fa85fb7a1dbc773bae26', 'x-amz-meta-dv-checksum-sha-256': '01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 9c7cae4773009af347d4231d6f969e52.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA54-M3', 'X-Amz-Cf-Id': '1S2so9UzqDXVQG0z_PS6CSqJPJ2BxwBoQw-7Fb7H45xfD5Ne4KLLjA==', 'Age': '52120'}"
24-06-2023_14:27:26:578095,54.182.219.121,14.12352395709604,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '149.14.159.194', '*', '*', '*', '*', '*', '*', '*', '54.182.219.121']",20,video/mp4,440247513,keep-alive,"Fri, 23 Jun 2023 21:56:27 GMT","Tue, 09 May 2023 16:53:27 GMT","""f4c8d6f0f7eda925ce3729ec2385be7a-84""",INTELLIGENT_TIERING,AES256,40f086d7b4fc72a094087e210ee2eabf7a529238,fe99ba580248fa85fb7a1dbc773bae26,01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 d68d81b8f4833b792e215feb1efee812.cloudfront.net (CloudFront),FRA52-M2,LWBcb64uzMUk4jvyMCC4x_LY8Igrgyty4ZDuFOkdH8J4WtUae0lujA==,52260,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$1fPVvBRZIc1dG3SyavsVma_xfuI~/0c6a/ff9d/449a/4400-84a4-9975666ed103/97fdccbe-0e55-41d4-b2d4-878dfe4d5c52_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '440247513', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 21:56:27 GMT', 'Last-Modified': 'Tue, 09 May 2023 16:53:27 GMT', 'ETag': '""f4c8d6f0f7eda925ce3729ec2385be7a-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '40f086d7b4fc72a094087e210ee2eabf7a529238', 'x-amz-meta-dv-checksum-md5': 'fe99ba580248fa85fb7a1dbc773bae26', 'x-amz-meta-dv-checksum-sha-256': '01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 d68d81b8f4833b792e215feb1efee812.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'FRA52-M2', 'X-Amz-Cf-Id': 'LWBcb64uzMUk4jvyMCC4x_LY8Igrgyty4ZDuFOkdH8J4WtUae0lujA==', 'Age': '52260'}"
24-06-2023_14:30:02:125396,54.240.131.114,159.86219502519816,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.130', '15.230.28.31', '15.230.28.135', '*', '*', '*', '*', '*', '54.240.131.114']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.130', '15.230.28.31', '15.230.28.135', '*', '*', '*', '*', '*', '54.240.131.114']",26,video/mp4,440247513,keep-alive,"Fri, 23 Jun 2023 22:09:12 GMT","Tue, 09 May 2023 16:53:27 GMT","""f4c8d6f0f7eda925ce3729ec2385be7a-84""",INTELLIGENT_TIERING,AES256,40f086d7b4fc72a094087e210ee2eabf7a529238,fe99ba580248fa85fb7a1dbc773bae26,01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 22d3381084d47ccb5b815d6f3d94afee.cloudfront.net (CloudFront),SFO50-M3,V0y2Lx_iFXNhCG2mbr2QiVrbccYSkjmelrTrC0FcuY3fsvK7uhvWQA==,51651,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$1fPVvBRZIc1dG3SyavsVma_xfuI~/0c6a/ff9d/449a/4400-84a4-9975666ed103/97fdccbe-0e55-41d4-b2d4-878dfe4d5c52_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '440247513', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 22:09:12 GMT', 'Last-Modified': 'Tue, 09 May 2023 16:53:27 GMT', 'ETag': '""f4c8d6f0f7eda925ce3729ec2385be7a-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '40f086d7b4fc72a094087e210ee2eabf7a529238', 'x-amz-meta-dv-checksum-md5': 'fe99ba580248fa85fb7a1dbc773bae26', 'x-amz-meta-dv-checksum-sha-256': '01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 22d3381084d47ccb5b815d6f3d94afee.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO50-M3', 'X-Amz-Cf-Id': 'V0y2Lx_iFXNhCG2mbr2QiVrbccYSkjmelrTrC0FcuY3fsvK7uhvWQA==', 'Age': '51651'}"
24-06-2023_14:33:01:196558,54.240.129.122,162.93358604889363,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.122', '15.230.28.21', '15.230.28.141', '*', '*', '*', '*', '*', '54.240.129.122']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.142.246.122', '15.230.28.21', '15.230.28.141', '*', '*', '*', '*', '*', '54.240.129.122']",26,video/mp4,440247513,keep-alive,"Fri, 23 Jun 2023 22:09:12 GMT","Tue, 09 May 2023 16:53:27 GMT","""f4c8d6f0f7eda925ce3729ec2385be7a-84""",INTELLIGENT_TIERING,AES256,40f086d7b4fc72a094087e210ee2eabf7a529238,fe99ba580248fa85fb7a1dbc773bae26,01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 93a492ba7ed7bf06b0a54e21cc8dd250.cloudfront.net (CloudFront),SFO5-M1,bkJjkjpzlTLc1JvhA3S1tUkvy4P7jsa7bCxBig2aJr1z32oti3uweA==,51830,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$1fPVvBRZIc1dG3SyavsVma_xfuI~/0c6a/ff9d/449a/4400-84a4-9975666ed103/97fdccbe-0e55-41d4-b2d4-878dfe4d5c52_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '440247513', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 22:09:12 GMT', 'Last-Modified': 'Tue, 09 May 2023 16:53:27 GMT', 'ETag': '""f4c8d6f0f7eda925ce3729ec2385be7a-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '40f086d7b4fc72a094087e210ee2eabf7a529238', 'x-amz-meta-dv-checksum-md5': 'fe99ba580248fa85fb7a1dbc773bae26', 'x-amz-meta-dv-checksum-sha-256': '01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 93a492ba7ed7bf06b0a54e21cc8dd250.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO5-M1', 'X-Amz-Cf-Id': 'bkJjkjpzlTLc1JvhA3S1tUkvy4P7jsa7bCxBig2aJr1z32oti3uweA==', 'Age': '51830'}"
24-06-2023_14:36:02:667033,54.240.130.99,159.78773194365203,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.88.224.218', '52.93.47.155', '15.230.28.155', '*', '*', '*', '*', '*', '54.240.130.99']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.60.165', '154.54.89.225', '154.54.24.222', '154.54.28.130', '154.54.2.6', '154.54.26.53', '154.54.45.162', '154.54.40.146', '154.54.5.102', '38.88.224.218', '52.93.47.155', '15.230.28.155', '*', '*', '*', '*', '*', '54.240.130.99']",26,video/mp4,440247513,keep-alive,"Fri, 23 Jun 2023 22:09:12 GMT","Tue, 09 May 2023 16:53:27 GMT","""f4c8d6f0f7eda925ce3729ec2385be7a-84""",INTELLIGENT_TIERING,AES256,40f086d7b4fc72a094087e210ee2eabf7a529238,fe99ba580248fa85fb7a1dbc773bae26,01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 e4ffce31f3193b86cd780ee0427eca82.cloudfront.net (CloudFront),SFO20-M2,ccQhvx_89cjNsCzdplR445U-B6FIoaKHyhfuZOQ14-kTfbq_LGFoUQ==,52011,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$1fPVvBRZIc1dG3SyavsVma_xfuI~/0c6a/ff9d/449a/4400-84a4-9975666ed103/97fdccbe-0e55-41d4-b2d4-878dfe4d5c52_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '440247513', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 22:09:12 GMT', 'Last-Modified': 'Tue, 09 May 2023 16:53:27 GMT', 'ETag': '""f4c8d6f0f7eda925ce3729ec2385be7a-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '40f086d7b4fc72a094087e210ee2eabf7a529238', 'x-amz-meta-dv-checksum-md5': 'fe99ba580248fa85fb7a1dbc773bae26', 'x-amz-meta-dv-checksum-sha-256': '01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 e4ffce31f3193b86cd780ee0427eca82.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'SFO20-M2', 'X-Amz-Cf-Id': 'ccQhvx_89cjNsCzdplR445U-B6FIoaKHyhfuZOQ14-kTfbq_LGFoUQ==', 'Age': '52011'}"
24-06-2023_14:38:43:915459,54.182.215.109,24.369886959902942,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.126', '130.117.0.18', '154.54.36.53', '130.117.0.121', '149.14.82.82', '54.239.114.82', '*', '*', '*', '*', '*', '*', '54.182.215.109']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.126', '130.117.0.18', '154.54.36.53', '130.117.0.121', '149.14.82.82', '54.239.114.82', '*', '*', '*', '*', '*', '*', '54.182.215.109']",21,video/mp4,440247513,keep-alive,"Fri, 23 Jun 2023 22:17:40 GMT","Tue, 09 May 2023 16:53:27 GMT","""f4c8d6f0f7eda925ce3729ec2385be7a-84""",INTELLIGENT_TIERING,AES256,40f086d7b4fc72a094087e210ee2eabf7a529238,fe99ba580248fa85fb7a1dbc773bae26,01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 adb3223c2eb9aaa2941a343023385572.cloudfront.net (CloudFront),AMS51-M1,kCMkKKOzd5dcyVxXsreHW1MmAd3huYHCkpjmQUeeE82_wdr-4SWmOA==,51664,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$1fPVvBRZIc1dG3SyavsVma_xfuI~/0c6a/ff9d/449a/4400-84a4-9975666ed103/97fdccbe-0e55-41d4-b2d4-878dfe4d5c52_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '440247513', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 22:17:40 GMT', 'Last-Modified': 'Tue, 09 May 2023 16:53:27 GMT', 'ETag': '""f4c8d6f0f7eda925ce3729ec2385be7a-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '40f086d7b4fc72a094087e210ee2eabf7a529238', 'x-amz-meta-dv-checksum-md5': 'fe99ba580248fa85fb7a1dbc773bae26', 'x-amz-meta-dv-checksum-sha-256': '01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 adb3223c2eb9aaa2941a343023385572.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'AMS51-M1', 'X-Amz-Cf-Id': 'kCMkKKOzd5dcyVxXsreHW1MmAd3huYHCkpjmQUeeE82_wdr-4SWmOA==', 'Age': '51664'}"
24-06-2023_14:41:10:473919,54.182.216.113,23.941683932207525,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.8', '*', '*', '*', '*', '*', '*', '54.182.216.113']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.8', '*', '*', '*', '*', '*', '*', '54.182.216.113']",21,video/mp4,440247513,keep-alive,"Fri, 23 Jun 2023 22:17:40 GMT","Tue, 09 May 2023 16:53:27 GMT","""f4c8d6f0f7eda925ce3729ec2385be7a-84""",INTELLIGENT_TIERING,AES256,40f086d7b4fc72a094087e210ee2eabf7a529238,fe99ba580248fa85fb7a1dbc773bae26,01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 153ae317cb00475194e5abf1c6101ade.cloudfront.net (CloudFront),AMS52-M2,uERosbsJWL7eYt28X9nuTA2s-mIcyALfE75jUKicITUPohGKlqtPgQ==,51811,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$1fPVvBRZIc1dG3SyavsVma_xfuI~/0c6a/ff9d/449a/4400-84a4-9975666ed103/97fdccbe-0e55-41d4-b2d4-878dfe4d5c52_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '440247513', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 22:17:40 GMT', 'Last-Modified': 'Tue, 09 May 2023 16:53:27 GMT', 'ETag': '""f4c8d6f0f7eda925ce3729ec2385be7a-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '40f086d7b4fc72a094087e210ee2eabf7a529238', 'x-amz-meta-dv-checksum-md5': 'fe99ba580248fa85fb7a1dbc773bae26', 'x-amz-meta-dv-checksum-sha-256': '01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 153ae317cb00475194e5abf1c6101ade.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'AMS52-M2', 'X-Amz-Cf-Id': 'uERosbsJWL7eYt28X9nuTA2s-mIcyALfE75jUKicITUPohGKlqtPgQ==', 'Age': '51811'}"
24-06-2023_14:43:32:515465,54.182.217.120,25.110609945841134,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.6', '*', '*', '*', '*', '*', '*', '54.182.217.120']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.46', '154.54.57.130', '130.117.0.62', '154.54.36.253', '130.117.0.141', '149.29.2.2', '52.93.112.6', '*', '*', '*', '*', '*', '*', '54.182.217.120']",21,video/mp4,440247513,keep-alive,"Fri, 23 Jun 2023 22:17:40 GMT","Tue, 09 May 2023 16:53:27 GMT","""f4c8d6f0f7eda925ce3729ec2385be7a-84""",INTELLIGENT_TIERING,AES256,40f086d7b4fc72a094087e210ee2eabf7a529238,fe99ba580248fa85fb7a1dbc773bae26,01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 4a5fe228fbbfa72d91b69a5bcc923078.cloudfront.net (CloudFront),AMS53-M3,GyOIY_9Gr5JYWBaYEecBayHzjQFr7gbt_rfGmKxi_u9yt-eur8WVaA==,51953,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$1fPVvBRZIc1dG3SyavsVma_xfuI~/0c6a/ff9d/449a/4400-84a4-9975666ed103/97fdccbe-0e55-41d4-b2d4-878dfe4d5c52_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '440247513', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 22:17:40 GMT', 'Last-Modified': 'Tue, 09 May 2023 16:53:27 GMT', 'ETag': '""f4c8d6f0f7eda925ce3729ec2385be7a-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '40f086d7b4fc72a094087e210ee2eabf7a529238', 'x-amz-meta-dv-checksum-md5': 'fe99ba580248fa85fb7a1dbc773bae26', 'x-amz-meta-dv-checksum-sha-256': '01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 4a5fe228fbbfa72d91b69a5bcc923078.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'AMS53-M3', 'X-Amz-Cf-Id': 'GyOIY_9Gr5JYWBaYEecBayHzjQFr7gbt_rfGmKxi_u9yt-eur8WVaA==', 'Age': '51953'}"
24-06-2023_14:45:53:781404,54.182.235.102,19.640828017145395,"['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.36.165', '154.54.60.170', '149.14.196.218', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']","['*', '*', '10.80.128.241', '*', '213.55.155.5', '10.80.128.109', '149.6.54.73', '154.54.57.33', '154.54.36.165', '154.54.60.170', '149.14.196.218', '*', '*', '*', '*', '*', '*', '*', '54.182.235.102']",19,video/mp4,440247513,keep-alive,"Fri, 23 Jun 2023 22:24:35 GMT","Tue, 09 May 2023 16:53:27 GMT","""f4c8d6f0f7eda925ce3729ec2385be7a-84""",INTELLIGENT_TIERING,AES256,40f086d7b4fc72a094087e210ee2eabf7a529238,fe99ba580248fa85fb7a1dbc773bae26,01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f,bytes,AmazonS3, ,[],[],0,Hit from cloudfront,1.1 16b9144f83e3c7f72576a87c9183ea7a.cloudfront.net (CloudFront),LHR50-M1,y1f8-3mwxdEmrMtZwXxKQe4aQZtqf17yoDVULtZy6leeZWl74rxDzQ==,51679,https://s3-dub-ww.cf.dash.row.aiv-cdn.net/dm/2$1fPVvBRZIc1dG3SyavsVma_xfuI~/0c6a/ff9d/449a/4400-84a4-9975666ed103/97fdccbe-0e55-41d4-b2d4-878dfe4d5c52_video_5.mp4?amznDtid=AOAGZA014O5RE,media provided by PrimeVideo,"{'Content-Type': 'video/mp4', 'Content-Length': '440247513', 'Connection': 'keep-alive', 'Date': 'Fri, 23 Jun 2023 22:24:35 GMT', 'Last-Modified': 'Tue, 09 May 2023 16:53:27 GMT', 'ETag': '""f4c8d6f0f7eda925ce3729ec2385be7a-84""', 'x-amz-storage-class': 'INTELLIGENT_TIERING', 'x-amz-server-side-encryption': 'AES256', 'x-amz-meta-dv-checksum-sha-1': '40f086d7b4fc72a094087e210ee2eabf7a529238', 'x-amz-meta-dv-checksum-md5': 'fe99ba580248fa85fb7a1dbc773bae26', 'x-amz-meta-dv-checksum-sha-256': '01908fd741c459d6fab5cf8cc228831198d0895840bcbb6917d533ac24fd398f', 'Accept-Ranges': 'bytes', 'Server': 'AmazonS3', 'X-Cache': 'Hit from cloudfront', 'Via': '1.1 16b9144f83e3c7f72576a87c9183ea7a.cloudfront.net (CloudFront)', 'X-Amz-Cf-Pop': 'LHR50-M1', 'X-Amz-Cf-Id': 'y1f8-3mwxdEmrMtZwXxKQe4aQZtqf17yoDVULtZy6leeZWl74rxDzQ==', 'Age': '51679'}"
